gen,llm_gwp,llm_str,is_feasible,is_dominated,min_dist_to_front
1,267.88,60.04,1,0,0.7241
1,234.38,59.85,0,0,2.5748
1,271.17,46.66,1,1,0.8401
1,257.89,60.27,1,0,0.8776
1,261.12,45.86,1,0,0.6833
2,235.71,57.64,1,0,1.5322
2,224.03,53.56,0,0,2.9652
2,272.31,55.81,1,1,1.7152
2,247.41,57.7,1,0,1.0515
2,292.08,59.17,1,1,1.6531
3,250.71,56.48,1,1,0.2337
3,252.13,51.86,0,1,1.0532
3,257.89,60.27,1,1,0.0
3,277.68,52.96,1,1,1.1379
3,235.71,57.64,1,1,0.0
4,240.24,56.47,1,1,0.2383
4,228.53,52.77,1,0,0.891
4,198.57,54.0,0,0,1.1351
4,278.91,58.35,1,1,0.6283
4,299.2,67.92,1,0,1.0273
5,256.67,57.99,1,0,0.1324
5,239.01,53.41,0,1,0.1542
5,275.7,63.35,1,0,0.0086
5,276.99,62.8,0,1,0.0333
5,299.2,67.92,1,1,0.0
6,257.15,57.3,1,1,0.046
6,253.47,61.64,0,0,0.11
6,270.39,62.66,1,0,0.0836
6,280.24,65.44,1,0,0.1522
6,292.01,65.59,1,0,0.1844
7,230.8,54.93,1,0,0.1461
7,220.71,55.43,0,0,0.2075
7,242.88,56.66,1,1,0.0939
7,268.1,64.29,1,0,0.1124
7,270.39,62.66,1,1,0.0
8,257.33,57.74,0,1,0.019
8,218.16,51.28,0,0,0.1766
8,287.44,65.82,1,0,0.0664
8,267.12,62.53,1,0,0.117
8,232.43,57.66,1,0,0.0464
9,243.2,57.68,1,0,0.0596
9,249.7,61.28,1,0,0.1337
9,272.03,61.88,1,1,0.0817
9,268.1,64.29,1,1,0.0
9,206.33,57.96,0,0,0.3699
10,246.81,57.63,1,1,0.0097
10,239.01,53.41,0,1,0.1535
10,249.7,61.28,1,1,0.0
10,268.1,64.29,1,1,0.0
10,280.24,65.44,1,1,0.0
11,253.69,58.18,1,1,0.0943
11,203.68,51.91,0,0,0.3562
11,268.1,64.29,1,1,0.0
11,239.01,53.41,0,1,0.1535
11,267.12,62.53,1,1,0.0
12,223.21,57.4,1,0,0.1316
12,174.66,56.72,0,0,0.8031
12,238.99,57.85,1,0,0.0606
12,259.27,61.75,1,0,0.1224
12,279.57,66.56,1,0,0.0745
13,233.04,57.63,1,1,0.0085
13,199.68,56.88,0,0,0.3136
13,259.27,61.75,1,1,0.0
13,244.79,56.23,1,1,0.1719
13,267.12,62.53,1,1,0.0
14,227.8,57.49,1,0,0.061
14,267.12,62.53,1,1,0.0
14,169.36,47.47,0,0,1.1803
14,259.27,61.75,1,1,0.0
14,278.25,61.15,1,1,0.1966
15,233.06,57.84,1,0,0.019
15,196.99,50.86,0,0,0.711
15,259.27,61.75,1,1,0.0
15,244.16,57.51,1,1,0.0753
15,267.12,62.53,1,1,0.0
16,222.76,57.95,0,0,0.0526
16,232.43,57.66,1,1,0.0
16,181.27,51.41,0,0,0.793
16,259.27,61.75,1,1,0.0
16,286.17,65.37,1,1,0.1426
17,244.48,58.1,1,0,0.0761
