PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
97.301,0.0,200.0,900.0,1100.0,90.8,0.0,3.0,0.0,0.0,161.18,49.57
97.301,0.0,200.0,900.0,1100.0,90.8,0.0,3.0,0.0,0.0,161.18,49.57
120.0,50.0,250.0,850.0,1050.0,110.0,0.0,3.5,0.0,0.0,214.25,58.9
100.0,130.0,120.0,800.0,1000.0,95.0,0.2,3.0,1.0,0.0,184.9,55.59
100.0,130.0,120.0,800.0,1000.0,95.0,0.2,3.0,1.0,0.0,184.9,55.59
97.301,0.0,200.0,900.0,1100.0,90.8,0.0,3.0,0.0,0.0,161.18,49.57
100.0,130.0,120.0,800.0,1000.0,95.0,0.2,3.0,1.0,0.0,184.9,55.59
100.0,130.0,120.0,800.0,1000.0,95.0,0.2,3.0,1.0,0.0,184.9,55.59
100.0,130.0,120.0,800.0,1000.0,95.0,0.2,3.0,1.0,0.0,184.9,55.59
97.301,0.0,200.0,900.0,1100.0,90.8,0.0,3.0,0.0,0.0,161.18,49.57
97.301,0.0,200.0,900.0,1100.0,90.8,0.0,3.0,0.0,0.0,161.18,49.57
100.0,130.0,120.0,800.0,1000.0,95.0,0.2,3.0,1.0,0.0,184.9,55.59
97.301,0.0,200.0,900.0,1100.0,90.8,0.0,3.0,0.0,0.0,161.18,49.57
100.0,130.0,120.0,800.0,1000.0,95.0,0.2,3.0,1.0,0.0,184.9,55.59
97.301,0.0,200.0,900.0,1100.0,90.8,0.0,3.0,0.0,0.0,161.18,49.57
97.301,0.0,200.0,900.0,1100.0,90.8,0.0,3.0,0.0,0.0,161.18,49.57
100.0,130.0,120.0,800.0,1000.0,95.0,0.2,3.0,1.0,0.0,184.9,55.59
100.0,130.0,120.0,800.0,1000.0,95.0,0.2,3.0,1.0,0.0,184.9,55.59
100.0,0.0,250.0,950.0,1050.0,100.0,0.0,3.2,0.0,0.0,177.16,53.6
110.0,0.0,220.0,850.0,1050.0,95.0,0.0,4.0,0.0,0.0,179.46,54.73
120.0,50.0,250.0,850.0,1050.0,110.0,0.0,3.5,0.0,0.0,214.25,58.9
97.301,0.0,200.0,900.0,1100.0,90.8,0.0,3.0,0.0,0.0,161.18,49.57
97.301,0.0,200.0,900.0,1100.0,90.8,0.0,3.0,0.0,0.0,161.18,49.57
97.301,0.0,220.0,900.0,1100.0,90.775,0.0,3.0,0.0,0.0,166.46,52.1
130.0,0.0,310.0,750.0,1050.0,125.0,0.0,3.0,0.0,0.0,223.92,63.22
97.301,0.0,200.0,900.0,1100.0,90.8,0.0,3.0,0.0,0.0,161.18,49.57
200.0,0.0,300.0,700.0,1000.0,120.0,0.0,2.0,0.0,0.0,294.32,70.51
130.0,0.0,270.0,850.0,1000.0,110.0,0.0,3.5,0.0,0.0,213.43,57.68
97.301,50.0,250.0,850.0,1050.0,95.0,0.0,4.0,0.0,0.0,190.47,56.29
97.301,0.0,200.0,900.0,1100.0,90.8,0.0,3.0,0.0,0.0,161.18,49.57
97.301,0.0,200.0,900.0,1100.0,90.8,0.0,3.0,0.0,0.0,161.18,49.57
100.0,0.0,250.0,880.0,1120.0,105.0,0.0,3.2,0.0,0.0,177.23,54.04
97.301,10.0,180.0,900.0,1100.0,90.775,0.0,3.5,0.0,0.0,159.18,46.56
200.0,0.0,250.0,800.0,1000.0,120.0,0.0,4.0,0.0,0.0,281.38,66.57
97.301,0.0,210.0,900.0,1100.0,90.8,0.0,3.2,0.0,0.0,163.82,49.99
