gen,hv,n_pareto,llm_injected
1,0.3314,2,1
2,0.377437,3,1
3,0.379758,4,1
4,0.397614,7,1
5,0.39831,8,1
6,0.41899,6,1
7,0.428941,4,1
8,0.433525,8,1
9,0.441986,12,1
10,0.442323,14,1
11,0.442323,16,1
12,0.442334,17,1
13,0.484843,17,1
14,0.48724,18,1
15,0.490194,10,1
16,0.49025,13,1
17,0.49025,16,1
18,0.490274,18,1
19,0.490274,21,1
20,0.491013,16,1
21,0.493774,21,1
22,0.496154,17,1
23,0.496154,19,1
24,0.496154,21,1
25,0.498541,13,1
26,0.498541,16,1
27,0.498779,17,1
28,0.499028,16,1
29,0.499029,17,1
30,0.499863,12,1
31,0.499863,13,1
32,0.500293,18,1
33,0.500766,15,1
34,0.500852,19,1
35,0.500865,24,1
36,0.50149,26,1
37,0.505172,27,1
38,0.505172,31,1
39,0.505172,32,1
40,0.556829,34,1
41,0.556829,35,1
42,0.556829,35,1
43,0.556829,35,1
44,0.556829,36,1
45,0.556829,37,1
46,0.556829,37,1
47,0.556829,38,1
48,0.556829,39,1
49,0.556829,39,1
50,0.556829,39,1
51,0.556829,44,1
52,0.556829,46,1
53,0.556829,47,1
54,0.556829,47,1
55,0.556829,48,1
56,0.556829,49,1
57,0.582173,48,1
58,0.582173,48,1
59,0.582173,48,1
60,0.582173,50,1
61,0.582173,50,1
62,0.582173,50,1
63,0.582173,50,1
64,0.582173,50,1
65,0.582173,50,1
66,0.582173,50,1
67,0.58226,50,1
68,0.58226,50,1
69,0.58226,50,1
70,0.58226,50,1
71,0.58226,50,1
72,0.58226,50,1
73,0.58226,50,1
74,0.58226,50,1
75,0.58226,50,1
76,0.58226,50,1
77,0.58226,50,1
78,0.58226,50,1
79,0.58226,50,1
80,0.58226,50,1
81,0.58226,50,1
82,0.582411,50,1
83,0.582411,50,1
84,0.582411,50,1
85,0.582411,50,1
86,0.582411,50,1
87,0.582411,50,1
88,0.582411,50,1
89,0.582411,50,1
90,0.582411,50,1
91,0.582411,50,1
92,0.582411,50,1
93,0.582411,50,1
94,0.582411,50,1
95,0.582411,50,1
96,0.582411,50,1
97,0.582411,50,1
98,0.582411,50,1
99,0.582411,50,1
100,0.582411,50,1
