gen,hv,n_pareto,llm_injected
1,0.274434,4,1
2,0.285056,7,1
3,0.309967,10,1
4,0.374096,3,1
5,0.383929,8,1
6,0.388692,13,1
7,0.390968,16,1
8,0.423416,15,1
9,0.423919,14,1
10,0.431596,18,1
11,0.435907,15,1
12,0.441804,24,1
13,0.445828,26,1
14,0.450516,18,1
15,0.458956,12,1
16,0.461336,15,1
17,0.465825,15,1
18,0.493942,19,1
19,0.504231,10,1
20,0.51254,10,1
21,0.530332,14,1
22,0.546027,20,1
23,0.564983,20,1
24,0.568919,22,1
25,0.579548,18,1
26,0.583564,24,1
27,0.587304,31,1
28,0.590505,37,1
29,0.595927,31,1
30,0.599007,37,1
31,0.601618,33,1
32,0.607055,24,1
33,0.608078,26,1
34,0.609142,30,1
35,0.611632,36,1
36,0.61242,42,1
37,0.614917,37,1
38,0.616521,33,1
39,0.617562,25,1
40,0.61804,39,1
41,0.623696,49,1
42,0.624252,50,1
43,0.62501,50,1
44,0.62769,46,1
45,0.629471,38,1
46,0.629611,42,1
47,0.633145,40,1
48,0.633588,40,1
49,0.636816,40,1
50,0.637586,45,1
51,0.638546,47,1
52,0.638916,50,1
53,0.638961,50,1
54,0.641614,50,1
55,0.643374,47,1
56,0.647701,43,1
57,0.647882,43,1
58,0.647976,48,1
59,0.648308,48,1
60,0.648436,49,1
61,0.64863,50,1
62,0.64878,50,1
63,0.648974,50,1
64,0.652241,50,1
65,0.652441,50,1
66,0.65261,48,1
67,0.652737,50,1
68,0.65279,50,1
69,0.653648,50,1
70,0.653935,50,1
71,0.654176,50,1
72,0.65449,50,1
73,0.658141,50,1
74,0.658472,46,1
75,0.658828,50,1
76,0.659019,50,1
77,0.661504,50,1
78,0.666854,50,1
79,0.668235,50,1
80,0.66828,50,1
81,0.668642,50,1
82,0.669142,50,1
83,0.669219,50,1
84,0.670117,50,1
85,0.670246,50,1
86,0.670891,50,1
87,0.672013,50,1
88,0.672487,50,1
89,0.674144,50,1
90,0.674529,50,1
91,0.678831,50,1
92,0.681375,50,1
93,0.682039,50,1
94,0.682493,50,1
95,0.682807,50,1
96,0.682942,50,1
97,0.685786,50,1
98,0.68675,50,1
99,0.687402,50,1
100,0.688191,50,1
