PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
161.506,52.114,289.474,803.351,941.961,129.902,0.808,3.839,2.483,14.279,268.35,79.61
97.303,47.937,147.187,800.032,973.161,119.803,0.427,2.709,0.0,5.497,162.24,46.26
142.472,52.16,286.415,800.277,943.382,129.902,0.808,3.884,2.546,15.595,247.6,79.4
97.301,70.0,130.0,799.9,980.0,100.0,0.5,3.5,1.5,7.0,164.96,50.5
97.301,92.0,122.465,800.0,996.738,107.459,0.491,3.8,2.409,6.722,170.25,54.54
158.209,52.114,290.944,803.6,940.618,129.902,0.809,3.855,2.53,15.472,265.27,79.49
100.335,80.424,242.82,750.971,916.263,108.586,0.782,3.656,2.988,9.171,200.98,74.28
110.099,55.131,281.666,803.624,945.678,130.072,0.85,3.861,2.5,15.32,213.41,75.19
127.453,55.12,286.54,802.785,943.334,129.902,0.804,3.862,2.516,15.313,232.87,79.29
99.546,79.908,242.489,750.178,927.109,105.911,0.782,3.671,2.961,7.803,199.93,72.84
99.613,78.688,242.623,749.768,926.839,107.175,0.782,3.65,2.916,8.306,199.64,69.45
110.099,54.79,285.839,803.188,943.829,129.902,0.849,3.861,2.501,15.32,214.4,77.37
98.376,58.432,197.312,774.059,906.797,114.639,0.782,3.53,5.093,17.467,179.72,59.63
97.305,52.343,150.724,799.728,968.34,119.77,0.497,3.0,1.061,5.794,164.6,48.17
113.699,55.997,285.905,803.189,943.57,131.228,0.809,3.873,2.62,15.32,218.58,78.58
97.301,59.299,197.312,774.82,906.797,115.224,0.783,3.527,5.188,17.719,178.88,58.51
97.301,65.054,167.215,779.311,910.133,111.418,0.814,3.567,3.318,15.917,172.85,57.64
97.301,91.802,127.781,802.814,1013.026,91.237,0.508,3.8,1.086,8.115,171.65,55.87
98.761,65.5,167.215,779.311,910.133,111.349,0.814,3.548,3.335,15.908,174.52,58.08
125.367,52.114,286.415,800.277,943.334,129.902,0.808,3.864,2.533,15.339,229.66,79.08
113.81,56.142,281.518,801.331,941.39,131.138,0.807,3.868,2.71,15.238,217.57,77.67
110.397,55.131,281.774,803.624,945.678,130.072,0.85,3.861,2.5,15.32,213.76,75.21
97.301,68.962,205.53,743.588,905.007,116.049,0.783,3.567,2.84,13.538,184.13,62.87
98.127,65.058,200.287,771.623,912.029,113.058,0.782,3.567,3.049,15.889,182.43,62.28
97.301,62.512,199.432,778.531,906.393,111.023,0.814,3.559,3.288,16.631,180.5,61.45
120.496,50.981,286.415,800.277,942.997,129.902,0.81,3.869,2.533,15.339,224.18,78.81
99.558,78.787,241.821,750.013,927.361,106.717,0.782,3.818,2.941,7.823,199.4,69.11
98.203,67.786,208.93,778.097,907.899,109.159,0.78,3.596,3.055,15.729,185.69,65.27
100.394,79.837,225.251,751.014,908.375,106.121,0.782,3.656,2.189,10.454,196.18,67.48
97.715,67.465,227.257,735.529,901.627,116.762,0.788,3.823,2.661,12.949,189.78,65.42
120.496,50.981,286.415,800.277,942.997,129.902,0.81,3.869,2.533,15.339,224.18,78.81
97.715,86.514,229.535,734.314,903.403,118.804,0.789,3.89,2.665,11.461,196.63,68.43
97.662,78.192,225.772,734.18,903.956,118.59,0.809,3.846,2.641,12.952,192.85,66.78
97.67,78.28,218.862,734.188,903.399,119.224,0.79,3.64,2.65,12.087,191.07,66.48
97.301,65.054,199.112,778.531,906.393,111.217,0.814,3.567,3.288,15.889,181.25,61.54
97.301,49.079,150.0,800.0,970.0,119.0,0.5,3.0,0.0,5.0,163.34,47.58
97.303,48.039,147.187,799.826,974.09,118.222,0.434,2.712,0.86,5.301,162.27,47.14
98.039,67.724,205.446,744.219,904.253,116.236,0.784,3.522,2.835,13.34,184.48,63.98
125.725,52.114,289.474,803.223,943.334,129.902,0.808,3.864,2.501,15.628,230.85,79.24
98.033,67.781,207.132,744.219,904.271,116.16,0.784,3.522,2.84,13.34,184.93,64.87
97.715,86.514,228.655,733.881,903.403,118.954,0.789,3.89,2.658,12.395,196.4,68.37
158.209,52.114,290.944,803.6,940.685,129.9,0.809,3.857,2.513,15.376,265.28,79.54
97.682,75.324,220.871,726.34,911.505,113.813,0.795,3.889,2.714,12.33,190.65,65.9
98.039,67.761,205.446,744.219,904.253,116.236,0.792,3.505,2.835,13.217,184.49,63.99
97.715,80.838,227.257,735.141,904.281,117.102,0.788,3.85,2.661,12.883,194.17,67.17
97.301,91.257,127.781,799.869,971.806,91.237,0.501,3.8,1.086,8.115,171.31,55.33
97.301,91.257,127.781,799.869,971.806,91.237,0.501,3.8,1.086,8.115,171.31,55.33
97.719,80.349,227.257,735.211,904.281,117.25,0.788,3.85,2.656,14.251,194.02,67.14
99.546,80.101,243.201,750.515,927.361,106.69,0.782,3.946,2.964,8.648,200.19,73.43
97.303,48.445,150.142,800.0,972.663,119.803,0.497,3.0,0.077,5.539,163.18,47.29
