gen,llm_gwp,llm_str,is_feasible,is_dominated,min_dist_to_front
1,221.61,64.95,1,0,0.0038
1,173.86,52.28,0,0,0.1907
1,392.45,48.29,0,1,0.5024
1,263.73,51.95,0,1,0.1835
1,507.2,41.51,0,1,0.8237
2,221.16,64.9,1,0,0.0012
2,193.09,53.74,0,0,0.1463
2,313.55,58.95,1,1,0.2605
2,258.43,59.52,1,1,0.1179
2,223.77,61.18,1,1,0.0413
3,216.36,64.01,1,0,0.014
3,196.02,52.17,0,0,0.158
3,202.44,63.04,0,0,0.0518
3,219.61,63.09,1,0,0.0211
3,228.08,63.98,1,1,0.0256
4,218.77,65.0,1,0,0.0024
4,216.36,64.01,1,1,0.0
4,214.5,61.39,0,0,0.03
4,216.36,63.34,0,1,0.0076
4,223.45,65.01,1,1,0.0025
5,214.77,63.94,1,0,0.0044
5,214.25,63.2,0,0,0.0051
5,215.8,65.19,1,0,0.006
5,217.26,64.27,1,1,0.0038
5,215.39,63.12,1,0,0.0034
6,196.55,58.76,0,0,0.0466
6,218.22,65.16,1,1,0.0066
6,209.1,50.36,0,1,0.1306
6,215.74,53.34,0,1,0.0991
6,258.21,62.48,1,1,0.1192
7,211.57,62.54,1,0,0.0106
7,213.67,62.63,1,0,0.0151
7,216.34,63.77,1,1,0.0047
7,193.2,50.32,1,0,0.1367
7,297.95,56.34,1,1,0.2432
8,189.24,55.34,0,0,0.0576
8,195.87,59.13,0,0,0.0179
8,226.66,64.98,1,1,0.0298
8,182.75,50.15,0,0,0.0287
8,220.84,65.28,1,0,0.0138
9,179.63,51.28,0,0,0.0375
9,206.46,50.91,0,1,0.0369
9,207.71,60.51,1,1,0.0193
9,207.06,61.93,1,0,0.0034
9,216.59,63.77,1,1,0.008
10,199.43,51.13,1,1,0.0178
10,199.33,61.1,1,1,0.0004
10,205.5,61.9,1,0,0.0043
10,189.69,53.49,0,0,0.0267
10,429.06,49.68,0,1,0.6066
11,173.26,54.12,0,0,0.0628
11,182.64,50.11,0,0,0.031
11,198.22,60.43,1,1,0.0027
11,198.28,60.42,1,1,0.0029
11,198.33,59.16,1,1,0.0103
12,189.82,58.98,1,0,0.0001
12,241.9,55.79,0,1,0.1135
12,263.73,51.95,0,1,0.1866
12,192.23,52.66,0,1,0.0716
12,218.88,55.12,0,1,0.0814
13,189.82,58.98,1,1,0.0
13,202.96,51.6,0,1,0.0906
13,192.67,51.65,0,1,0.083
13,245.0,53.11,1,1,0.1456
13,197.92,53.16,0,1,0.0693
14,195.49,62.26,0,0,0.0156
14,211.3,56.99,0,1,0.0544
14,245.6,54.72,1,1,0.1353
14,196.55,60.84,1,0,0.0011
14,198.87,60.77,1,1,0.0023
15,185.73,53.65,0,0,0.0611
15,189.69,58.98,1,1,0.0
15,196.55,60.84,1,1,0.0
15,192.27,51.47,0,1,0.085
15,199.21,61.17,1,0,0.0003
16,186.78,53.74,0,0,0.0226
16,189.89,59.05,0,0,0.0008
16,192.55,52.09,0,1,0.0413
16,206.27,53.6,0,1,0.0524
16,300.71,51.38,0,1,0.2803
17,188.49,53.74,0,0,0.0217
17,190.08,53.69,0,1,0.0224
17,189.04,54.49,0,0,0.0132
17,228.69,64.24,1,1,0.0404
17,256.88,63.02,1,1,0.1186
18,189.34,58.4,1,0,0.0067
18,189.23,58.45,0,0,0.0062
18,189.26,58.45,0,0,0.0062
18,189.24,58.45,0,0,0.0062
18,189.19,58.45,0,0,0.0062
19,189.34,58.4,1,1,0.0
19,189.08,56.15,1,0,0.0055
19,189.11,55.66,1,0,0.0
19,189.11,55.66,1,0,0.0
19,189.11,55.66,1,0,0.0
20,189.34,58.4,1,1,0.0
20,188.72,55.08,1,0,0.0062
20,189.08,56.15,1,1,0.0
20,202.46,61.08,0,1,0.0077
20,189.67,58.99,1,0,0.0
21,191.84,59.01,0,1,0.0059
21,191.14,59.04,0,1,0.0041
21,189.08,56.15,1,1,0.0
21,189.34,58.4,1,1,0.0
21,189.67,58.99,1,1,0.0
22,189.34,58.4,1,1,0.0
22,189.34,58.4,1,1,0.0
22,189.34,58.4,1,1,0.0
22,189.34,58.4,1,1,0.0
22,189.34,58.4,1,1,0.0
23,199.96,51.11,1,1,0.0469
23,179.52,51.12,0,0,0.0432
23,227.53,51.06,1,1,0.1122
23,176.22,50.38,0,0,0.0553
23,271.24,56.37,1,1,0.2031
24,189.24,57.58,1,1,0.0056
24,188.9,56.42,1,1,0.0
24,188.76,55.95,1,0,0.0038
24,189.08,56.75,1,0,0.0
24,189.17,58.07,1,1,0.0001
25,199.19,59.85,0,1,0.0275
25,188.9,56.42,1,1,0.0
25,188.9,56.42,1,1,0.0
25,266.57,53.73,1,1,0.2144
25,480.7,47.19,0,1,0.7602
26,190.12,55.07,1,1,0.006
26,211.34,59.42,0,1,0.0604
26,215.02,60.41,1,1,0.0695
26,192.73,59.5,0,1,0.0112
26,188.17,55.02,0,1,0.0007
27,189.42,59.54,0,0,0.0068
27,195.12,54.32,0,1,0.0206
27,192.35,52.02,0,1,0.0309
27,220.19,66.96,1,1,0.0228
27,187.58,55.9,1,0,0.0033
28,188.9,58.11,1,1,0.0
28,189.32,58.4,1,1,0.0
28,189.62,60.71,1,0,0.0012
28,209.72,51.42,0,1,0.0769
28,189.62,60.71,1,0,0.0012
29,187.56,56.55,1,0,0.0143
29,187.56,56.55,1,0,0.0143
29,187.56,56.55,1,0,0.0143
29,187.56,56.55,1,0,0.0143
29,187.56,56.55,1,0,0.0143
30,202.34,59.63,1,1,0.0363
30,186.49,54.22,0,0,0.0264
30,339.92,55.33,1,1,0.3702
30,231.61,51.91,0,1,0.1314
30,214.62,51.48,1,1,0.0935
31,210.75,52.97,0,1,0.0752
31,190.6,53.22,0,1,0.0385
31,228.85,52.76,0,1,0.1208
31,228.85,52.76,0,1,0.1208
31,228.85,52.76,0,1,0.1208
32,217.02,62.25,1,1,0.0728
32,232.11,56.06,1,1,0.1239
32,204.71,60.99,0,1,0.0409
32,189.75,60.94,1,1,0.0006
32,195.95,62.38,1,0,0.0162
33,231.04,53.57,0,1,0.1289
33,189.95,51.3,0,1,0.0752
33,192.83,50.91,1,1,0.0806
33,271.62,53.22,1,1,0.2314
33,260.69,52.13,1,1,0.2107
34,189.65,59.57,1,1,0.0059
34,190.63,53.08,0,1,0.0555
34,187.51,57.94,1,1,0.0
34,231.92,52.56,1,1,0.1358
34,207.23,54.83,1,1,0.0643
