gen,hv,n_pareto,llm_injected
1,0.44997,5,1
2,0.454276,8,1
3,0.472934,17,1
4,0.485146,17,1
5,0.498021,27,1
6,0.501936,31,1
7,0.513668,32,1
8,0.51924,36,1
9,0.522617,38,1
10,0.527697,50,1
11,0.528938,50,1
12,0.531697,48,1
13,0.535991,40,1
14,0.538966,50,1
15,0.540143,50,1
16,0.541217,50,1
17,0.544058,50,1
18,0.545004,50,1
19,0.547259,50,1
20,0.550098,50,1
21,0.550843,50,1
22,0.551609,50,1
23,0.552189,50,1
24,0.552597,50,1
25,0.552844,50,1
26,0.55435,49,1
27,0.555149,50,1
28,0.55621,50,1
29,0.558655,50,1
30,0.561067,50,1
31,0.56164,50,1
32,0.562009,50,1
33,0.562461,50,1
34,0.566878,50,1
35,0.567094,50,1
36,0.571272,50,1
37,0.571915,50,1
38,0.57504,50,1
39,0.57548,50,1
40,0.576169,50,1
41,0.576611,50,1
42,0.622115,50,1
43,0.623493,49,1
44,0.623656,50,1
45,0.624391,50,1
46,0.62447,50,1
47,0.62492,50,1
48,0.625498,50,1
49,0.626896,50,1
50,0.627087,50,1
51,0.627797,50,1
52,0.629142,48,1
53,0.632604,46,1
54,0.633859,50,1
55,0.635601,50,1
56,0.638294,49,1
57,0.638864,50,1
58,0.639939,50,1
59,0.640611,50,1
60,0.641066,48,1
61,0.644226,50,1
62,0.644617,50,1
63,0.646708,50,1
64,0.647885,50,1
65,0.655248,50,1
66,0.656272,50,1
67,0.656435,50,1
68,0.668354,50,1
69,0.672215,50,1
70,0.672896,50,1
71,0.67374,50,1
72,0.678478,46,1
73,0.683281,46,1
74,0.683635,50,1
75,0.684743,50,1
76,0.684941,50,1
77,0.689036,50,1
78,0.689154,50,1
79,0.689296,50,1
80,0.690514,50,1
81,0.690949,50,1
82,0.691924,50,1
83,0.692056,50,1
84,0.692311,50,1
85,0.69253,50,1
86,0.692919,50,1
87,0.69296,50,1
88,0.693455,50,1
89,0.696034,50,1
90,0.69624,50,1
91,0.696916,50,1
92,0.697086,50,1
93,0.698324,50,1
94,0.698419,50,1
95,0.705172,50,1
96,0.706074,50,1
97,0.70647,50,1
98,0.706503,50,1
99,0.706839,50,1
100,0.707008,50,1
