PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
97.301,55.613,54.8,643.98,1137.223,136.146,0.438,1.528,1.17,10.076,140.56,48.64
152.049,64.85,288.431,802.81,943.249,132.622,0.008,0.334,2.294,4.843,262.34,96.82
97.6,83.556,198.918,617.469,1005.69,117.0,0.87,0.628,5.049,18.961,187.53,61.72
97.849,98.495,69.466,733.946,1124.221,120.764,0.543,0.926,2.038,13.344,159.26,61.3
133.423,68.728,272.625,799.704,971.111,128.776,0.005,0.545,2.831,6.181,240.02,86.04
133.114,70.353,286.041,809.117,973.966,129.566,0.0,0.313,2.427,5.946,243.8,95.87
134.192,70.849,285.689,796.741,968.441,129.566,0.0,0.397,2.427,5.941,244.95,96.43
104.69,78.782,255.671,773.78,936.43,128.867,0.792,0.845,6.751,12.272,208.53,76.48
97.301,79.427,221.493,644.641,984.111,120.725,0.821,0.859,5.101,8.351,191.81,64.02
114.354,79.467,259.789,798.448,954.239,128.837,0.813,1.2,6.154,13.293,220.1,79.24
104.876,78.792,253.425,774.223,937.923,129.022,0.832,0.956,6.221,12.316,208.14,72.83
127.156,70.358,252.927,642.558,983.699,116.635,0.059,0.704,2.139,4.07,228.42,79.89
97.301,89.505,54.752,733.002,1112.678,96.486,0.476,0.933,1.88,11.416,151.81,58.34
106.981,70.856,275.954,771.515,928.821,130.387,0.843,1.227,6.104,10.649,213.65,78.86
97.607,87.432,198.713,634.104,1005.071,116.352,0.795,0.743,5.049,18.174,188.8,63.09
116.75,79.751,263.536,798.631,965.628,128.837,0.811,1.2,6.09,9.454,223.73,79.65
97.825,91.623,222.097,644.579,987.203,119.908,0.816,0.879,5.58,8.088,196.54,68.01
97.301,80.108,230.174,644.643,979.719,120.318,0.822,0.837,5.301,11.916,194.31,65.99
131.469,69.487,259.748,791.025,1043.071,129.667,0.0,0.602,2.457,3.761,235.06,83.44
97.301,78.731,38.2,755.111,1148.537,114.028,0.526,1.01,1.163,7.662,144.09,56.62
129.476,64.654,259.638,780.558,1074.585,126.696,0.0,0.618,2.669,3.289,231.45,80.83
97.301,97.477,69.466,719.264,1112.022,112.394,0.546,0.917,2.063,13.11,158.27,60.02
100.618,90.639,224.387,643.563,1003.866,121.955,0.819,0.658,5.824,7.948,199.8,68.36
97.301,87.96,223.557,629.78,995.112,121.682,0.866,0.987,7.042,8.515,195.16,66.43
97.8,83.58,53.6,738.622,1119.119,98.855,0.499,0.904,1.928,14.0,150.12,56.83
97.301,63.304,47.1,679.586,1139.0,122.256,0.5,1.0,1.5,8.065,141.15,51.15
97.301,63.612,46.76,668.239,1122.814,128.155,0.428,0.705,3.161,8.868,141.07,50.41
105.626,79.895,245.351,775.486,935.881,128.751,0.864,1.248,6.672,12.223,207.15,71.02
129.506,64.654,260.703,780.558,1070.38,126.696,0.0,0.618,2.636,3.528,231.74,81.71
106.981,63.566,275.71,771.515,928.821,130.387,0.849,1.227,6.104,10.649,211.2,77.21
133.134,69.487,257.294,790.609,987.582,131.228,0.0,0.602,2.419,3.51,235.95,85.05
105.626,79.984,245.351,775.61,935.881,128.751,0.803,1.187,6.674,12.223,207.18,72.4
97.8,83.8,53.6,737.2,1123.3,99.2,0.5,0.9,2.0,14.0,150.2,56.93
97.57,93.962,64.788,704.757,1097.311,121.796,0.539,0.928,2.012,12.889,156.07,58.79
97.301,63.8,47.4,718.0,1139.0,119.5,0.5,1.0,1.3,8.0,141.49,53.81
97.551,93.962,64.934,704.757,1112.726,121.628,0.539,0.928,2.306,12.889,156.14,58.87
103.3,95.496,228.643,643.868,1004.827,122.654,0.786,1.2,5.464,5.427,205.33,70.65
97.301,56.048,54.8,647.176,1156.305,134.926,0.437,0.937,1.323,9.276,140.78,48.73
97.301,63.5,47.2,679.0,1134.0,119.0,0.5,1.1,1.5,8.1,141.22,53.05
102.341,95.212,225.859,644.063,1004.266,121.243,0.788,1.2,5.537,6.042,203.5,69.8
107.025,66.881,278.309,771.75,932.05,130.472,0.826,1.448,6.05,10.727,213.03,77.91
97.301,72.4,40.0,674.9,1143.6,118.3,0.4,0.8,2.0,8.0,142.26,54.72
100.423,95.037,226.763,630.817,1002.178,122.645,0.793,0.419,5.43,7.299,201.63,68.92
97.301,98.495,69.466,719.264,1109.528,112.394,0.547,0.917,2.063,13.153,158.59,60.86
100.467,95.037,226.763,628.745,1004.131,122.645,0.772,0.44,5.763,7.336,201.68,69.33
128.445,63.88,267.815,780.897,1038.377,126.82,0.0,0.623,2.66,3.289,232.14,83.05
102.034,92.575,232.902,646.436,992.061,119.893,0.805,0.628,5.619,7.854,204.13,70.18
128.309,63.999,267.815,780.556,1039.978,126.696,0.0,0.623,2.66,3.289,232.04,83.04
133.423,70.86,265.994,798.836,973.935,131.344,0.005,0.542,2.802,6.188,238.97,85.83
97.301,73.834,42.4,752.723,1130.147,116.0,0.449,0.9,1.7,7.958,143.52,54.92
