gen,llm_gwp,llm_str,is_feasible,is_dominated,min_dist_to_front
1,358.94,60.14,0,1,0.135
1,316.46,65.84,1,1,0.0151
1,263.73,51.95,0,0,0.2041
1,281.67,51.46,0,0,0.182
1,330.07,66.45,1,0,0.0526
2,351.69,63.3,1,1,0.069
2,341.48,68.41,0,0,0.0382
2,330.32,71.26,1,0,0.0542
2,269.89,61.54,1,0,0.1229
2,297.69,59.44,1,0,0.082
3,318.97,71.3,1,0,0.0311
3,307.24,63.66,0,1,0.0206
3,318.67,68.06,1,0,0.0115
3,255.55,59.37,0,0,0.0462
3,286.75,64.6,0,0,0.0524
4,325.61,68.55,0,1,0.0198
4,320.29,69.64,1,1,0.0184
4,295.73,63.31,0,0,0.043
4,286.38,68.25,0,0,0.0544
4,289.93,75.59,1,0,0.093
5,284.02,63.11,1,1,0.0473
5,298.51,65.1,1,1,0.0864
5,289.93,75.59,1,1,0.0
5,241.68,57.24,0,0,0.0577
5,275.59,64.78,1,0,0.0242
6,264.47,64.01,1,0,0.0076
6,295.81,68.96,1,1,0.0511
6,260.35,55.42,0,0,0.0147
6,258.93,61.82,1,0,0.0342
6,271.47,61.06,1,1,0.0361
7,279.83,66.54,1,1,0.0072
7,277.22,64.01,1,1,0.0274
7,262.18,63.99,1,0,0.0063
7,221.54,56.08,0,0,0.0659
7,258.91,63.76,1,0,0.0155
8,282.5,68.69,1,0,0.0066
8,260.84,63.86,1,0,0.0039
8,272.66,67.12,1,0,0.0088
8,234.66,60.8,0,0,0.0042
8,251.02,61.6,0,1,0.0128
9,259.5,62.49,1,1,0.0056
9,247.42,61.74,0,1,0.0013
9,253.62,61.27,0,1,0.0148
9,226.82,55.21,1,0,0.0593
9,236.02,59.97,1,1,0.0113
10,247.1,60.56,1,1,0.0134
10,233.1,60.72,1,0,0.0002
10,255.62,62.73,0,0,0.004
10,227.48,56.63,1,0,0.0161
10,226.82,55.21,1,1,0.0
11,225.83,55.35,1,0,0.0017
11,242.29,60.2,1,1,0.0094
11,244.57,61.39,1,0,0.0076
11,224.23,55.56,1,0,0.0055
11,236.09,58.16,1,1,0.0235
12,235.46,60.25,1,1,0.0067
12,224.21,56.72,1,0,0.0056
12,224.88,57.46,1,0,0.0044
12,241.3,53.37,1,1,0.0487
12,233.83,59.18,1,1,0.0105
13,231.64,60.42,1,0,0.0001
13,234.2,60.77,1,0,0.0001
13,233.1,60.57,1,1,0.0017
13,182.39,56.91,0,0,0.0777
13,222.58,55.17,1,0,0.0037
14,219.0,55.02,1,1,0.0301
14,251.41,57.74,1,1,0.0644
14,231.4,56.35,0,1,0.0655
14,196.6,52.94,0,0,0.0396
14,215.24,56.31,1,0,0.024
15,251.91,70.04,1,1,0.0263
15,195.72,63.57,1,0,0.0083
15,268.7,80.15,1,0,0.0429
15,204.84,58.51,1,1,0.0554
15,209.27,57.52,1,1,0.0704
16,287.02,80.41,1,0,0.0033
