gen,hv,n_pareto,llm_injected
1,0.429799,5,1
2,0.454769,5,1
3,0.476113,9,1
4,0.524158,13,1
5,0.525382,17,1
6,0.548589,21,1
7,0.549637,28,1
8,0.550738,31,1
9,0.557326,25,1
10,0.558689,22,1
11,0.560673,33,1
12,0.575625,24,1
13,0.588073,28,1
14,0.591641,33,1
15,0.593071,43,1
16,0.595916,47,1
17,0.604443,46,1
18,0.605415,34,1
19,0.607595,32,1
20,0.615635,46,1
21,0.620562,39,1
22,0.628749,40,1
23,0.63608,44,1
24,0.63633,50,1
25,0.637435,46,1
26,0.638144,50,1
27,0.641553,50,1
28,0.642206,47,1
29,0.643814,47,1
30,0.652849,39,1
31,0.656356,34,1
32,0.656962,39,1
33,0.657803,43,1
34,0.662422,37,1
35,0.663511,43,1
36,0.667739,42,1
37,0.675037,50,1
38,0.675604,50,1
39,0.677471,50,1
40,0.678881,50,1
41,0.679587,48,1
42,0.679818,50,1
43,0.680583,50,1
44,0.680865,50,1
45,0.68206,50,1
46,0.682556,50,1
47,0.682947,50,1
48,0.68318,50,1
49,0.684411,50,1
50,0.686013,45,1
51,0.686539,46,1
52,0.687237,47,1
53,0.693709,48,1
54,0.695493,36,1
55,0.696618,39,1
56,0.699061,39,1
57,0.700879,39,1
58,0.701117,44,1
59,0.703895,46,1
60,0.705421,50,1
61,0.706254,50,1
62,0.708466,50,1
63,0.709276,50,1
64,0.712236,50,1
65,0.712489,50,1
66,0.712721,50,1
67,0.714282,50,1
68,0.714669,50,1
69,0.714885,50,1
70,0.715321,50,1
71,0.716541,50,1
72,0.719882,50,1
73,0.721483,50,1
74,0.72172,50,1
75,0.722252,50,1
76,0.723362,50,1
77,0.72373,50,1
78,0.726022,50,1
79,0.727036,50,1
80,0.727557,50,1
81,0.727984,50,1
82,0.728564,50,1
83,0.73565,50,1
84,0.735881,50,1
85,0.737612,50,1
86,0.738027,50,1
87,0.74009,50,1
88,0.74338,50,1
89,0.743519,50,1
90,0.744143,50,1
91,0.74918,50,1
92,0.750717,50,1
93,0.750783,50,1
94,0.751418,50,1
95,0.751853,50,1
96,0.751934,50,1
97,0.753835,50,1
98,0.754027,50,1
99,0.755953,50,1
100,0.756435,50,1
