PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
97.301,45.126,65.248,862.389,959.904,112.22,0.114,1.011,2.476,11.881,139.79,41.29
187.871,20.587,285.989,799.966,959.455,131.688,1.317,0.751,2.414,0.0,284.77,99.8
187.871,20.587,285.989,799.966,959.455,131.688,1.271,0.751,2.414,0.0,284.77,99.8
123.968,14.973,330.72,796.001,1004.105,136.458,1.096,1.161,1.844,0.0,227.92,94.8
126.266,21.604,332.248,810.438,1000.063,127.569,1.282,1.009,2.14,0.0,232.93,96.74
154.814,24.68,286.586,800.122,951.986,125.895,1.217,1.006,2.352,0.0,251.6,97.27
101.94,32.702,291.997,771.92,913.524,122.653,1.108,1.218,2.726,6.324,200.03,78.27
115.122,16.211,327.963,823.528,993.781,129.952,1.364,0.92,2.136,0.0,218.37,86.62
97.818,31.654,198.923,953.984,807.394,100.799,0.757,3.937,6.237,15.1,170.88,58.76
97.301,45.113,65.854,864.868,966.34,114.861,0.062,1.149,2.844,9.095,139.98,42.58
114.116,42.918,294.605,766.401,907.367,130.877,1.277,0.968,2.523,4.444,216.8,83.43
102.137,32.15,286.256,772.071,913.408,122.427,1.034,1.202,2.729,6.385,198.54,72.27
97.301,53.07,57.395,751.294,1053.054,122.173,0.622,0.881,1.53,8.64,140.38,48.18
99.292,95.634,62.458,745.779,1026.536,119.708,0.631,0.036,4.477,6.099,157.65,58.71
97.301,25.839,286.954,738.24,917.778,113.653,1.094,1.201,3.168,6.433,191.52,70.29
97.301,65.93,53.689,739.665,1131.504,122.286,0.64,0.842,1.514,7.852,143.88,52.93
101.879,25.839,286.883,768.561,917.698,122.357,1.058,1.164,3.168,6.404,196.38,70.48
97.301,82.459,43.469,784.512,1002.107,120.818,0.516,0.953,2.386,5.728,146.24,55.28
160.978,18.014,285.989,794.812,957.627,131.495,1.259,0.892,2.416,0.0,255.72,99.25
97.301,53.231,57.46,751.276,1138.884,122.243,0.648,0.847,1.438,8.58,140.77,50.14
97.919,33.754,263.857,796.273,970.418,117.445,1.034,1.373,3.365,3.003,189.01,67.73
99.228,35.074,232.772,797.626,903.888,113.757,1.023,1.341,3.403,2.399,182.37,64.0
98.277,29.65,226.152,951.5,763.72,93.481,0.617,3.533,6.273,16.597,177.72,59.85
97.301,53.931,57.801,759.392,1150.821,90.953,0.492,0.844,1.524,9.043,141.15,52.27
115.122,16.211,327.963,823.528,993.734,129.952,1.483,0.92,2.11,0.0,218.37,86.62
178.525,20.038,286.453,800.177,962.251,131.07,1.328,0.733,2.445,0.0,274.93,99.79
125.805,14.973,332.248,796.072,1001.136,136.631,1.135,1.161,1.844,0.0,230.24,94.99
97.818,44.572,199.182,982.842,809.367,100.825,0.72,3.934,6.438,15.058,175.27,58.92
114.163,18.149,328.719,823.903,993.811,129.909,1.36,0.92,2.249,0.0,218.2,86.49
178.525,20.038,286.453,800.177,962.251,131.07,1.328,0.733,2.445,0.0,274.93,99.79
104.965,35.868,286.656,783.696,913.759,118.599,1.217,0.996,2.104,4.026,202.86,79.0
156.668,24.331,286.849,800.122,947.454,124.531,1.204,1.015,2.503,0.0,253.48,97.57
170.122,20.563,285.94,798.342,959.426,131.653,1.319,0.756,2.415,0.0,266.15,99.59
97.301,35.43,260.284,796.818,904.729,118.395,0.93,1.374,3.08,4.139,187.73,64.64
108.972,49.421,292.852,784.992,952.598,113.286,1.222,1.177,2.06,3.273,213.29,82.3
98.877,84.718,47.119,750.144,1160.212,118.387,0.474,0.926,2.369,12.223,150.09,58.22
99.176,92.485,59.162,744.231,1039.987,117.991,0.622,0.759,3.398,5.951,155.67,58.29
165.216,18.207,285.989,799.479,958.369,131.915,1.259,0.836,2.392,0.005,260.24,99.48
97.301,32.037,229.211,796.303,905.998,115.59,1.036,1.414,3.36,3.555,178.41,61.71
104.71,45.26,287.165,783.696,914.203,117.937,1.217,0.996,2.047,4.122,205.81,79.59
97.894,33.773,262.716,796.273,903.47,117.445,1.014,1.374,3.365,3.003,188.44,67.34
97.301,84.705,47.117,734.621,1160.212,118.505,0.475,0.927,2.204,10.047,148.4,57.76
105.53,49.697,292.604,786.061,951.568,112.42,1.208,1.176,2.06,3.348,209.71,81.28
102.137,32.15,286.256,765.898,913.408,126.225,1.042,1.197,2.738,7.233,198.53,72.13
166.704,18.3,288.93,797.115,958.369,131.058,1.259,0.836,2.392,0.005,262.6,99.55
109.915,49.267,288.469,785.999,952.598,113.683,1.222,1.176,2.092,3.328,213.07,81.47
97.301,35.074,235.011,797.891,903.888,109.834,1.024,1.349,3.369,2.382,180.94,63.27
97.853,33.721,261.88,796.818,902.043,118.705,0.928,1.374,3.08,4.139,188.16,65.2
105.646,49.421,288.469,786.061,952.598,112.973,1.222,1.176,2.06,3.354,208.65,80.56
97.301,53.07,57.395,750.329,1059.748,121.902,0.6,0.881,1.53,8.64,140.4,48.33
