gen,llm_gwp,llm_str,is_feasible,is_dominated,min_dist_to_front
1,311.49,45.87,1,1,0.3003
1,503.52,47.98,1,1,0.7516
1,367.84,49.61,1,1,0.3975
1,182.35,53.24,0,0,0.1219
1,205.47,46.35,0,0,0.1596
2,290.48,52.61,0,1,0.2022
2,418.61,50.85,1,1,0.5187
2,234.38,57.8,0,1,0.0564
2,245.57,33.69,0,1,0.3101
2,263.73,51.95,0,1,0.1598
3,230.22,30.91,0,1,0.3331
3,412.03,48.61,1,1,0.5013
3,222.74,40.52,1,1,0.2233
3,221.55,55.34,0,1,0.0573
3,300.07,45.87,1,1,0.2563
4,354.55,42.3,0,1,0.4244
4,220.48,48.81,1,1,0.0891
4,310.39,43.49,1,1,0.309
4,211.03,52.02,0,1,0.0487
4,203.26,50.43,1,0,0.0696
5,260.16,48.51,1,1,0.1572
5,318.88,47.34,1,1,0.3105
5,341.44,48.31,1,1,0.3513
5,183.22,52.9,1,0,0.0615
5,257.28,44.32,1,1,0.1631
6,253.15,51.73,0,1,0.1396
6,385.63,50.96,1,1,0.4452
6,467.63,43.08,0,1,0.6857
6,234.75,56.63,0,1,0.0766
6,283.85,49.72,1,1,0.2259
7,252.37,50.81,0,1,0.1374
7,324.78,54.68,1,1,0.2805
7,376.05,60.89,0,1,0.3936
7,182.04,52.48,0,0,0.0057
7,220.46,50.07,0,1,0.0756
8,235.54,50.25,0,1,0.1019
8,189.44,37.78,0,1,0.1536
8,171.01,46.25,0,0,0.0615
8,307.49,51.17,0,1,0.2671
8,170.46,47.69,0,0,0.0481
9,260.77,54.28,1,1,0.1382
9,288.72,48.51,1,1,0.2377
9,399.25,42.14,1,1,0.5265
9,249.29,61.04,0,1,0.0642
9,307.44,48.16,1,1,0.2781
10,372.72,46.85,1,1,0.4378
10,236.59,46.85,0,1,0.1404
10,309.96,43.08,1,1,0.3221
10,194.87,53.71,0,0,0.0148
10,289.75,47.1,1,1,0.2513
11,258.28,43.25,0,1,0.2104
11,263.06,39.11,0,1,0.2538
11,293.5,47.98,0,1,0.2512
11,239.32,53.41,1,1,0.0982
11,253.15,43.69,0,1,0.1971
12,176.58,49.73,0,0,0.0137
12,263.27,51.93,1,1,0.1766
12,362.41,51.1,0,1,0.3921
12,235.12,57.57,0,1,0.0775
12,296.95,46.66,1,1,0.2789
13,411.79,53.59,1,1,0.5142
13,191.76,49.75,0,1,0.0395
13,205.35,54.35,0,1,0.0294
13,252.92,52.64,0,1,0.149
13,184.37,48.91,0,1,0.0282
14,153.51,40.35,0,0,0.1385
14,337.63,48.01,0,1,0.3536
14,204.96,41.88,0,1,0.1272
14,196.38,51.6,0,1,0.0323
14,195.97,49.21,0,1,0.0533
15,313.68,50.9,1,1,0.2812
15,423.23,42.21,1,1,0.5894
15,179.47,50.16,0,1,0.0111
15,180.41,47.82,0,1,0.0374
15,199.32,45.13,0,1,0.0888
16,239.33,45.61,1,1,0.1661
16,252.45,45.81,1,1,0.1935
16,534.82,46.82,0,1,0.8561
16,192.64,38.93,0,1,0.1412
16,258.49,43.75,1,1,0.2203
17,158.33,46.26,0,0,0.0837
17,255.22,51.18,1,1,0.1737
17,431.52,48.6,1,1,0.5854
17,163.22,33.51,0,0,0.2133
17,195.93,50.76,1,1,0.0404
18,186.53,55.33,0,0,0.0039
18,257.68,47.08,1,1,0.2052
18,236.85,46.2,1,1,0.1612
18,224.84,53.24,1,1,0.0924
18,307.49,44.69,1,1,0.3326
19,299.51,48.04,1,1,0.296
19,192.34,37.18,0,1,0.1778
19,359.52,49.13,1,1,0.4094
19,164.13,51.11,0,0,0.0252
19,220.77,35.77,0,1,0.22
20,244.08,55.38,0,1,0.1233
20,285.89,51.05,1,1,0.2475
20,325.38,54.26,1,1,0.3043
20,180.0,51.28,0,1,0.0155
20,191.84,47.62,0,1,0.0648
21,278.05,47.26,1,1,0.2529
21,255.11,47.34,1,1,0.1999
21,310.69,45.26,1,1,0.3404
21,218.67,50.34,1,1,0.0976
21,231.28,48.09,1,1,0.1404
22,317.24,45.95,1,1,0.347
22,363.04,47.29,1,1,0.4298
22,490.95,58.7,0,1,0.7061
22,192.46,55.91,0,1,0.0098
22,203.6,46.92,0,1,0.0896
23,412.03,50.4,1,1,0.5292
23,297.21,54.91,1,1,0.2361
23,246.67,59.68,1,1,0.1141
23,195.35,56.6,0,1,0.0148
23,207.5,49.7,0,1,0.0885
24,221.38,40.74,0,1,0.1755
24,372.41,58.42,0,1,0.3987
24,306.69,48.08,0,1,0.3138
24,166.43,47.4,0,0,0.0198
24,189.12,36.97,0,1,0.1496
25,369.6,46.58,0,1,0.4526
25,231.1,50.28,1,1,0.1428
25,310.26,44.46,1,1,0.3521
25,156.21,50.9,0,0,0.0335
25,225.12,45.31,1,1,0.1558
26,244.25,41.36,0,1,0.2239
26,204.77,43.11,0,1,0.1207
26,220.58,36.53,0,1,0.2002
26,210.26,50.82,0,1,0.0923
26,252.06,42.46,0,1,0.2355
27,260.4,53.65,0,1,0.1954
27,248.56,53.24,0,1,0.1746
27,286.38,51.16,0,1,0.2631
27,227.82,54.34,0,1,0.1185
27,263.73,51.95,0,1,0.215
28,325.42,52.31,1,1,0.3238
28,362.3,47.62,1,1,0.4356
28,490.8,45.33,0,1,0.7541
28,202.17,54.26,0,1,0.0518
28,235.12,50.34,1,1,0.1522
29,271.07,55.93,0,1,0.2041
29,190.69,33.79,0,1,0.1742
29,204.37,37.86,0,1,0.1585
29,225.29,45.66,0,1,0.154
29,223.44,41.75,0,1,0.177
30,210.45,50.73,0,1,0.1068
30,209.95,35.77,0,1,0.186
30,244.61,37.97,0,1,0.2488
30,170.0,48.88,0,1,0.0143
30,168.16,41.23,0,1,0.0744
31,227.38,38.38,0,1,0.2051
31,167.5,52.22,0,0,0.0025
31,191.81,41.16,0,1,0.108
31,154.42,48.3,0,0,0.0238
31,157.89,36.37,0,0,0.1286
32,363.04,44.12,0,1,0.4662
32,339.92,54.41,1,1,0.3431
32,443.72,44.27,0,1,0.644
32,150.29,44.78,0,0,0.048
32,215.86,45.88,1,1,0.142
33,335.72,52.91,0,1,0.3514
33,233.76,49.94,0,1,0.1677
33,174.03,43.71,0,1,0.0542
33,182.41,56.15,0,1,0.0146
33,191.84,47.54,0,1,0.0737
34,254.85,54.95,1,1,0.1823
34,201.09,49.71,0,1,0.0836
34,269.71,53.07,1,1,0.2275
34,166.32,49.53,0,0,0.003
34,191.71,37.98,0,1,0.1349
35,233.73,50.73,0,1,0.1643
35,351.23,49.33,0,1,0.4099
35,241.47,41.88,0,1,0.2231
35,184.37,50.67,0,1,0.0393
35,170.78,45.91,0,1,0.0293
36,316.96,49.08,1,1,0.3528
36,241.51,46.79,1,1,0.1981
36,263.73,51.95,0,1,0.2226
36,189.96,52.04,0,1,0.0456
36,218.67,48.37,1,1,0.1334
37,311.23,44.97,0,1,0.3741
37,218.3,51.63,0,1,0.1213
37,362.3,51.46,0,1,0.4223
37,168.78,50.43,0,1,0.013
37,230.51,48.16,1,1,0.1645
38,366.4,51.96,1,1,0.428
38,254.48,52.79,0,1,0.1866
38,424.94,51.0,1,1,0.5709
38,183.2,51.47,0,1,0.0309
38,242.37,48.41,1,1,0.193
39,263.73,51.95,0,1,0.2234
39,205.41,43.32,0,1,0.1325
39,154.62,35.76,0,0,0.1516
39,165.58,49.53,0,1,0.0056
39,154.85,30.5,0,0,0.2104
40,245.52,50.7,1,1,0.1913
40,467.95,45.96,0,1,0.7016
40,323.47,52.26,1,1,0.3369
40,182.83,50.49,1,1,0.0403
40,202.43,45.89,1,1,0.1127
41,166.14,50.71,0,1,0.0164
41,298.2,48.14,0,1,0.3217
41,233.73,39.0,0,1,0.2245
41,187.42,51.12,0,1,0.0469
41,188.96,42.14,0,1,0.1069
42,298.83,43.87,0,1,0.358
42,178.85,46.38,0,1,0.057
42,208.67,47.55,0,1,0.1178
42,150.5,45.13,0,0,0.0543
42,262.53,41.98,0,1,0.2775
43,205.76,45.25,0,1,0.1259
43,241.84,40.93,0,1,0.2336
43,346.21,48.76,0,1,0.4136
43,169.52,50.22,0,1,0.0215
43,168.16,40.34,0,1,0.1005
44,372.69,51.49,1,1,0.4486
44,280.68,56.58,0,1,0.2342
44,428.69,52.14,0,1,0.5764
44,201.8,54.27,0,1,0.0823
44,200.6,49.3,1,1,0.088
45,223.49,50.45,1,1,0.1438
45,235.26,51.1,0,1,0.1722
45,240.17,51.1,0,1,0.1829
45,184.9,46.26,0,1,0.0724
45,217.39,39.13,1,1,0.1905
46,346.8,42.55,1,1,0.4718
46,187.54,49.65,0,1,0.0565
46,297.01,48.51,1,1,0.3304
46,228.69,52.87,1,1,0.151
46,238.11,41.02,1,1,0.2256
47,244.76,47.65,1,1,0.2095
47,174.94,43.16,0,1,0.0768
47,227.41,51.03,1,1,0.1541
47,165.58,51.64,0,1,0.009
47,178.53,39.72,0,1,0.1159
48,227.33,36.47,1,1,0.2278
48,176.86,48.27,0,1,0.043
48,427.58,48.67,0,1,0.5975
48,179.64,29.36,0,1,0.2206
48,217.35,42.46,0,1,0.1705
49,461.2,47.46,0,1,0.6843
49,323.65,52.27,1,1,0.3507
49,362.85,48.24,1,1,0.458
49,169.15,51.2,0,1,0.0153
49,173.31,28.92,0,1,0.2296
50,228.82,53.27,1,1,0.1528
50,430.82,51.59,0,1,0.5891
50,337.22,65.29,1,1,0.2911
50,166.9,50.07,0,1,0.0167
50,161.72,47.24,0,1,0.0208
51,292.22,61.79,1,1,0.2465
51,294.32,61.82,1,1,0.2516
51,267.52,58.52,0,1,0.198
51,187.28,50.59,0,1,0.0525
51,260.03,54.78,0,1,0.2024
52,240.97,49.75,1,1,0.204
52,257.81,48.78,0,1,0.2461
52,234.19,51.6,1,1,0.1772
52,182.72,52.07,0,1,0.0468
52,196.08,48.76,1,1,0.0952
53,167.18,45.48,0,1,0.0402
53,176.44,27.41,0,1,0.2304
53,222.05,33.28,1,1,0.2427
53,165.58,48.37,0,1,0.0305
53,157.57,36.44,0,1,0.1202
54,372.85,51.07,1,1,0.497
54,257.55,50.4,0,1,0.2315
54,320.11,49.11,1,1,0.3749
54,181.72,54.88,0,1,0.0433
