gen,hv,n_pareto,llm_injected
1,0.471616,3,1
2,0.472383,5,1
3,0.502715,9,1
4,0.522637,14,1
5,0.528535,23,1
6,0.532288,24,1
7,0.536841,29,1
8,0.550516,21,1
9,0.551759,26,1
10,0.555392,23,1
11,0.555805,31,1
12,0.556185,37,1
13,0.585962,38,1
14,0.588697,41,1
15,0.588868,44,1
16,0.589462,41,1
17,0.589815,36,1
18,0.590459,36,1
19,0.604355,37,1
20,0.611517,46,1
21,0.613318,50,1
22,0.61798,50,1
23,0.618506,50,1
24,0.637849,50,1
25,0.645348,50,1
26,0.653661,50,1
27,0.660716,50,1
28,0.661527,50,1
29,0.672017,50,1
30,0.678167,50,1
31,0.679926,50,1
32,0.685644,47,1
33,0.685988,47,1
34,0.705306,50,1
35,0.711585,50,1
36,0.718613,50,1
37,0.719066,50,1
38,0.733078,50,1
39,0.754423,50,1
40,0.754887,50,1
41,0.755594,50,1
42,0.756954,48,1
43,0.757268,50,1
44,0.760431,50,1
45,0.763261,50,1
46,0.764289,50,1
47,0.765643,50,1
48,0.766881,50,1
49,0.777934,50,1
50,0.778854,50,1
51,0.784243,50,1
52,0.785159,50,1
53,0.785618,50,1
54,0.786267,50,1
55,0.814537,50,1
56,0.815499,50,1
57,0.816847,50,1
58,0.817919,50,1
59,0.833815,50,1
60,0.860091,50,1
61,0.871914,50,1
62,0.872166,50,1
63,0.872323,50,1
64,0.873449,50,1
65,0.878931,50,1
66,0.879612,50,1
67,0.880162,50,1
68,0.880582,50,1
69,0.880873,50,1
70,0.881419,50,1
71,0.881979,50,1
72,0.882567,50,1
73,0.882974,50,1
74,0.883392,50,1
75,0.883952,50,1
76,0.884007,50,1
77,0.885016,50,1
78,0.885274,50,1
79,0.885848,50,1
80,0.886082,50,1
81,0.886255,50,1
82,0.886378,50,1
83,0.886647,50,1
84,0.889223,50,1
85,0.889393,50,1
86,0.890055,50,1
87,0.890666,50,1
88,0.891416,50,1
89,0.891483,50,1
90,0.8919,50,1
91,0.892749,50,1
92,0.893024,50,1
93,0.893024,50,1
94,0.89341,50,1
95,0.893529,50,1
96,0.893833,50,1
97,0.894058,50,1
98,0.894166,50,1
99,0.894195,50,1
100,0.894292,50,1
