gen,llm_gwp,llm_str,is_feasible,is_dominated,min_dist_to_front
1,294.32,46.97,1,1,0.1052
1,271.2,52.96,1,0,0.0204
1,248.08,55.84,1,0,0.0561
1,228.43,54.35,0,0,0.0987
1,256.81,54.95,0,0,0.0322
2,263.73,51.95,0,1,0.0613
2,254.59,55.05,0,1,0.0199
2,248.08,55.84,1,1,0.0
2,237.47,51.27,0,0,0.0591
2,243.57,53.75,0,0,0.0266
3,157.21,45.36,0,0,0.2627
3,275.28,64.83,1,0,0.0182
3,248.08,55.84,1,1,0.0
3,244.44,50.7,1,0,0.0454
3,239.36,53.07,1,0,0.0244
4,275.28,64.83,1,1,0.0
4,242.88,55.11,1,0,0.0056
4,244.6,53.14,1,1,0.0144
4,247.37,55.61,1,1,0.0054
4,246.14,56.74,1,0,0.0054
5,263.04,62.94,1,0,0.0283
5,242.88,55.11,1,1,0.0
5,203.1,49.36,0,0,0.1082
5,269.1,62.42,1,0,0.0125
5,247.75,56.06,1,1,0.0078
6,253.65,57.34,1,0,0.0028
6,263.04,62.94,1,1,0.0
6,242.88,55.11,1,1,0.0103
6,243.76,57.31,0,0,0.0066
6,242.74,56.31,1,0,0.0029
7,242.96,55.78,1,1,0.006
7,305.52,54.59,1,1,0.1325
7,256.99,57.75,1,0,0.0027
7,243.66,57.02,1,0,0.004
7,253.48,57.24,1,1,0.0011
8,229.04,55.96,1,1,0.0133
8,297.12,48.36,1,1,0.1495
8,236.19,52.36,0,1,0.0275
8,157.02,45.79,0,0,0.2105
8,198.69,46.44,0,0,0.111
9,252.56,60.53,1,0,0.0263
9,267.87,71.98,1,0,0.0378
9,191.81,55.57,0,0,0.0482
9,246.41,56.57,0,1,0.0151
9,226.52,57.15,1,0,0.0005
10,183.66,51.37,0,0,0.0474
10,236.35,56.06,1,1,0.0296
10,256.32,65.87,1,0,0.0264
10,258.79,63.86,1,0,0.0111
10,211.77,55.42,1,0,0.0101
11,215.05,55.79,1,0,0.0099
11,363.68,66.49,0,1,0.2693
11,222.93,55.34,1,1,0.0038
11,155.48,47.69,0,0,0.1189
11,215.08,55.47,1,0,0.0091
12,215.05,55.79,1,1,0.0
12,234.91,57.06,1,1,0.0227
12,211.71,54.73,1,1,0.015
12,182.66,54.73,0,0,0.0101
12,179.53,51.96,0,0,0.024
13,221.87,56.15,1,0,0.0008
13,215.05,55.79,1,1,0.0
13,225.55,56.32,1,1,0.0017
13,155.48,49.55,0,0,0.093
13,186.97,53.39,1,1,0.0059
14,254.5,64.09,1,1,0.0216
14,215.92,53.65,1,1,0.034
14,182.61,52.42,1,1,0.0266
14,235.07,58.31,1,1,0.0585
14,198.05,56.36,1,0,0.0348
15,213.47,59.76,1,0,0.016
15,199.84,55.29,1,1,0.013
15,187.67,54.01,0,1,0.0165
15,156.78,47.76,0,0,0.093
15,187.99,56.65,1,0,0.01
16,190.56,53.28,1,1,0.0265
16,198.88,53.56,1,1,0.0442
16,183.68,53.71,1,1,0.0077
16,155.48,49.13,0,0,0.0858
16,192.54,54.21,1,1,0.026
17,192.66,52.79,1,1,0.0348
17,234.77,56.19,1,1,0.0676
17,187.7,53.11,0,1,0.0208
17,182.17,52.91,0,1,0.0098
17,182.17,52.9,1,1,0.0099
18,227.12,68.18,1,0,0.0103
18,198.84,55.12,1,1,0.0374
18,190.46,56.72,1,1,0.0094
18,196.7,56.43,1,1,0.0267
18,195.92,55.32,1,1,0.0295
19,180.48,53.85,1,0,0.002
19,189.57,53.12,0,1,0.0257
19,221.48,63.97,1,1,0.0076
19,155.48,47.69,0,0,0.096
19,213.07,56.07,1,1,0.0508
20,203.54,59.98,0,1,0.0005
20,199.33,58.7,1,0,0.0183
20,182.39,53.54,1,1,0.0055
20,188.42,53.46,1,1,0.0216
20,188.57,53.9,1,1,0.0192
21,205.59,55.77,1,1,0.0372
21,232.51,63.2,1,1,0.0615
21,199.01,58.64,1,0,0.0011
21,155.48,47.69,0,0,0.096
21,181.12,53.72,1,1,0.0019
22,186.99,52.91,1,1,0.0198
22,205.73,42.8,1,1,0.1407
22,203.46,55.45,1,1,0.038
22,155.48,47.69,0,0,0.096
22,183.2,54.91,1,1,0.0081
23,185.67,48.84,1,1,0.0727
23,159.98,46.87,0,0,0.1085
23,205.3,45.33,0,1,0.1303
23,159.55,48.13,0,0,0.0972
23,187.04,56.8,1,1,0.0002
24,234.72,55.76,1,1,0.1108
24,191.55,53.28,1,1,0.0369
24,180.44,55.74,1,0,0.0037
24,155.48,47.69,0,0,0.0883
24,180.83,55.28,1,0,0.0011
25,180.44,55.74,1,1,0.0
25,180.44,55.74,1,1,0.0
25,180.44,55.74,1,1,0.0
25,180.44,55.74,1,1,0.0
25,180.44,55.74,1,1,0.0
26,195.07,63.39,0,0,0.0107
26,244.51,64.93,1,1,0.0878
26,207.15,54.86,1,1,0.0502
26,192.24,62.44,0,0,0.0042
26,194.02,52.93,1,1,0.044
27,360.58,49.03,0,1,0.445
27,312.5,57.38,1,1,0.2855
27,261.33,52.08,1,1,0.2074
27,158.4,47.93,0,0,0.0898
27,248.05,54.83,1,1,0.1606
28,225.72,75.37,1,1,0.0097
28,263.52,75.33,1,1,0.0592
28,207.67,64.31,1,1,0.0217
28,208.64,67.68,0,0,0.0078
28,229.33,69.95,1,1,0.0375
29,195.39,60.29,1,1,0.0078
29,248.21,68.22,1,1,0.0908
29,160.07,49.54,0,0,0.0732
29,180.44,55.74,1,1,0.0
29,177.45,54.49,1,0,0.0001
30,240.48,52.03,1,1,0.1557
30,199.95,51.9,0,1,0.0657
30,183.64,50.92,0,1,0.0436
30,195.37,53.81,0,1,0.0408
30,214.98,53.12,0,1,0.0871
31,254.5,54.99,1,1,0.1798
31,310.39,52.63,1,1,0.314
31,192.87,56.4,1,1,0.0166
31,203.41,55.0,0,1,0.0493
31,217.16,52.41,1,1,0.0963
32,265.7,54.2,0,1,0.2117
32,291.01,52.07,0,1,0.2849
32,222.07,47.72,1,1,0.1385
32,137.95,46.94,0,0,0.1306
32,198.85,54.02,0,1,0.0451
