PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
126.146,30.719,311.1,793.654,956.248,129.201,0.0,1.066,2.116,20.832,230.01,94.59
97.5,6.543,137.892,715.0,1084.944,114.0,0.801,1.439,2.497,11.628,146.6,51.39
115.166,32.847,313.53,793.294,926.949,128.42,0.01,1.012,2.076,21.672,219.73,84.56
115.642,19.294,330.132,777.721,966.055,129.292,0.002,1.115,1.883,21.872,220.27,91.92
97.301,16.911,268.566,772.204,967.65,104.295,0.042,1.032,3.808,23.128,184.01,67.62
106.404,15.522,299.371,743.144,920.145,102.078,0.077,0.793,3.899,20.041,200.97,77.12
97.744,34.895,240.677,648.286,1041.72,99.377,0.823,2.929,2.715,21.979,182.96,64.1
97.301,0.958,162.009,680.895,1095.642,116.094,0.826,1.216,3.201,13.617,150.88,53.54
101.874,18.845,303.167,674.547,952.829,111.157,0.105,1.367,1.907,24.534,198.26,75.15
97.5,1.0,150.0,700.0,1100.0,115.0,0.8,1.3,3.0,14.0,148.0,52.46
101.937,16.81,263.998,772.643,978.473,104.295,0.043,1.035,3.869,23.125,187.67,68.56
111.335,18.365,320.618,797.775,944.911,131.317,0.006,1.186,2.709,25.214,212.92,83.36
116.857,32.316,330.881,785.215,943.15,129.601,0.005,1.097,1.818,21.117,225.95,93.37
97.301,0.004,188.456,687.074,1097.777,104.602,0.826,3.173,2.824,15.755,157.57,57.07
98.233,11.227,162.009,680.895,1096.249,115.228,0.783,1.216,3.133,13.516,155.23,55.51
97.653,31.779,239.405,650.702,1044.671,100.299,0.788,2.858,3.237,22.019,181.52,63.17
108.792,15.239,300.571,731.323,922.826,108.143,0.083,0.867,3.936,24.142,203.68,78.22
100.431,19.019,302.409,682.201,977.001,111.775,0.106,1.369,2.437,25.214,196.71,73.44
101.437,16.852,294.977,760.248,915.533,105.234,0.126,1.318,3.987,23.015,195.07,72.38
101.173,16.591,286.034,833.012,975.979,106.176,0.0,1.025,4.158,24.076,192.76,72.15
101.307,16.81,277.966,823.904,980.955,104.313,0.072,1.035,3.854,23.127,190.84,70.04
97.982,1.188,191.917,658.939,1101.693,109.806,0.876,1.242,3.115,16.661,159.53,58.78
113.59,30.675,314.78,792.113,930.44,127.162,0.0,1.055,2.099,21.147,217.71,83.88
111.271,18.31,305.441,763.869,923.999,130.378,0.0,1.18,2.45,24.968,208.66,79.88
98.233,3.814,162.009,680.895,1095.714,115.228,0.795,1.216,3.201,13.572,152.79,54.99
97.612,43.974,210.569,797.107,1066.005,100.12,0.842,2.619,2.037,18.896,178.33,63.09
98.245,0.0,212.42,672.231,1097.804,105.008,0.821,1.722,3.038,17.244,164.85,59.05
97.301,16.536,285.928,829.179,980.267,105.222,0.116,1.035,2.669,23.321,188.66,69.31
116.651,32.046,319.213,785.115,939.779,129.21,0.013,1.08,1.914,21.792,222.55,93.01
98.0,0.0,220.0,670.0,1090.0,105.0,0.8,1.7,3.0,17.0,166.56,59.33
98.233,3.814,238.569,680.895,1095.714,115.228,0.795,1.216,3.201,17.595,173.01,61.04
124.925,30.806,311.1,793.507,955.221,126.956,0.0,1.055,2.099,20.832,228.75,93.75
98.233,4.149,233.184,677.436,1095.714,115.157,0.812,1.216,3.243,17.514,171.69,60.85
98.345,0.0,228.249,672.405,1085.75,105.776,0.818,1.233,3.243,17.8,169.09,60.49
100.604,19.019,303.167,679.358,977.001,111.704,0.107,1.369,2.438,25.214,197.09,74.69
108.402,15.629,312.058,756.977,939.279,108.161,0.059,0.9,3.952,24.845,206.56,78.98
110.714,18.365,320.924,797.775,944.911,130.339,0.005,1.186,2.711,25.105,212.35,82.62
97.612,36.268,211.659,796.876,1066.763,96.527,0.809,2.623,2.036,18.94,176.09,62.86
97.602,36.059,206.182,796.741,1066.763,99.282,0.846,2.634,2.03,18.976,174.56,62.13
111.322,16.106,319.579,763.166,924.178,130.279,0.0,1.181,2.443,25.089,211.72,81.49
111.322,15.931,319.579,763.066,924.178,130.279,0.033,1.181,2.443,25.214,211.66,80.6
115.678,32.046,318.219,784.965,939.779,129.21,0.0,1.08,1.914,21.792,221.27,92.93
107.472,15.527,311.045,733.727,939.413,108.483,0.093,0.894,3.955,23.695,205.22,78.29
98.0,1.0,190.0,660.0,1100.0,110.0,0.9,1.2,3.1,17.0,158.98,57.15
110.765,18.288,305.441,763.834,924.318,132.549,0.0,1.179,2.45,25.056,208.12,79.28
101.331,16.809,277.966,787.852,980.254,104.313,0.071,1.035,3.854,23.127,190.77,69.91
98.187,1.188,189.626,659.159,1101.693,109.806,0.876,1.242,3.115,16.661,159.14,58.44
98.233,4.149,223.041,679.72,1097.334,114.844,0.812,1.298,3.257,17.541,169.02,59.7
113.59,30.675,314.78,792.113,930.44,127.162,0.0,1.055,2.099,21.147,217.71,83.88
97.612,36.265,206.505,796.876,1066.763,96.527,0.808,2.623,2.02,18.932,174.73,62.54
