gen,hv,n_pareto,llm_injected
1,0.49225,10,1
2,0.542847,14,1
3,0.55533,22,1
4,0.57091,30,1
5,0.586971,24,1
6,0.590742,24,1
7,0.605364,30,1
8,0.621788,40,1
9,0.622963,47,1
10,0.625105,43,1
11,0.625801,50,1
12,0.626041,50,1
13,0.634567,47,1
14,0.653303,46,1
15,0.65535,45,1
16,0.668693,45,1
17,0.670405,42,1
18,0.671367,46,1
19,0.672737,50,1
20,0.674479,50,1
21,0.674994,50,1
22,0.686835,49,1
23,0.691197,50,1
24,0.704324,42,1
25,0.704708,50,1
26,0.705577,50,1
27,0.706661,50,1
28,0.710421,50,1
29,0.711709,50,1
30,0.712394,45,1
31,0.713088,50,1
32,0.728988,42,1
33,0.73543,42,1
34,0.735814,50,1
35,0.736133,50,1
36,0.738304,50,1
37,0.741004,50,1
38,0.741478,50,1
39,0.746289,50,1
40,0.746827,50,1
41,0.747272,50,1
42,0.75004,50,1
43,0.750393,50,1
44,0.750664,50,1
45,0.750805,50,1
46,0.750955,50,1
47,0.751124,50,1
48,0.751275,50,1
49,0.751399,50,1
50,0.751363,50,1
51,0.752315,50,1
52,0.752568,50,1
53,0.752721,50,1
54,0.752747,50,1
55,0.752976,50,1
56,0.753133,50,1
57,0.753169,50,1
58,0.753713,50,1
59,0.753986,50,1
60,0.754127,50,1
61,0.754195,50,1
62,0.754476,50,1
63,0.757678,50,1
64,0.757901,50,1
65,0.759153,50,1
66,0.759597,50,1
67,0.759723,50,1
68,0.759778,50,1
69,0.7604,50,1
70,0.760824,50,1
71,0.760851,50,1
72,0.761476,50,1
73,0.761509,50,1
74,0.761608,50,1
75,0.761642,50,1
76,0.761913,50,1
77,0.761965,50,1
78,0.762613,50,1
79,0.762696,50,1
80,0.762748,50,1
81,0.763054,50,1
82,0.763162,50,1
83,0.763332,50,1
84,0.763366,50,1
85,0.763473,50,1
86,0.763493,50,1
87,0.763552,50,1
88,0.763761,50,1
89,0.764724,50,1
90,0.765114,50,1
91,0.766493,50,1
92,0.766557,50,1
93,0.768898,50,1
94,0.768919,50,1
95,0.768987,50,1
96,0.769053,50,1
97,0.768991,50,1
98,0.769256,50,1
99,0.769363,50,1
100,0.769697,47,1
