gen,llm_gwp,llm_str,is_feasible,is_dominated,min_dist_to_front
1,226.78,53.21,1,0,0.0113
1,234.31,54.25,1,0,0.0149
1,249.33,53.34,0,0,0.0504
1,221.36,55.11,0,0,0.0338
1,219.52,54.13,0,0,0.0329
2,251.85,54.87,1,1,0.0354
2,258.54,55.95,1,0,0.015
2,195.09,51.28,1,0,0.0894
2,237.58,54.83,1,1,0.0242
2,246.74,54.8,1,1,0.049
3,244.84,56.31,1,1,0.0072
3,236.63,56.13,1,0,0.0091
3,216.7,54.14,1,0,0.0295
3,212.02,59.45,0,0,0.066
3,195.09,51.28,1,1,0.0
4,243.39,56.84,1,1,0.0
4,236.63,56.13,1,1,0.0
4,244.16,53.06,1,1,0.0403
4,192.26,50.07,1,0,0.0157
4,213.68,53.03,1,0,0.015
5,195.09,51.28,1,1,0.0
5,195.09,51.28,1,1,0.0
5,199.34,53.22,1,1,0.0073
5,195.09,51.28,1,1,0.0
5,202.97,51.92,1,1,0.0227
6,233.21,57.74,1,0,0.0059
6,224.01,51.38,0,1,0.0512
6,236.42,58.26,1,0,0.0157
6,208.85,53.45,1,1,0.0259
6,194.8,50.8,1,1,0.0094
7,192.35,50.22,1,1,0.0
7,192.26,50.07,1,1,0.0
7,199.58,53.07,1,1,0.009
7,192.35,50.22,1,1,0.0
7,189.92,50.34,1,0,0.0068
8,257.36,59.38,1,0,0.02
8,204.33,50.36,1,1,0.0358
8,229.25,54.37,1,1,0.0248
8,155.48,47.2,0,0,0.0885
8,199.05,50.32,1,1,0.023
9,235.84,52.62,1,1,0.0529
9,257.31,48.73,1,1,0.1158
9,267.2,49.1,0,1,0.1184
9,210.81,54.03,0,1,0.0385
9,234.36,53.59,1,1,0.0415
10,189.92,50.34,1,1,0.0
10,189.92,50.34,1,1,0.0
10,189.92,50.34,1,1,0.0
10,189.92,50.34,1,1,0.0
10,189.92,50.34,1,1,0.0
11,207.52,52.16,1,1,0.0431
11,198.36,48.32,1,1,0.0314
11,202.93,53.26,1,1,0.0267
11,207.85,53.63,0,1,0.0347
11,185.66,48.43,1,1,0.0035
12,232.37,51.16,1,1,0.0693
12,191.13,49.15,0,1,0.0111
12,195.09,54.26,1,0,0.0043
12,155.43,46.48,0,0,0.068
12,206.87,48.92,1,1,0.0534
13,223.11,51.72,1,1,0.049
13,260.75,50.57,1,1,0.1198
13,179.54,47.84,1,0,0.0005
13,211.07,55.63,0,1,0.0289
13,205.28,48.94,1,1,0.0487
14,184.25,48.19,0,1,0.0069
14,185.25,48.09,0,1,0.008
14,181.97,48.79,1,0,0.003
14,155.48,47.16,0,0,0.0571
14,182.06,48.8,1,0,0.0028
15,195.09,54.26,1,1,0.0
15,224.12,52.6,0,1,0.0609
15,212.11,50.47,1,1,0.0632
15,195.09,54.26,1,1,0.0
15,198.33,53.28,1,1,0.0142
16,195.09,54.26,1,1,0.0
16,195.09,54.26,1,1,0.0
16,195.09,54.26,1,1,0.0
16,107.75,31.26,0,0,0.284
16,205.56,51.51,1,1,0.0415
17,191.44,54.15,1,0,0.0084
17,189.05,53.08,1,1,0.0064
17,182.2,51.39,1,0,0.01
17,181.7,52.49,0,0,0.0178
17,183.34,51.15,1,0,0.0119
18,196.01,50.94,1,1,0.0314
18,198.29,50.82,1,1,0.0373
18,193.73,50.88,1,1,0.0272
18,123.35,35.32,0,0,0.2154
18,180.29,50.93,1,1,0.0043
19,192.33,52.87,1,1,0.014
19,234.22,51.15,0,1,0.0797
19,178.93,47.46,1,1,0.0273
19,168.5,49.34,0,0,0.0187
19,212.77,54.84,1,1,0.0231
20,178.54,50.77,1,1,0.0019
20,177.36,50.57,0,0,0.0025
20,181.93,51.4,1,0,0.0007
20,178.98,50.09,0,1,0.009
20,177.34,50.65,1,0,0.0016
21,181.93,51.4,1,1,0.0
21,178.83,51.08,1,0,0.0001
21,178.69,50.64,1,1,0.0033
21,175.19,49.87,1,1,0.0032
21,175.19,49.94,1,1,0.0024
22,177.34,51.45,1,1,0.0044
22,212.77,54.61,1,1,0.0254
22,175.19,49.94,1,1,0.0024
22,200.25,52.39,1,1,0.035
22,190.0,50.67,1,1,0.0235
23,197.67,55.61,0,1,0.0033
23,244.53,54.67,1,1,0.0769
23,287.78,54.35,0,1,0.1806
23,155.17,48.26,0,0,0.0553
23,211.41,52.53,1,1,0.0489
24,177.97,51.14,1,1,0.0108
24,310.16,46.45,1,1,0.2776
24,190.61,46.99,0,1,0.0656
24,156.39,47.44,0,0,0.0642
24,191.77,52.08,1,1,0.0201
25,196.33,53.35,1,1,0.0211
25,263.73,51.95,0,1,0.1413
25,204.93,43.84,0,1,0.1177
25,179.09,49.6,0,1,0.0226
25,195.69,49.84,1,1,0.0465
26,296.99,52.15,1,1,0.225
26,210.61,51.73,1,1,0.0505
26,194.34,56.17,0,0,0.0052
26,149.28,46.58,0,0,0.0854
26,200.5,53.2,0,1,0.0313
27,182.53,51.86,0,1,0.0095
27,205.68,51.17,0,1,0.0549
27,198.85,52.62,0,1,0.0306
27,155.48,49.55,0,0,0.054
27,180.35,53.16,1,0,0.0061
28,180.5,52.14,1,1,0.0047
28,177.46,51.94,1,1,0.002
28,183.27,53.21,1,0,0.0007
28,155.48,47.2,0,0,0.0634
