PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
154.555,53.491,286.183,815.063,960.583,130.249,0.071,0.787,2.351,0.083,260.74,102.26
154.555,53.491,286.183,815.063,960.583,130.249,0.071,0.787,2.351,0.083,260.74,102.26
97.301,9.1,101.3,950.927,943.406,124.034,0.101,2.182,0.0,8.642,137.66,38.73
147.554,44.184,286.227,792.001,955.233,129.162,0.065,0.889,2.694,0.0,250.29,100.54
126.63,51.232,289.574,794.302,927.284,128.766,0.105,0.923,2.468,0.0,231.46,100.53
107.842,61.181,285.79,768.162,923.216,130.242,0.0,1.257,2.757,0.0,213.95,95.52
107.645,60.14,285.945,806.047,939.398,129.86,0.0,1.217,2.629,0.031,213.6,87.88
97.301,37.355,209.528,835.236,933.801,101.634,0.042,0.825,2.737,0.875,175.17,59.83
97.611,91.346,78.057,710.024,1108.649,98.862,0.55,3.113,1.891,0.016,158.81,57.39
98.166,78.561,50.406,734.151,1110.224,117.908,0.347,1.232,1.959,0.004,147.97,56.6
97.633,31.359,78.956,769.861,1167.105,114.003,0.292,1.564,1.215,1.472,139.77,46.04
115.976,44.639,298.606,800.115,969.036,131.945,0.014,0.939,2.191,0.0,220.68,99.77
125.311,49.301,287.709,794.987,922.773,128.994,0.03,1.038,2.813,0.0,228.93,99.95
102.22,32.736,285.781,772.974,969.048,119.78,0.002,1.186,2.616,0.0,198.9,75.75
113.152,43.118,299.683,800.974,967.084,129.823,0.007,0.958,2.175,0.267,217.5,99.45
102.354,33.723,285.781,773.692,968.872,119.923,0.0,1.187,2.322,0.0,199.37,80.77
97.301,51.8,58.6,721.09,1107.312,119.556,0.395,1.9,1.9,0.0,140.4,51.43
97.318,103.292,81.266,700.707,1100.625,107.155,0.514,3.226,1.991,0.0,163.22,59.15
105.392,42.59,299.885,800.778,921.138,128.73,0.016,0.978,2.564,0.243,209.08,86.92
107.89,60.956,285.945,804.982,923.186,130.003,0.0,1.218,2.629,0.032,214.06,96.99
97.317,37.225,222.308,808.44,931.49,102.209,0.042,0.999,2.626,0.626,178.44,65.24
104.194,33.917,300.071,768.039,961.942,126.185,0.0,1.172,2.532,0.0,205.09,84.63
97.301,37.97,236.933,785.17,959.864,104.282,0.036,1.219,2.758,0.811,182.57,67.21
97.301,37.242,213.513,840.27,944.234,102.142,0.041,0.797,2.728,0.0,176.23,61.03
151.101,48.975,285.228,798.268,959.434,127.159,0.056,1.129,2.751,0.0,255.34,100.64
97.797,38.069,257.495,782.317,943.544,103.471,0.028,1.25,2.561,0.0,188.48,72.4
97.301,38.135,255.255,763.526,943.491,105.448,0.046,1.207,2.501,0.0,187.34,70.87
97.301,100.789,72.254,695.131,1114.594,98.407,0.522,2.963,1.995,0.0,160.04,58.61
97.799,53.309,57.898,721.371,1107.312,120.481,0.393,1.699,1.9,0.005,141.24,51.63
102.22,31.992,297.24,772.974,978.709,118.693,0.002,1.187,2.613,0.0,201.72,82.82
97.301,38.91,244.828,766.509,943.721,105.119,0.048,1.188,3.017,0.0,184.85,69.96
97.688,66.67,43.582,734.151,1122.383,117.499,0.321,1.232,2.006,0.006,141.81,55.09
97.301,40.934,209.528,835.236,933.801,101.634,0.042,0.825,2.737,0.875,176.34,63.69
97.749,15.665,94.698,821.151,1146.196,113.509,0.417,2.241,0.546,3.055,138.96,44.16
104.059,33.884,300.071,765.333,961.942,126.185,0.0,1.172,2.532,0.054,204.94,83.76
97.831,67.728,43.474,734.151,1122.623,117.908,0.317,1.231,2.006,0.004,142.28,55.46
108.002,44.639,298.606,795.449,975.085,131.945,0.035,0.933,2.198,0.0,212.34,87.01
102.22,31.813,297.24,772.974,975.879,118.693,0.002,1.186,2.616,0.0,201.65,81.61
97.301,9.1,101.3,958.2,943.4,118.4,0.1,2.2,0.0,8.1,137.68,42.05
97.301,9.1,101.3,954.306,943.406,124.034,0.101,2.2,0.0,8.28,137.67,38.88
97.301,37.889,244.828,778.282,943.719,105.182,0.054,1.146,2.767,0.0,184.55,68.53
97.683,50.467,266.529,748.404,921.78,118.351,0.068,1.17,2.527,0.0,194.65,74.22
154.555,42.631,288.647,819.745,930.675,129.492,0.018,0.807,2.365,0.055,257.73,101.13
97.301,9.1,104.515,958.198,943.408,118.435,0.089,2.277,0.068,8.091,138.53,42.32
97.683,45.352,263.279,765.58,922.968,118.968,0.061,1.135,2.455,0.0,192.16,72.73
101.885,31.703,285.781,772.974,979.715,119.761,0.001,1.086,2.663,0.0,198.25,74.67
97.301,37.97,237.932,785.17,959.648,104.229,0.036,1.23,2.758,0.0,182.83,67.85
97.618,31.369,78.956,769.861,1156.123,114.003,0.303,1.564,1.231,1.472,139.72,45.34
97.683,45.352,266.301,764.717,917.772,119.134,0.061,1.135,2.455,0.0,192.93,72.83
97.683,50.467,265.096,748.404,921.78,118.352,0.068,1.17,2.465,0.0,194.27,73.92
