gen,llm_gwp,llm_str,is_feasible,is_dominated,min_dist_to_front
1,333.36,42.9,1,1,0.4093
1,293.92,44.37,1,1,0.3207
1,287.28,53.78,1,1,0.2344
1,231.63,52.71,1,1,0.1553
1,175.79,51.11,0,0,0.2051
2,213.55,59.48,0,0,0.0758
2,221.06,59.12,1,1,0.0791
2,216.99,58.96,0,0,0.0806
2,225.56,60.07,1,1,0.0708
2,208.4,60.51,0,0,0.0686
3,514.56,46.85,0,1,0.8391
3,363.09,49.72,0,1,0.4371
3,263.73,51.95,0,1,0.1939
3,218.45,51.84,1,1,0.1406
3,136.06,44.16,0,0,0.3118
4,352.59,49.99,0,1,0.4132
4,302.13,46.31,1,1,0.3175
4,254.32,46.06,1,1,0.2371
4,211.79,47.3,0,0,0.1964
4,165.79,47.14,0,0,0.2384
5,439.97,57.42,0,1,0.6154
5,373.04,61.1,0,1,0.4277
5,304.1,56.86,0,1,0.2602
5,231.89,56.0,1,1,0.1057
5,159.67,46.89,0,0,0.2467
6,230.17,60.96,1,1,0.0836
6,217.76,60.79,1,1,0.0731
6,220.31,57.09,1,1,0.1154
6,231.33,51.81,1,1,0.1801
6,208.59,60.97,0,0,0.0716
7,324.13,63.85,1,1,0.2538
7,273.1,59.14,0,1,0.1613
7,190.03,52.72,0,0,0.1092
7,209.51,49.85,0,1,0.1324
7,152.53,43.44,0,0,0.2517
8,330.94,62.75,1,1,0.2771
8,280.56,57.39,0,1,0.1941
8,247.71,62.79,1,1,0.0945
8,209.81,60.76,0,1,0.0134
8,192.0,55.95,0,0,0.0744
9,230.27,55.15,0,1,0.0978
9,221.29,56.87,0,1,0.0671
9,209.63,58.43,0,1,0.0366
9,199.93,60.55,0,0,0.0207
9,175.86,57.25,0,0,0.0963
10,204.3,61.46,1,0,0.0045
10,287.75,57.78,0,1,0.2083
10,227.74,57.11,0,1,0.0774
10,224.14,61.73,0,1,0.0433
10,179.17,53.61,0,0,0.1152
11,372.19,49.8,1,1,0.4466
11,197.81,57.44,0,0,0.1142
11,234.7,52.82,1,1,0.1784
11,506.59,46.2,0,1,0.796
11,186.58,54.69,0,0,0.1513
12,359.36,46.63,1,1,0.4444
12,316.82,48.85,1,1,0.343
12,263.73,51.95,0,1,0.2074
12,218.3,54.34,0,1,0.0809
12,162.66,50.46,0,0,0.1066
13,231.07,56.64,0,1,0.1101
13,213.16,68.6,1,0,0.0014
13,207.56,67.27,1,1,0.0131
13,202.75,67.29,1,0,0.0023
13,190.82,57.07,1,0,0.0005
14,203.57,67.26,1,1,0.0023
14,202.75,67.29,1,1,0.0
14,202.65,66.31,1,0,0.007
14,193.68,58.07,1,0,0.0008
14,190.82,57.07,1,1,0.0
15,398.75,67.28,0,1,0.4962
15,344.3,71.24,1,1,0.3432
15,290.48,73.29,1,1,0.195
15,231.39,62.3,0,1,0.0865
15,200.37,56.2,0,1,0.0279
16,333.15,54.45,1,1,0.3618
16,280.7,54.07,1,1,0.2467
16,231.44,51.24,1,1,0.1288
16,182.19,52.24,0,0,0.0574
16,155.54,48.34,0,0,0.1361
17,244.75,72.08,0,1,0.0718
17,214.58,65.55,1,1,0.0338
17,192.21,59.18,1,1,0.0069
17,200.41,63.15,1,1,0.012
17,188.49,56.81,1,1,0.0
18,377.82,67.13,1,1,0.4399
18,320.08,69.02,1,1,0.2806
18,272.19,54.49,1,1,0.2245
18,218.3,54.31,0,1,0.0844
18,193.91,53.38,1,1,0.0363
19,191.03,59.83,1,1,0.0029
19,267.07,52.59,0,1,0.2204
19,218.0,53.88,0,1,0.0917
19,190.9,58.56,0,1,0.002
19,185.51,55.88,1,0,0.0
20,350.81,53.33,0,1,0.4185
20,290.16,59.55,1,1,0.2387
20,226.24,49.93,0,1,0.1301
20,191.03,59.83,1,1,0.0029
20,185.51,55.88,1,1,0.0
21,169.41,46.33,1,0,0.1163
21,489.0,50.25,0,1,0.7824
21,361.72,50.03,0,1,0.4646
21,228.35,52.49,0,1,0.1233
21,185.51,55.88,1,1,0.0
22,186.91,57.0,0,1,0.0028
22,187.41,56.44,1,1,0.0064
22,319.92,54.89,1,1,0.3398
22,218.37,52.27,0,1,0.103
22,159.83,48.2,0,0,0.0336
23,184.18,53.82,0,1,0.0531
23,293.87,43.07,1,1,0.3382
23,226.42,54.03,1,1,0.1167
23,179.73,47.08,1,0,0.0248
23,180.95,54.54,0,0,0.0447
24,307.28,42.8,1,1,0.3517
24,192.75,58.07,1,1,0.0245
24,233.04,52.99,1,1,0.1386
24,189.67,61.68,1,0,0.0087
24,193.04,50.47,0,1,0.0409
25,184.74,63.25,0,0,0.0223
25,231.39,63.84,0,1,0.0907
25,176.95,53.8,0,0,0.0547
25,179.73,47.08,1,1,0.0
25,160.07,47.03,0,0,0.0149
26,192.8,52.34,1,1,0.0534
26,506.83,51.32,0,1,0.8293
26,326.72,57.72,1,1,0.3419
26,218.67,49.06,1,1,0.1033
26,173.14,49.6,0,0,0.0244
27,182.47,59.85,1,1,0.0005
27,182.47,59.85,1,1,0.0005
27,182.47,59.85,1,1,0.0005
27,182.47,59.85,1,1,0.0005
27,182.47,59.85,1,1,0.0005
28,195.83,53.85,1,1,0.0713
28,359.58,49.88,1,1,0.465
28,320.16,51.36,1,1,0.3656
28,218.67,48.14,1,1,0.1509
28,173.38,50.08,0,0,0.0264
29,195.51,56.41,0,1,0.0551
29,372.67,59.27,1,1,0.4561
29,270.96,52.29,1,1,0.2541
29,195.56,53.36,0,1,0.0849
29,156.02,47.63,0,0,0.0212
30,502.28,52.36,0,1,0.8182
30,362.09,53.94,0,1,0.4525
30,205.1,46.36,0,1,0.1189
30,196.27,47.65,0,1,0.0916
30,193.09,63.74,0,0,0.014
31,363.67,50.15,0,1,0.4797
31,299.74,51.85,0,1,0.3246
31,232.85,53.45,1,1,0.1573
31,166.49,46.7,1,1,0.0267
31,136.81,42.63,0,0,0.0981
32,334.5,52.46,0,1,0.3989
32,278.05,54.48,1,1,0.2621
32,215.68,50.83,1,1,0.123
32,168.93,45.28,1,1,0.0516
32,171.46,46.6,0,1,0.0406
33,477.26,49.0,0,1,0.7669
33,375.87,56.15,1,1,0.4793
33,264.31,53.28,1,1,0.2346
33,208.61,49.42,1,1,0.1082
33,155.76,54.37,0,0,0.0442
34,373.22,66.36,0,1,0.4397
34,323.78,66.05,1,1,0.308
34,264.63,52.66,1,1,0.2388
34,208.93,44.65,1,1,0.1313
34,156.15,45.43,0,0,0.045
35,373.34,51.99,1,1,0.4935
35,195.76,50.58,1,1,0.0712
35,258.42,48.91,1,1,0.2345
35,207.7,46.63,1,1,0.1167
35,159.62,48.19,0,0,0.0046
36,451.36,50.97,0,1,0.6928
36,362.72,56.12,0,1,0.4466
36,254.67,50.23,1,1,0.2195
36,205.36,44.17,1,1,0.1268
36,154.76,44.54,0,0,0.0477
37,372.96,47.65,1,1,0.5176
37,323.52,50.97,1,1,0.3863
37,263.73,51.95,0,1,0.2375
37,208.67,48.59,1,1,0.1129
37,156.02,48.1,0,0,0.0115
38,168.31,53.26,1,0,0.0073
38,260.94,45.59,0,1,0.2572
38,206.04,39.58,1,1,0.1625
38,176.21,45.21,1,1,0.0592
38,160.37,49.19,0,1,0.0021
39,320.34,56.22,1,1,0.3444
39,218.67,48.44,1,1,0.1402
39,176.22,56.56,1,0,0.0005
39,168.31,53.26,1,1,0.0
39,159.72,48.55,1,1,0.0006
40,453.01,50.56,0,1,0.6986
40,378.12,51.29,0,1,0.5088
40,218.67,47.88,1,1,0.144
40,168.31,53.26,1,1,0.0
