gen,hv,n_pareto,llm_injected
1,0.472417,5,1
2,0.478063,7,1
3,0.494411,7,1
4,0.511409,12,1
5,0.514711,4,1
6,0.538233,9,1
7,0.539063,16,1
8,0.551108,21,1
9,0.558657,15,1
10,0.561845,12,1
11,0.562736,13,1
12,0.563616,17,1
13,0.564138,17,1
14,0.569867,21,1
15,0.570291,29,1
16,0.587608,29,1
17,0.587908,42,1
18,0.590725,35,1
19,0.597647,34,1
20,0.627438,29,1
21,0.627861,27,1
22,0.629237,30,1
23,0.631027,31,1
24,0.631409,41,1
25,0.631817,49,1
26,0.632333,50,1
27,0.635963,50,1
28,0.636245,50,1
29,0.636469,50,1
30,0.637615,50,1
31,0.639739,50,1
32,0.640155,50,1
33,0.643821,50,1
34,0.643996,50,1
35,0.64486,50,1
36,0.647186,50,1
37,0.647443,50,1
38,0.647657,50,1
39,0.647862,50,1
40,0.648228,50,1
41,0.648857,50,1
42,0.650548,50,1
43,0.650709,50,1
44,0.651111,50,1
45,0.65116,50,1
46,0.651363,49,1
47,0.651664,48,1
48,0.652691,50,1
49,0.652978,50,1
50,0.65589,50,1
51,0.659034,49,1
52,0.663691,50,1
53,0.666073,50,1
54,0.666301,50,1
55,0.669072,50,1
56,0.669456,50,1
57,0.669714,50,1
58,0.670121,50,1
59,0.670191,50,1
60,0.671346,50,1
61,0.671453,50,1
62,0.671568,50,1
63,0.672275,50,1
64,0.672577,50,1
65,0.672773,50,1
66,0.673072,50,1
67,0.673116,50,1
68,0.673376,50,1
69,0.674775,50,1
70,0.674847,50,1
71,0.675639,50,1
72,0.675875,50,1
73,0.676088,50,1
74,0.676151,50,1
75,0.676192,50,1
76,0.676231,50,1
77,0.676689,50,1
78,0.67679,50,1
79,0.676798,50,1
80,0.677426,50,1
81,0.678927,50,1
82,0.67901,50,1
83,0.679446,50,1
84,0.679648,50,1
85,0.679636,50,1
86,0.679755,50,1
87,0.679786,50,1
88,0.679792,50,1
89,0.679828,50,1
90,0.679815,50,1
91,0.679805,50,1
92,0.679789,50,1
93,0.679918,50,1
94,0.680121,50,1
95,0.680192,50,1
96,0.680302,50,1
97,0.680411,50,1
98,0.680568,50,1
99,0.680705,50,1
100,0.680705,50,1
