PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
97.301,1.0,148.22,631.091,991.6,174.975,0.113,2.247,4.974,14.756,146.74,48.04
179.876,68.952,242.215,789.513,935.94,128.782,0.012,0.722,5.362,16.679,280.59,84.53
157.652,73.216,224.442,779.819,936.168,133.444,0.032,0.578,5.274,17.772,253.98,82.9
101.507,60.999,264.373,719.775,906.362,119.192,0.029,0.73,7.011,13.1,201.41,79.18
122.867,60.699,272.786,794.001,890.898,119.416,0.0,0.746,6.963,14.805,226.05,82.3
122.889,56.295,271.561,789.863,899.113,113.619,0.0,0.73,6.937,14.927,224.32,80.61
166.829,71.992,227.672,785.2,942.897,130.138,0.002,0.587,5.274,15.593,264.09,84.16
100.201,66.435,246.798,719.558,923.039,110.606,0.058,0.801,5.605,16.345,197.24,74.39
97.301,65.507,247.195,719.988,913.125,115.981,0.066,0.799,5.641,17.354,193.97,72.92
97.318,46.27,186.525,763.56,921.575,117.556,0.094,1.092,6.693,19.21,171.8,60.6
99.558,61.721,258.43,722.389,906.06,122.245,0.08,0.791,5.593,17.469,198.04,76.78
99.213,61.038,158.952,648.862,964.206,183.354,0.0,0.598,6.385,18.938,171.21,58.38
97.599,26.389,148.112,650.003,1049.504,155.426,0.561,1.021,5.019,15.489,155.61,55.78
175.657,68.534,240.535,789.513,935.94,128.454,0.02,0.766,5.335,16.619,275.59,84.28
97.765,39.321,214.349,738.097,924.75,116.798,0.124,0.948,6.764,18.393,177.28,66.77
97.808,51.029,252.474,755.858,911.904,110.215,0.033,0.942,6.443,18.502,191.23,72.29
98.352,44.373,194.034,764.974,911.761,116.098,0.071,0.974,6.243,19.161,174.21,63.89
97.301,0.0,150.134,650.595,1047.195,171.105,0.546,1.444,4.982,14.98,147.17,49.97
97.572,37.976,213.963,738.541,924.588,116.798,0.123,0.948,6.73,18.279,176.54,65.7
97.301,19.878,132.106,650.032,1040.8,150.547,0.518,1.37,5.0,9.818,148.91,51.88
98.428,54.642,225.585,738.069,950.391,114.389,0.087,1.003,6.651,18.474,186.07,70.3
98.311,11.666,206.589,714.857,1113.023,153.286,0.593,0.653,5.414,11.893,167.37,58.26
162.317,74.008,226.8,789.993,937.543,132.856,0.009,0.765,5.726,17.594,259.78,83.61
97.74,50.881,215.749,739.133,919.047,117.112,0.084,0.979,6.665,18.517,181.4,67.78
97.651,51.71,220.747,738.685,924.726,113.078,0.093,0.954,6.665,18.356,182.92,68.88
97.301,18.6,131.4,650.0,1040.8,151.1,0.5,1.4,5.0,9.9,148.3,51.38
98.371,0.227,207.047,714.916,1102.733,153.79,0.595,0.648,5.426,11.904,163.77,57.89
159.619,73.757,228.32,791.608,937.543,132.367,0.01,0.866,5.726,17.594,257.28,83.53
100.725,59.278,262.907,719.775,906.362,119.192,0.03,0.73,7.027,13.1,199.64,78.62
99.026,52.172,220.747,738.685,924.726,113.078,0.093,0.957,6.7,18.356,184.51,69.6
99.957,65.304,256.699,724.715,903.878,120.347,0.073,0.806,5.593,17.469,199.17,77.5
97.638,0.0,201.088,645.422,1091.269,138.538,0.501,0.75,5.451,13.37,161.13,57.6
97.74,46.27,187.841,764.411,921.575,117.556,0.092,1.098,6.705,19.083,172.6,61.67
97.301,15.932,151.661,649.344,1044.355,152.694,0.547,1.063,4.991,14.963,152.79,54.72
97.318,45.272,193.7,764.411,921.575,117.678,0.092,1.098,6.748,19.149,173.37,62.32
97.301,0.0,150.0,650.0,1000.0,170.0,0.21,1.0,5.0,15.0,146.96,48.96
97.599,22.06,140.662,648.638,1049.59,154.251,0.552,1.025,5.023,15.492,152.22,52.89
98.44,55.516,239.08,737.825,954.832,118.898,0.087,1.01,6.699,17.52,189.94,71.0
122.867,58.344,271.561,789.863,897.481,113.726,0.0,0.74,6.964,14.93,224.97,80.77
97.301,15.932,151.661,643.774,1042.723,152.722,0.523,1.062,5.009,15.069,152.77,54.42
122.867,60.699,271.47,793.909,890.898,112.672,0.0,0.74,6.951,14.931,225.7,82.16
97.805,44.446,194.042,765.922,911.761,117.678,0.073,0.966,6.286,19.161,173.67,63.49
98.428,54.719,238.079,737.825,949.739,114.389,0.087,1.01,6.653,17.525,189.39,70.82
98.725,23.861,163.081,653.219,1048.495,153.556,0.513,0.951,5.047,15.715,159.92,56.27
97.599,23.42,140.662,648.033,1049.59,152.369,0.544,1.025,5.023,15.492,152.67,52.9
179.876,67.533,242.215,789.513,935.94,128.782,0.012,0.766,5.362,16.679,280.12,84.44
98.725,26.389,163.081,654.912,1049.504,151.793,0.547,0.951,5.016,15.735,160.76,56.56
97.301,50.733,219.312,734.27,924.246,110.366,0.086,0.944,6.468,18.014,181.84,67.94
175.657,68.534,240.535,789.513,936.697,128.979,0.02,0.766,5.326,16.619,275.59,84.28
97.831,50.689,199.863,739.133,919.293,116.691,0.084,0.979,6.665,18.517,177.24,65.77
