rep,HV_base,HV_full,dHV_full,HV_no_obj,dHV_no_obj,HV_no_kt,dHV_no_kt,HV_no_con,dHV_no_con,HV_no_elite,dHV_no_elite,HV_no_task,dHV_no_task
1,0.7729,0.8145,0.04159999999999997,0.9267,0.15379999999999994,0.9075,0.13459999999999994,0.8386,0.06569999999999998,0.7708,-0.0020999999999999908,0.8279,0.05499999999999994
2,0.7515,0.7513,-0.00019999999999997797,0.7747,0.02320000000000011,0.8943,0.14280000000000004,0.8706,0.1191000000000001,0.8495,0.09800000000000009,0.782,0.030500000000000083
3,0.8365,0.8945,0.05799999999999994,0.9304,0.09389999999999998,0.9369,0.10039999999999993,0.707,-0.12950000000000006,0.7699,-0.06659999999999999,0.7551,-0.08140000000000003
4,0.8791,0.8705,-0.008599999999999941,0.8921,0.013000000000000012,0.9404,0.06130000000000002,0.8848,0.005700000000000038,0.9315,0.0524,0.954,0.07489999999999997
5,0.8514,0.7615,-0.08990000000000009,0.931,0.0796,0.9072,0.05579999999999996,0.9058,0.054400000000000004,0.8635,0.0121,0.7924,-0.05900000000000005
6,0.8828,0.8898,0.007000000000000006,0.7294,-0.15339999999999998,0.7184,-0.1644,0.8742,-0.008600000000000052,0.9274,0.04459999999999997,0.7493,-0.13350000000000006
7,0.8426,0.958,0.11539999999999995,0.7666,-0.07600000000000007,0.7774,-0.06520000000000004,0.8371,-0.00550000000000006,0.8723,0.02969999999999995,0.755,-0.08760000000000001
8,0.6926,0.7269,0.0343,0.7727,0.08010000000000006,0.9195,0.2269,0.7096,0.017000000000000015,0.7293,0.036699999999999955,0.7375,0.04490000000000005
9,0.7178,0.8138,0.09599999999999997,0.7378,0.020000000000000018,0.8611,0.14329999999999998,0.851,0.13319999999999999,0.7177,-9.999999999998899e-05,0.7284,0.010600000000000054
10,0.7103,0.8795,0.1691999999999999,0.7247,0.014399999999999968,0.9021,0.19179999999999997,0.8152,0.1049,0.6733,-0.03700000000000003,0.9105,0.20019999999999993
11,0.7488,0.8933,0.14449999999999996,0.8546,0.1058,0.7446,-0.0041999999999999815,0.7925,0.04369999999999996,0.7564,0.00759999999999994,0.7851,0.0363
12,0.8682,0.8747,0.006500000000000061,0.8888,0.020600000000000063,0.906,0.037800000000000056,0.9028,0.034600000000000075,0.8931,0.024900000000000033,0.8937,0.025500000000000078
13,0.7215,0.7584,0.03689999999999993,0.7425,0.02100000000000002,0.7262,0.0046999999999999265,0.7503,0.028799999999999937,0.7255,0.0040000000000000036,0.7244,0.0029000000000000137
14,0.6776,0.7942,0.11660000000000004,0.868,0.1904,0.7095,0.03190000000000004,0.8666,0.18900000000000006,0.8036,0.126,0.8589,0.18130000000000002
15,0.8597,0.8978,0.03810000000000002,0.7697,-0.08999999999999997,0.7737,-0.08599999999999997,0.9018,0.042100000000000026,0.9127,0.052999999999999936,0.7823,-0.07740000000000002
16,0.7435,0.6872,-0.05630000000000002,0.7095,-0.03400000000000003,0.9048,0.1613,0.7149,-0.02860000000000007,0.7185,-0.025000000000000022,0.6807,-0.06280000000000008
17,0.7079,0.7206,0.012700000000000045,0.6561,-0.05179999999999996,0.7271,0.019199999999999995,0.8313,0.12340000000000007,0.9408,0.2329,0.7466,0.03870000000000007
18,0.7411,0.8691,0.128,0.8605,0.11940000000000006,0.6803,-0.060799999999999965,0.8123,0.07120000000000004,0.908,0.16690000000000005,0.8625,0.12140000000000006
19,0.7948,0.8058,0.01100000000000001,0.8276,0.03280000000000005,0.7226,-0.07219999999999993,0.817,0.022199999999999998,0.8543,0.0595,0.8293,0.034500000000000086
20,0.8513,0.8606,0.009300000000000086,0.9271,0.07580000000000009,0.8893,0.038000000000000034,0.9561,0.1048,0.8581,0.006800000000000028,0.882,0.03070000000000006
21,0.7514,0.7803,0.028900000000000037,0.751,-0.00039999999999995595,0.758,0.00660000000000005,0.7705,0.019100000000000006,0.7641,0.012700000000000045,0.7606,0.009200000000000097
22,0.7841,0.836,0.051899999999999946,0.9003,0.11619999999999997,0.8048,0.02069999999999994,0.812,0.027900000000000036,0.7285,-0.05559999999999998,0.745,-0.039100000000000024
23,0.8903,0.7938,-0.09650000000000003,0.7273,-0.16300000000000003,0.7698,-0.12049999999999994,0.9316,0.0413,0.8727,-0.01759999999999995,0.8361,-0.054200000000000026
24,0.625,0.7033,0.07830000000000004,0.7342,0.10919999999999996,0.7303,0.10529999999999995,0.9352,0.31020000000000003,0.7073,0.08230000000000004,0.7696,0.14459999999999995
25,0.8257,0.8295,0.0038000000000000256,0.9499,0.12419999999999998,0.9111,0.08540000000000003,0.8932,0.0675,0.8774,0.05169999999999997,0.9172,0.09150000000000003
26,0.7784,0.7508,-0.027599999999999958,0.8945,0.11609999999999998,0.7891,0.010700000000000043,0.7601,-0.018299999999999983,0.7919,0.013500000000000068,0.9112,0.13280000000000003
27,0.6606,0.9076,0.247,0.8744,0.2138,0.7226,0.062000000000000055,0.667,0.006400000000000072,0.8927,0.23210000000000008,0.7347,0.07410000000000005
28,0.8511,0.8288,-0.022299999999999986,0.8372,-0.013899999999999912,0.9223,0.07120000000000004,0.9046,0.05349999999999999,0.7976,-0.05349999999999999,0.9207,0.0696
29,0.8872,0.9324,0.04520000000000002,0.9184,0.031200000000000006,0.6709,-0.21629999999999994,0.7063,-0.18089999999999995,0.7118,-0.1754,0.7507,-0.13649999999999995
30,0.6903,0.9037,0.21339999999999992,0.6879,-0.0024000000000000687,0.7212,0.030899999999999928,0.7233,0.03300000000000003,0.855,0.16469999999999996,0.9446,0.25429999999999997
