gen,hv,n_pareto,llm_injected
1,0.397517,5,0
2,0.422096,10,0
3,0.445669,10,0
4,0.448157,8,0
5,0.460294,20,0
6,0.49283,17,0
7,0.493779,19,0
8,0.496147,22,0
9,0.500451,24,0
10,0.50316,18,0
11,0.50459,20,0
12,0.505458,18,0
13,0.512992,26,0
14,0.514806,28,0
15,0.519103,29,0
16,0.525585,42,0
17,0.528218,28,0
18,0.538138,26,0
19,0.541887,26,0
20,0.54707,27,0
21,0.560074,34,0
22,0.560447,31,0
23,0.561374,32,0
24,0.563718,37,0
25,0.565061,39,0
26,0.575427,32,0
27,0.589962,42,0
28,0.593485,39,0
29,0.595192,37,0
30,0.615116,41,0
31,0.616963,32,0
32,0.619765,27,0
33,0.621551,38,0
34,0.622538,39,0
35,0.626049,43,0
36,0.626567,47,0
37,0.627427,48,0
38,0.630593,50,0
39,0.630858,49,0
40,0.631436,50,0
41,0.631592,50,0
42,0.632008,50,0
43,0.632375,50,0
44,0.632502,50,0
45,0.632801,49,0
46,0.636346,50,0
47,0.636632,49,0
48,0.637855,50,0
49,0.638606,50,0
50,0.64058,50,0
51,0.643694,44,0
52,0.644398,50,0
53,0.647061,46,0
54,0.647447,50,0
55,0.648024,50,0
56,0.649509,47,0
57,0.650367,50,0
58,0.650788,50,0
59,0.652254,45,0
60,0.653013,48,0
61,0.685804,33,0
62,0.687211,38,0
63,0.6879,45,0
64,0.688486,40,0
65,0.689225,35,0
66,0.693253,33,0
67,0.694113,42,0
68,0.698386,41,0
69,0.698945,46,0
70,0.700667,46,0
71,0.700897,50,0
72,0.701569,50,0
73,0.702482,48,0
74,0.715149,50,0
75,0.725239,50,0
76,0.725867,50,0
77,0.728719,50,0
78,0.728909,50,0
79,0.729089,50,0
80,0.729312,50,0
81,0.729584,50,0
82,0.729857,50,0
83,0.730351,50,0
84,0.73051,50,0
85,0.731538,50,0
86,0.731724,50,0
87,0.732556,50,0
88,0.732656,50,0
89,0.732729,50,0
90,0.732794,50,0
91,0.733216,50,0
92,0.733351,50,0
93,0.73482,50,0
94,0.735226,50,0
95,0.737003,48,0
96,0.737047,50,0
97,0.737184,50,0
98,0.739839,50,0
99,0.740656,50,0
100,0.741057,50,0
101,0.742005,50,0
102,0.743036,50,0
103,0.744574,50,0
104,0.745085,50,0
105,0.745183,50,0
106,0.747399,47,0
107,0.747702,50,0
108,0.747956,50,0
109,0.749583,50,0
110,0.753922,42,0
111,0.754094,39,0
112,0.769258,43,0
113,0.769842,44,0
114,0.770318,40,0
115,0.771059,45,0
116,0.777704,50,0
117,0.778504,50,0
118,0.778654,50,0
119,0.7789,50,0
120,0.77947,50,0
121,0.77957,50,0
122,0.779949,50,0
123,0.779982,50,0
124,0.782346,50,0
125,0.782435,50,0
126,0.783044,50,0
127,0.783218,50,0
128,0.783389,50,0
129,0.786288,50,0
130,0.789317,50,0
131,0.789852,50,0
132,0.789941,50,0
133,0.792296,50,0
134,0.794165,50,0
135,0.794423,50,0
136,0.794614,50,0
137,0.794837,50,0
138,0.796352,50,0
139,0.796727,50,0
140,0.796831,50,0
141,0.796973,50,0
142,0.796972,50,0
143,0.797018,50,0
144,0.79712,50,0
145,0.797158,50,0
146,0.797683,50,0
147,0.797891,50,0
148,0.798264,50,0
149,0.798318,50,0
150,0.79835,50,0
151,0.79902,50,0
152,0.799035,50,0
153,0.799336,50,0
154,0.799349,50,0
155,0.800667,50,0
156,0.801998,50,0
157,0.802743,50,0
158,0.803408,50,0
159,0.803656,50,0
160,0.803846,50,0
161,0.804146,50,0
162,0.805173,50,0
163,0.805651,49,0
164,0.811001,50,0
165,0.811072,50,0
166,0.811318,50,0
167,0.811646,50,0
168,0.811969,50,0
169,0.812001,50,0
170,0.812056,50,0
171,0.814326,50,0
172,0.815039,50,0
173,0.815714,50,0
174,0.815823,50,0
175,0.815877,50,0
176,0.81597,50,0
177,0.816224,50,0
178,0.816427,50,0
179,0.816487,50,0
180,0.816886,50,0
181,0.816963,50,0
182,0.81765,50,0
183,0.81791,50,0
184,0.818708,50,0
185,0.818945,50,0
186,0.819003,50,0
187,0.819038,50,0
188,0.819142,50,0
189,0.81939,50,0
190,0.819682,50,0
191,0.820012,50,0
192,0.820037,50,0
193,0.821097,50,0
194,0.821135,50,0
195,0.827003,50,0
196,0.827062,50,0
197,0.827781,50,0
198,0.828783,50,0
199,0.829096,50,0
200,0.830335,50,0
201,0.830359,50,0
202,0.830515,50,0
203,0.830892,50,0
204,0.830991,50,0
205,0.831397,50,0
206,0.83152,50,0
207,0.831885,50,0
208,0.832035,50,0
209,0.832124,50,0
210,0.834545,50,0
211,0.834567,50,0
212,0.835439,50,0
213,0.83636,50,0
214,0.836701,50,0
215,0.839626,50,0
216,0.841178,50,0
217,0.84144,50,0
218,0.841997,50,0
219,0.844517,50,0
220,0.845659,50,0
221,0.845824,50,0
222,0.845798,50,0
223,0.847063,50,0
224,0.848928,50,0
225,0.849151,50,0
226,0.849456,50,0
227,0.849571,50,0
228,0.849671,50,0
229,0.850584,50,0
230,0.851019,50,0
231,0.852704,50,0
232,0.854001,50,0
233,0.856856,50,0
234,0.856912,50,0
235,0.858565,50,0
236,0.858503,50,0
237,0.858618,50,0
238,0.859296,50,0
239,0.859325,50,0
240,0.859463,50,0
241,0.859442,50,0
242,0.859498,50,0
243,0.859756,50,0
244,0.859873,50,0
245,0.85999,50,0
246,0.860509,50,0
247,0.860488,50,0
248,0.861107,50,0
249,0.861984,50,0
250,0.861974,50,0
251,0.863321,50,0
252,0.863701,50,0
253,0.863702,50,0
254,0.863707,50,0
255,0.863732,50,0
256,0.865826,50,0
257,0.865879,50,0
258,0.866697,50,0
259,0.866782,50,0
260,0.86714,50,0
261,0.867867,50,0
262,0.868084,50,0
263,0.86796,50,0
264,0.868081,50,0
265,0.868166,50,0
266,0.868336,50,0
267,0.870306,50,0
268,0.870408,50,0
269,0.870471,50,0
270,0.870589,50,0
271,0.870624,50,0
272,0.870733,50,0
273,0.870877,50,0
274,0.871029,50,0
275,0.871175,50,0
276,0.871233,50,0
277,0.871158,50,0
278,0.871305,50,0
279,0.871656,50,0
280,0.872531,50,0
281,0.872546,50,0
282,0.873246,50,0
283,0.875179,50,0
284,0.876721,50,0
285,0.876765,50,0
286,0.876732,50,0
287,0.8768,50,0
288,0.878166,50,0
289,0.878222,50,0
290,0.878163,50,0
291,0.878293,50,0
292,0.878432,50,0
293,0.878356,50,0
294,0.881338,50,0
295,0.881379,50,0
296,0.881369,50,0
297,0.881541,50,0
298,0.881709,50,0
299,0.881724,50,0
300,0.882545,50,0
301,0.882713,50,0
302,0.882685,50,0
303,0.882868,50,0
304,0.883557,50,0
305,0.883632,50,0
306,0.884468,50,0
307,0.884537,50,0
308,0.885584,50,0
309,0.885637,50,0
310,0.885495,50,0
311,0.885467,50,0
312,0.888057,50,0
313,0.888052,50,0
314,0.888101,50,0
315,0.888143,50,0
316,0.888115,50,0
317,0.889952,50,0
318,0.889973,50,0
319,0.889962,50,0
320,0.889975,50,0
321,0.891063,50,0
322,0.890829,50,0
323,0.890761,50,0
324,0.890859,50,0
325,0.890943,50,0
326,0.891059,50,0
327,0.891033,50,0
328,0.891353,50,0
329,0.891594,50,0
330,0.89178,50,0
331,0.891814,50,0
332,0.891822,50,0
333,0.892086,50,0
334,0.892159,50,0
335,0.89223,50,0
336,0.892359,50,0
337,0.892757,50,0
338,0.893041,50,0
339,0.893012,50,0
340,0.893037,50,0
341,0.893378,50,0
342,0.893323,50,0
343,0.893202,50,0
344,0.893269,50,0
345,0.893377,50,0
346,0.893296,50,0
347,0.893334,50,0
348,0.89311,50,0
349,0.89261,50,0
350,0.892754,50,0
351,0.893178,50,0
352,0.893115,50,0
353,0.893111,50,0
354,0.893117,50,0
355,0.893537,50,0
356,0.893508,50,0
357,0.893494,50,0
358,0.893637,50,0
359,0.893693,50,0
360,0.893798,50,0
361,0.893719,50,0
362,0.893776,50,0
363,0.893827,50,0
364,0.89488,50,0
365,0.894836,50,0
366,0.895314,50,0
367,0.898966,50,0
368,0.90004,50,0
369,0.9002,50,0
370,0.900093,50,0
371,0.900325,50,0
372,0.900287,50,0
373,0.900222,50,0
374,0.900125,50,0
375,0.900193,50,0
376,0.901607,50,0
377,0.901632,50,0
378,0.901663,50,0
379,0.901718,50,0
380,0.901898,50,0
381,0.902028,50,0
382,0.902293,50,0
383,0.902273,50,0
384,0.902311,50,0
385,0.902226,50,0
386,0.902249,50,0
387,0.902494,50,0
388,0.902523,50,0
389,0.902542,50,0
390,0.902709,50,0
391,0.902708,50,0
392,0.902632,50,0
393,0.902737,50,0
394,0.902466,50,0
395,0.902616,50,0
396,0.902602,50,0
397,0.902767,50,0
398,0.902936,50,0
399,0.903015,50,0
400,0.903087,50,0
401,0.903134,50,0
402,0.90309,50,0
403,0.903164,50,0
404,0.903057,50,0
405,0.90302,50,0
406,0.903041,50,0
