PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
179.652,30.546,283.799,799.29,964.547,130.277,0.007,1.028,2.356,0.0,278.86,104.25
97.301,0.0,111.356,718.715,1160.117,101.393,0.122,0.765,4.214,11.358,137.53,51.4
107.537,52.19,295.096,796.842,931.793,129.908,0.0,0.998,2.478,0.0,213.24,98.76
108.192,47.611,294.512,809.805,944.561,130.594,0.0,0.999,2.314,0.137,212.35,88.57
97.302,19.946,259.83,778.878,927.745,95.151,0.076,1.098,3.95,22.414,182.57,68.39
164.256,27.308,279.939,797.657,957.483,130.665,0.008,0.997,2.463,0.342,260.62,103.48
171.63,32.563,281.096,808.968,967.347,128.9,0.007,0.973,2.14,0.153,270.44,103.76
130.498,41.293,289.899,808.492,950.611,132.888,0.006,1.014,2.187,0.26,232.46,100.42
137.932,41.076,289.248,796.489,957.003,131.849,0.013,1.013,2.182,0.263,240.0,100.91
102.217,36.098,294.784,801.183,923.915,131.362,0.005,0.877,2.591,0.0,202.29,84.38
97.301,20.535,276.618,777.122,925.758,101.618,0.076,1.118,4.05,23.322,187.18,69.89
97.301,1.218,149.74,724.216,1166.526,91.585,0.111,0.809,4.146,10.829,148.1,56.04
97.494,24.862,134.733,721.581,1107.635,96.698,0.047,1.704,4.925,14.373,151.87,57.27
100.201,29.366,294.628,802.43,972.181,114.292,0.003,1.006,2.227,0.816,198.11,76.18
97.822,1.76,230.526,757.091,1023.246,100.808,0.025,0.799,4.383,13.514,169.71,63.49
100.433,7.639,248.223,782.482,946.287,94.855,0.088,0.953,4.141,20.818,178.83,67.02
99.012,32.99,133.528,735.52,1121.013,100.548,0.054,0.827,5.235,14.667,155.9,60.67
101.339,38.085,289.952,747.549,947.661,132.18,0.003,1.124,1.895,3.737,200.69,81.37
105.352,39.486,300.759,801.392,902.316,131.105,0.0,1.192,2.475,0.0,208.18,85.95
98.931,1.942,216.552,757.915,1039.932,90.875,0.125,1.024,4.009,14.9,167.3,62.54
100.31,22.157,294.05,794.049,972.146,113.658,0.002,1.005,2.228,0.0,195.68,74.79
97.301,0.0,117.577,720.367,1167.159,91.153,0.116,0.801,4.197,11.35,139.2,53.05
103.247,38.351,297.194,800.884,908.416,130.831,0.0,1.214,2.475,0.0,204.68,85.12
157.004,33.915,279.474,797.848,960.85,129.061,0.0,0.999,2.544,0.0,255.08,102.16
121.548,42.827,297.229,809.834,946.522,129.355,0.008,1.024,2.455,0.0,225.51,100.15
97.301,6.365,251.161,782.482,946.287,97.15,0.088,0.953,4.133,17.244,175.9,66.57
97.915,0.0,204.374,756.422,1040.085,90.873,0.092,1.035,4.245,16.202,162.38,60.72
97.788,0.702,248.556,755.095,1030.283,100.248,0.034,0.789,4.055,11.478,174.11,64.39
159.117,30.709,287.312,811.287,947.813,128.788,0.0,1.018,2.36,0.02,258.29,102.34
175.687,31.025,283.621,799.29,964.458,130.271,0.007,1.024,2.347,0.001,274.82,103.9
99.699,51.009,272.799,738.263,943.29,122.773,0.0,1.025,2.378,25.214,198.64,78.85
100.936,37.853,289.975,747.549,947.44,132.144,0.003,1.133,1.912,3.737,200.2,81.03
114.539,46.53,296.594,810.99,969.753,129.785,0.009,0.995,2.586,0.112,219.3,99.52
98.37,38.269,269.146,801.835,975.173,115.014,0.0,1.022,2.478,0.269,192.39,74.27
98.693,32.903,132.172,726.136,1100.99,105.042,0.052,1.064,5.147,14.033,155.08,58.24
106.083,40.1,299.591,808.658,957.875,129.381,0.003,1.009,2.25,0.0,209.07,87.57
114.535,46.53,296.594,810.99,967.337,129.785,0.009,0.995,2.613,0.302,219.28,99.34
121.826,44.534,297.464,810.102,951.01,128.57,0.003,0.99,2.48,0.065,226.44,100.37
99.645,51.425,271.093,735.622,943.29,122.87,0.0,1.023,2.375,25.214,198.27,78.45
97.788,3.256,248.556,757.091,1032.055,99.972,0.034,0.806,4.055,11.68,174.96,64.95
97.301,38.203,269.515,801.793,975.384,114.979,0.0,1.022,2.478,0.0,191.35,73.27
97.301,27.699,270.815,802.962,959.478,121.392,0.0,1.031,2.701,0.0,188.19,71.5
99.012,32.896,132.172,734.93,1100.675,105.042,0.053,1.062,5.147,13.938,155.43,59.03
97.964,1.425,212.497,755.916,1039.932,90.94,0.126,1.041,4.108,15.04,165.05,61.15
150.568,30.985,286.914,794.243,950.993,128.806,0.0,1.019,2.498,0.0,249.29,101.99
97.301,0.0,125.392,719.894,1160.709,90.775,0.096,0.805,4.153,12.133,141.24,54.11
97.324,0.0,111.818,718.715,1160.117,101.305,0.122,0.761,4.211,10.666,137.68,51.43
99.072,0.0,130.572,719.865,1160.102,90.775,0.096,0.805,4.223,11.377,144.46,55.17
97.301,0.0,125.486,720.552,1160.709,90.775,0.094,0.805,4.153,12.369,141.27,54.66
107.536,52.19,288.262,796.842,931.793,129.908,0.022,0.998,2.478,0.0,211.44,87.79
