iteration,PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,d_w/b,d_b/a,d_SCM%,d_CAGG%,d_FAGG%,d_PC%,d_FA%,d_SC%,pred_7day,pred_28day,pred_56day,gwp,in_bounds,violations,is_non_dominated,hv_after,pareto_size
1,220.0,50.0,120.0,800.0,900.0,160.0,0.0,0.0,3.0,0.0,0.41026,0.22941,0.4359,0.52941,0.47059,0.5641,0.12821,0.30769,34.95,48.87,55.41,284.05,True,,True,8393.9765,1
2,120.0,0.0,250.0,850.0,950.0,165.0,0.0,0.0,5.0,0.0,0.44595,0.20556,0.67568,0.52778,0.47222,0.32432,0.0,0.67568,30.43,45.5,52.38,197.49,True,,True,11466.8565,2
3,400.0,0.0,0.0,700.0,1100.0,140.0,0.0,0.0,10.0,50.0,0.35,0.22222,0.0,0.61111,0.38889,1.0,0.0,0.0,41.54,48.99,52.93,425.09,True,,True,11475.8457,3
4,350.0,0.0,100.0,650.0,1200.0,120.0,0.0,15.0,0.0,0.0,0.26667,0.24324,0.22222,0.64865,0.35135,0.77778,0.0,0.22222,36.92,47.97,51.85,399.33,True,,False,11475.8457,3
5,500.0,0.0,0.0,600.0,1250.0,100.0,0.0,30.0,0.0,0.0,0.2,0.27027,0.0,0.67568,0.32432,1.0,0.0,0.0,37.33,45.03,49.47,530.18,False,w/b,False,11475.8457,3
6,500.0,0.0,0.0,600.0,1250.0,118.0,0.0,35.0,0.0,0.0,0.236,0.27027,0.0,0.67568,0.32432,1.0,0.0,0.0,38.78,47.27,51.8,530.18,True,,False,11475.8457,3
7,100.0,150.0,300.0,900.0,1000.0,160.0,0.0,0.0,5.0,0.0,0.29091,0.28947,0.81818,0.52632,0.47368,0.18182,0.27273,0.54545,35.47,48.55,60.3,239.24,False,"SCM%,PC%",False,11475.8457,3
8,150.0,100.0,200.0,880.0,980.0,160.0,0.0,0.0,5.0,0.0,0.35556,0.24194,0.66667,0.52688,0.47312,0.33333,0.22222,0.44444,36.57,50.65,60.75,248.71,True,,True,12033.2485,2
9,450.0,0.0,50.0,680.0,1150.0,130.0,0.0,20.0,0.0,0.0,0.26,0.27322,0.1,0.62842,0.37158,0.9,0.0,0.1,39.07,46.68,50.95,490.82,True,,False,12033.2485,2
10,300.0,0.0,80.0,750.0,1050.0,140.0,0.0,10.0,0.0,30.0,0.36842,0.21111,0.21053,0.58333,0.41667,0.78947,0.0,0.21053,34.54,43.81,47.68,341.36,True,,False,12033.2485,2
11,100.0,50.0,300.0,900.0,950.0,150.0,0.0,0.0,3.0,0.0,0.33333,0.24324,0.77778,0.51351,0.48649,0.22222,0.11111,0.66667,40.62,55.64,62.08,206.26,False,"SCM%,PC%",False,12033.2485,2
12,130.0,40.0,250.0,880.0,970.0,145.0,0.0,0.0,5.0,0.0,0.34524,0.22703,0.69048,0.52432,0.47568,0.30952,0.09524,0.59524,35.94,51.56,59.49,221.24,True,,True,12428.3906,2
13,380.0,30.0,0.0,700.0,1100.0,130.0,0.0,15.0,0.0,0.0,0.31707,0.22778,0.07317,0.61111,0.38889,0.92683,0.07317,0.0,38.37,47.53,50.57,413.97,True,,False,12428.3906,2
14,480.0,0.0,0.0,650.0,1200.0,115.0,0.0,30.0,0.0,50.0,0.23958,0.25946,0.0,0.64865,0.35135,1.0,0.0,0.0,39.92,49.71,55.0,509.17,True,,False,12428.3906,2
15,504.0,0.0,0.0,600.0,1200.0,120.0,0.0,40.0,0.0,0.0,0.2381,0.28,0.0,0.66667,0.33333,1.0,0.0,0.0,39.39,47.75,52.54,534.19,True,,False,12428.3906,2
16,504.0,0.0,0.0,600.0,1200.0,120.0,0.0,50.0,0.0,100.0,0.2381,0.28,0.0,0.66667,0.33333,1.0,0.0,0.0,39.27,48.04,53.44,534.19,True,,False,12428.3906,2
