iteration,PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,d_w/b,d_b/a,d_SCM%,d_CAGG%,d_FAGG%,d_PC%,d_FA%,d_SC%,pred_7day,pred_28day,pred_56day,gwp,in_bounds,violations,is_non_dominated,hv_after,pareto_size
1,97.3,161.97,332.25,800.0,1000.0,160.0,0.0,20.0,0.0,0.0,0.27049,0.32862,0.83551,0.55556,0.44444,0.16449,0.27382,0.56169,39.73,51.25,62.89,248.59,False,"SCM%,PC%",False,0.0,0
2,150.0,100.0,200.0,900.0,1100.0,145.0,0.0,25.0,0.0,0.0,0.32222,0.225,0.66667,0.55,0.45,0.33333,0.22222,0.44444,36.57,52.95,63.7,249.21,True,,True,10771.4305,1
3,97.3,161.97,332.25,1000.0,1200.0,90.77,0.0,75.35,0.0,0.0,0.15345,0.26887,0.83551,0.54545,0.45455,0.16449,0.27382,0.56169,34.72,48.89,58.39,249.85,False,"w/b,SCM%,PC%",False,10771.4305,1
4,120.0,150.0,250.0,950.0,1150.0,140.0,0.0,30.0,0.0,0.0,0.26923,0.24762,0.76923,0.54762,0.45238,0.23077,0.28846,0.48077,37.42,52.21,62.83,247.69,True,,True,10835.5897,2
5,350.0,0.0,0.0,800.0,1000.0,120.0,0.0,30.0,0.0,300.0,0.34286,0.19444,0.0,0.55556,0.44444,1.0,0.0,0.0,39.47,49.5,55.0,372.58,True,,False,10835.5897,2
6,504.31,0.0,0.0,800.0,1000.0,90.77,0.0,75.35,0.0,455.65,0.17999,0.28017,0.0,0.55556,0.44444,1.0,0.0,0.0,47.11,57.1,61.18,534.3,False,w/b,False,10835.5897,2
7,504.31,0.0,0.0,800.0,1000.0,120.0,0.0,75.35,0.0,455.65,0.23795,0.28017,0.0,0.55556,0.44444,1.0,0.0,0.0,48.23,55.97,61.05,534.3,True,,True,10835.5897,3
8,300.0,0.0,100.0,850.0,1050.0,125.0,0.0,40.0,0.0,200.0,0.3125,0.21053,0.25,0.55263,0.44737,0.75,0.0,0.25,34.32,46.66,52.97,346.9,True,,False,10835.5897,3
9,400.0,0.0,0.0,800.0,1000.0,90.77,0.0,75.35,0.0,400.0,0.22692,0.22222,0.0,0.55556,0.44444,1.0,0.0,0.0,44.86,54.33,57.79,424.98,False,w/b,False,10835.5897,3
10,450.0,0.0,0.0,800.0,1000.0,106.0,0.0,75.35,0.0,455.65,0.23556,0.25,0.0,0.55556,0.44444,1.0,0.0,0.0,46.35,54.3,58.33,477.38,True,,True,10866.1267,4
