iteration,PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,d_w/b,d_b/a,d_SCM%,d_CAGG%,d_FAGG%,d_PC%,d_FA%,d_SC%,pred_7day,pred_28day,pred_56day,gwp,in_bounds,violations,is_non_dominated,hv_after,pareto_size
1,250.0,50.0,100.0,800.0,1000.0,160.0,0.0,0.0,0.0,0.0,0.4,0.22222,0.375,0.55556,0.44444,0.625,0.125,0.25,36.65,49.04,55.24,310.58,True,,True,7394.9568,1
2,120.0,30.0,200.0,850.0,1050.0,150.0,0.0,0.0,0.0,0.0,0.42857,0.18421,0.65714,0.55263,0.44737,0.34286,0.08571,0.57143,29.62,45.31,51.88,194.5,True,,True,11493.7416,2
3,380.0,0.0,50.0,700.0,900.0,140.0,0.0,0.0,0.0,200.0,0.32558,0.26875,0.11628,0.5625,0.4375,0.88372,0.0,0.11628,41.61,48.69,54.17,416.59,True,,False,11493.7416,2
4,480.0,0.0,0.0,600.0,800.0,120.0,0.0,20.0,0.0,250.0,0.25,0.34286,0.0,0.57143,0.42857,1.0,0.0,0.0,42.43,49.55,54.27,507.56,True,,True,11493.7416,3
5,200.0,40.0,120.0,820.0,1020.0,145.0,0.0,0.0,5.0,0.0,0.40278,0.19565,0.44444,0.55435,0.44565,0.55556,0.11111,0.33333,31.58,44.82,51.96,260.31,True,,False,11493.7416,3
6,220.0,30.0,100.0,800.0,1000.0,125.0,0.0,10.0,0.0,0.0,0.35714,0.19444,0.37143,0.55556,0.44444,0.62857,0.08571,0.28571,32.09,44.34,51.18,272.58,True,,False,11493.7416,3
7,500.0,0.0,0.0,500.0,700.0,100.0,0.0,30.0,0.0,400.0,0.2,0.41667,0.0,0.58333,0.41667,1.0,0.0,0.0,42.26,49.66,54.16,527.89,False,w/b,False,11493.7416,3
8,504.0,0.0,0.0,600.0,700.0,120.0,0.0,70.0,0.0,450.0,0.2381,0.38769,0.0,0.53846,0.46154,1.0,0.0,0.0,46.91,54.67,57.98,532.34,True,,True,11493.7416,4
9,380.0,0.0,40.0,700.0,900.0,130.0,0.0,10.0,0.0,150.0,0.30952,0.2625,0.09524,0.5625,0.4375,0.90476,0.0,0.09524,41.13,49.47,54.62,413.95,True,,True,11530.7431,5
10,98.0,0.0,300.0,900.0,1100.0,140.0,0.0,10.0,0.0,0.0,0.35176,0.199,0.75377,0.55,0.45,0.24623,0.0,0.75377,35.38,50.38,58.73,188.31,False,SC%,False,11530.7431,5
