iteration,PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,d_w/b,d_b/a,d_SCM%,d_CAGG%,d_FAGG%,d_PC%,d_FA%,d_SC%,pred_7day,pred_28day,pred_56day,gwp,in_bounds,violations,is_non_dominated,hv_after,pareto_size
1,97.89,0.0,228.42,800.96,1097.61,141.21,1.19,0.0,18.99,0.0,0.43275,0.17187,0.70001,0.57812,0.42188,0.29999,0.0,0.70001,33.54,53.52,58.65,169.04,True,,True,14403.3792,1
2,504.31,0.0,0.0,688.82,1136.76,132.31,10.68,0.0,50.43,455.65,0.26236,0.27625,0.0,0.62268,0.37732,1.0,0.0,0.0,58.82,68.16,63.8,534.51,True,,True,14403.3792,2
3,300.0,0.0,100.0,750.0,1100.0,150.0,0.0,15.0,0.0,0.0,0.375,0.21622,0.25,0.59459,0.40541,0.75,0.0,0.25,35.5,47.45,52.06,346.82,True,,False,14403.3792,2
4,400.0,0.0,50.0,700.0,1150.0,140.0,0.0,20.0,0.0,0.0,0.31111,0.24324,0.11111,0.62162,0.37838,0.88889,0.0,0.11111,38.53,47.31,49.91,438.48,True,,False,14403.3792,2
5,450.0,0.0,0.0,700.0,1100.0,125.0,5.0,25.0,0.0,200.0,0.27778,0.25,0.0,0.61111,0.38889,1.0,0.0,0.0,38.69,48.34,50.85,477.49,True,,False,14403.3792,2
6,380.0,0.0,80.0,720.0,1100.0,135.0,0.0,30.0,0.0,150.0,0.29348,0.25275,0.17391,0.6044,0.3956,0.82609,0.0,0.17391,41.04,52.85,57.26,425.3,True,,False,14403.3792,2
7,350.0,50.0,0.0,700.0,1100.0,145.0,0.0,10.0,0.0,0.0,0.3625,0.22222,0.125,0.61111,0.38889,0.875,0.125,0.0,36.14,44.46,48.09,389.09,True,,False,14403.3792,2
8,480.0,0.0,0.0,690.0,1120.0,128.0,0.0,30.0,0.0,300.0,0.26667,0.26519,0.0,0.61878,0.38122,1.0,0.0,0.0,46.05,53.62,57.74,508.98,True,,True,14403.3792,3
9,200.0,0.0,150.0,780.0,1050.0,140.0,0.0,10.0,0.0,0.0,0.4,0.19126,0.42857,0.57377,0.42623,0.57143,0.0,0.42857,29.67,43.79,49.03,255.11,True,,False,14403.3792,3
10,280.0,0.0,80.0,760.0,1080.0,130.0,0.0,15.0,0.0,100.0,0.36111,0.19565,0.22222,0.58696,0.41304,0.77778,0.0,0.22222,32.52,42.09,46.99,320.53,True,,False,14403.3792,3
11,250.0,0.0,100.0,770.0,1070.0,120.0,0.0,20.0,0.0,0.0,0.34286,0.19022,0.28571,0.58152,0.41848,0.71429,0.0,0.28571,29.53,41.97,47.35,294.36,True,,False,14403.3792,3
12,320.0,60.0,0.0,720.0,1100.0,135.0,0.0,25.0,0.0,180.0,0.35526,0.20879,0.15789,0.6044,0.3956,0.84211,0.15789,0.0,34.47,44.15,50.33,360.98,True,,False,14403.3792,3
13,260.0,0.0,120.0,750.0,1050.0,125.0,0.0,30.0,0.0,0.0,0.32895,0.21111,0.31579,0.58333,0.41667,0.68421,0.0,0.31579,32.83,46.29,52.44,310.0,True,,False,14403.3792,3
14,300.0,0.0,100.0,700.0,1100.0,120.0,0.0,30.0,0.0,250.0,0.3,0.22222,0.25,0.61111,0.38889,0.75,0.0,0.25,36.02,50.12,54.26,346.69,True,,False,14403.3792,3
15,220.0,0.0,180.0,780.0,1050.0,115.0,0.0,35.0,0.0,100.0,0.2875,0.21858,0.45,0.57377,0.42623,0.55,0.0,0.45,32.94,48.8,53.33,283.99,True,,False,14403.3792,3
16,350.0,50.0,0.0,700.0,1100.0,110.0,0.0,40.0,0.0,200.0,0.275,0.22222,0.125,0.61111,0.38889,0.875,0.125,0.0,38.17,48.22,51.63,389.09,True,,False,14403.3792,3
17,280.0,0.0,100.0,750.0,1050.0,118.0,0.0,35.0,0.0,150.0,0.31053,0.21111,0.26316,0.58333,0.41667,0.73684,0.0,0.26316,36.95,51.1,57.84,325.68,True,,False,14403.3792,3
18,380.0,0.0,0.0,720.0,1100.0,110.0,0.0,40.0,0.0,400.0,0.28947,0.20879,0.0,0.6044,0.3956,1.0,0.0,0.0,43.58,53.38,56.39,404.18,True,,False,14403.3792,3
19,390.0,0.0,0.0,710.0,1110.0,108.0,0.0,45.0,0.0,380.0,0.27692,0.21429,0.0,0.60989,0.39011,1.0,0.0,0.0,43.32,52.23,54.91,414.67,True,,False,14403.3792,3
20,100.0,0.0,300.0,900.0,1200.0,145.0,0.0,0.0,15.0,0.0,0.3625,0.19048,0.75,0.57143,0.42857,0.25,0.0,0.75,36.81,51.92,57.88,190.78,False,SC%,False,14403.3792,3
21,420.0,0.0,0.0,700.0,1100.0,105.0,0.0,50.0,0.0,420.0,0.25,0.23333,0.0,0.61111,0.38889,1.0,0.0,0.0,41.66,50.37,54.36,446.05,True,,False,14403.3792,3
22,480.0,0.0,0.0,680.0,1120.0,100.0,0.0,60.0,0.0,450.0,0.20833,0.26667,0.0,0.62222,0.37778,1.0,0.0,0.0,44.5,52.71,56.66,508.95,False,w/b,False,14403.3792,3
23,500.0,0.0,0.0,680.0,1100.0,120.0,0.0,50.0,0.0,450.0,0.24,0.2809,0.0,0.61798,0.38202,1.0,0.0,0.0,44.42,52.29,56.34,529.84,True,,False,14403.3792,3
24,490.0,0.0,0.0,680.0,1100.0,115.0,0.0,55.0,0.0,455.65,0.23469,0.27528,0.0,0.61798,0.38202,1.0,0.0,0.0,44.47,52.9,56.69,519.36,True,,False,14403.3792,3
25,97.3,0.0,330.0,850.0,1150.0,140.0,0.0,0.0,20.0,0.0,0.32764,0.21365,0.77229,0.575,0.425,0.22771,0.0,0.77229,42.56,54.85,60.9,195.56,False,SC%,False,14403.3792,3
26,120.0,0.0,280.0,820.0,1100.0,135.0,0.0,0.0,20.0,50.0,0.3375,0.20833,0.7,0.57292,0.42708,0.3,0.0,0.7,40.59,56.43,62.62,205.88,True,,True,15259.2684,3
27,300.0,80.0,0.0,700.0,1100.0,140.0,0.0,20.0,0.0,0.0,0.36842,0.21111,0.21053,0.61111,0.38889,0.78947,0.21053,0.0,34.89,45.13,50.12,346.53,True,,False,15259.2684,3
28,380.0,0.0,0.0,700.0,1100.0,120.0,0.0,30.0,0.0,250.0,0.31579,0.21111,0.0,0.61111,0.38889,1.0,0.0,0.0,39.8,49.58,53.55,404.13,True,,False,15259.2684,3
29,450.0,0.0,0.0,690.0,1110.0,110.0,0.0,45.0,0.0,400.0,0.24444,0.25,0.0,0.61667,0.38333,1.0,0.0,0.0,42.45,50.57,54.64,477.5,True,,False,15259.2684,3
30,480.0,0.0,0.0,680.0,1100.0,110.0,0.0,60.0,0.0,450.0,0.22917,0.26966,0.0,0.61798,0.38202,1.0,0.0,0.0,45.49,53.0,56.65,508.88,False,w/b,False,15259.2684,3
