iteration,PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,d_w/b,d_b/a,d_SCM%,d_CAGG%,d_FAGG%,d_PC%,d_FA%,d_SC%,pred_7day,pred_28day,pred_56day,gwp,in_bounds,violations,is_non_dominated,hv_after,pareto_size
1,97.3,0.0,220.0,850.0,1100.0,150.0,0.0,0.0,15.0,0.0,0.47274,0.16272,0.69335,0.5641,0.4359,0.30665,0.0,0.69335,29.44,46.18,52.01,166.33,True,,True,12072.1806,1
2,450.0,0.0,50.0,700.0,1100.0,120.0,0.0,30.0,0.0,200.0,0.24,0.27778,0.1,0.61111,0.38889,0.9,0.0,0.1,40.55,49.28,53.66,490.69,True,,True,12101.0416,2
3,250.0,50.0,100.0,750.0,1150.0,140.0,0.0,10.0,0.0,0.0,0.35,0.21053,0.375,0.60526,0.39474,0.625,0.125,0.25,35.29,48.8,54.18,311.0,True,,True,12571.8294,3
4,350.0,70.0,0.0,700.0,1150.0,135.0,0.0,15.0,0.0,0.0,0.32143,0.22703,0.16667,0.62162,0.37838,0.83333,0.16667,0.0,35.85,45.86,50.34,395.84,True,,False,12571.8294,3
5,380.0,0.0,40.0,700.0,1100.0,125.0,0.0,20.0,0.0,50.0,0.29762,0.23333,0.09524,0.61111,0.38889,0.90476,0.0,0.09524,38.63,47.7,50.76,414.69,True,,False,12571.8294,3
6,400.0,0.0,0.0,650.0,1100.0,110.0,0.0,50.0,0.0,150.0,0.275,0.22857,0.0,0.62857,0.37143,1.0,0.0,0.0,40.12,49.5,52.6,424.96,True,,True,12619.8886,3
7,180.0,0.0,150.0,800.0,1100.0,140.0,0.0,0.0,10.0,0.0,0.42424,0.17368,0.45455,0.57895,0.42105,0.54545,0.0,0.45455,31.1,45.43,53.1,234.39,True,,False,12619.8886,3
8,200.0,0.0,100.0,780.0,1120.0,125.0,0.0,15.0,0.0,50.0,0.41667,0.15789,0.33333,0.58947,0.41053,0.66667,0.0,0.33333,27.89,39.46,45.3,242.17,True,,False,12619.8886,3
9,220.0,0.0,100.0,750.0,1100.0,105.0,0.0,30.0,0.0,100.0,0.32812,0.17297,0.3125,0.59459,0.40541,0.6875,0.0,0.3125,33.44,47.22,52.59,262.98,True,,True,12669.8294,4
10,320.0,0.0,80.0,720.0,1100.0,120.0,0.0,20.0,0.0,75.0,0.3,0.21978,0.2,0.6044,0.3956,0.8,0.0,0.2,36.16,47.91,52.68,362.42,True,,False,12669.8294,4
11,360.0,0.0,0.0,700.0,1100.0,115.0,0.0,35.0,0.0,120.0,0.31944,0.2,0.0,0.61111,0.38889,1.0,0.0,0.0,37.85,47.86,51.93,383.17,True,,False,12669.8294,4
12,400.0,0.0,0.0,680.0,1080.0,105.0,0.0,45.0,0.0,200.0,0.2625,0.22727,0.0,0.61364,0.38636,1.0,0.0,0.0,40.08,50.0,53.51,424.96,True,,True,12707.3494,4
13,340.0,0.0,40.0,700.0,1100.0,110.0,0.0,30.0,0.0,100.0,0.28947,0.21111,0.10526,0.61111,0.38889,0.89474,0.0,0.10526,37.59,48.07,51.67,372.77,True,,False,12707.3494,4
14,380.0,0.0,0.0,680.0,1100.0,100.0,0.0,40.0,0.0,150.0,0.26316,0.21348,0.0,0.61798,0.38202,1.0,0.0,0.0,38.29,48.05,50.76,404.08,True,,False,12707.3494,4
15,420.0,0.0,0.0,650.0,1050.0,95.0,0.0,50.0,0.0,250.0,0.22619,0.24706,0.0,0.61765,0.38235,1.0,0.0,0.0,38.85,47.48,50.95,445.74,False,w/b,False,12707.3494,4
16,300.0,0.0,100.0,700.0,1100.0,100.0,0.0,40.0,0.0,100.0,0.25,0.22222,0.25,0.61111,0.38889,0.75,0.0,0.25,33.64,46.81,50.69,346.69,True,,False,12707.3494,4
17,450.0,0.0,0.0,600.0,1000.0,98.0,0.0,50.0,0.0,300.0,0.21778,0.28125,0.0,0.625,0.375,1.0,0.0,0.0,44.4,51.31,56.04,476.86,False,w/b,False,12707.3494,4
