PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
165.976,17.183,263.034,723.908,994.804,148.966,2.085,3.942,74.121,5.017,254.58,75.16
97.301,0.0,36.314,579.513,569.07,95.332,0.0,57.975,57.564,205.2,115.17,42.92
165.976,17.183,263.034,723.908,994.804,148.966,2.085,3.942,74.121,5.017,254.58,75.16
106.514,15.361,300.621,666.61,1012.383,149.085,0.017,12.57,94.329,13.613,201.51,65.86
143.075,4.885,310.394,721.412,1009.327,151.296,2.32,0.0,74.25,0.0,239.1,74.44
123.772,16.567,307.905,667.34,1007.163,149.194,2.024,4.083,82.169,4.122,221.9,74.4
105.859,15.267,304.653,666.542,1006.239,150.198,2.348,5.106,77.935,0.518,201.83,69.97
98.131,73.646,195.992,677.54,1015.356,115.296,1.577,63.57,121.551,376.907,184.26,60.58
97.301,0.0,70.526,569.321,615.393,90.775,0.56,60.247,73.416,128.954,124.35,48.57
147.706,4.885,308.224,721.164,1010.808,150.254,2.418,5.643,75.03,0.09,243.38,74.66
98.028,2.585,63.983,567.336,576.437,100.828,0.538,63.055,72.221,113.318,124.08,46.27
100.125,5.197,83.6,555.395,549.991,94.658,0.029,60.142,70.276,127.189,132.19,50.63
164.077,16.97,263.77,723.903,1005.841,150.03,2.055,4.06,73.143,2.341,252.76,74.97
100.729,60.199,161.876,652.765,949.375,116.675,0.676,59.507,107.458,303.309,173.25,58.95
97.879,24.866,154.264,687.896,970.584,117.69,0.79,65.696,112.145,297.858,156.84,57.31
97.789,62.27,150.649,656.395,985.637,118.936,0.23,73.675,106.93,282.36,168.03,58.75
98.131,73.858,198.588,677.595,1014.749,115.97,1.577,63.677,125.186,376.907,185.01,62.29
97.877,14.734,154.499,687.896,962.964,117.69,0.79,65.655,111.431,298.143,153.55,55.9
109.782,15.827,311.512,667.458,1007.698,150.544,1.684,0.984,82.173,3.771,207.95,72.01
98.704,78.965,217.982,733.822,1029.21,127.216,0.667,59.421,120.591,324.868,192.61,63.29
99.874,44.86,42.102,639.647,924.193,104.999,0.18,74.417,110.581,314.311,135.58,52.58
99.607,34.789,65.475,653.399,951.666,113.46,0.115,61.354,111.066,291.726,138.3,54.16
98.244,60.943,137.155,663.827,993.812,102.146,0.236,75.175,114.728,275.555,164.56,57.75
98.344,83.786,219.719,732.424,1029.465,126.659,0.74,60.584,120.334,325.891,194.26,64.0
100.729,64.338,170.599,659.219,839.61,116.73,0.645,61.757,114.483,320.859,176.53,60.02
100.169,5.197,67.441,559.187,553.643,95.183,0.115,60.142,71.834,128.391,127.99,49.76
114.336,13.398,316.111,667.497,1007.384,149.215,2.042,6.703,83.669,0.518,213.13,74.17
106.395,23.665,308.704,666.892,1007.163,149.323,0.0,7.008,81.554,0.0,206.22,70.61
97.301,0.0,42.998,587.953,539.122,94.612,0.482,60.271,56.027,194.71,116.85,44.48
99.049,0.0,46.826,588.259,490.618,103.592,0.417,63.453,66.425,187.397,119.51,45.46
97.322,48.554,40.45,634.578,919.276,102.064,0.18,73.84,110.856,308.034,133.65,51.6
110.134,14.725,316.803,666.973,1007.195,150.537,2.503,0.62,82.173,1.399,209.35,73.65
98.166,28.844,143.816,661.746,963.552,116.622,0.186,64.675,110.768,280.688,155.59,56.76
106.514,12.028,300.482,666.61,1012.383,149.085,0.017,12.57,95.891,52.757,200.38,64.6
97.949,22.512,124.277,695.389,1012.567,118.436,0.841,63.02,125.186,298.396,148.4,55.65
98.775,0.0,70.763,578.252,612.184,95.916,0.573,60.305,73.416,128.954,125.97,49.58
98.851,83.129,236.168,680.392,1004.784,130.688,0.662,66.791,120.344,363.577,198.7,64.38
97.301,7.496,53.47,586.549,569.07,95.677,0.498,61.064,57.564,205.2,122.18,45.84
100.729,64.338,169.64,659.219,839.61,116.73,0.645,59.67,116.499,335.634,176.27,59.93
99.538,85.358,183.919,669.52,995.204,116.978,0.802,73.022,125.186,334.631,186.29,63.14
97.906,63.502,139.17,663.43,993.812,103.305,1.898,75.175,114.728,275.555,165.58,57.82
109.94,15.816,309.251,667.448,1008.371,149.425,1.257,4.083,82.173,4.25,207.51,71.32
98.748,22.021,113.674,698.617,1012.835,118.123,0.809,65.397,124.664,299.161,146.28,55.49
98.72,8.246,114.773,708.962,921.728,117.594,0.81,72.77,119.702,301.097,141.72,55.04
97.8,43.879,65.475,653.424,954.568,113.46,0.0,61.354,114.912,297.847,139.4,54.34
106.424,15.374,304.653,666.635,1007.163,149.237,2.348,6.444,79.898,0.518,202.46,70.12
97.301,0.0,43.633,589.477,570.534,95.41,0.496,61.164,71.348,205.2,117.13,44.76
98.727,8.246,113.674,712.198,1012.835,118.123,0.809,72.271,124.664,299.161,141.78,55.47
97.887,48.661,40.45,634.672,920.2,101.103,0.18,75.178,112.82,308.034,134.28,52.39
109.94,16.608,316.803,667.448,1007.116,150.537,2.503,2.254,82.173,4.284,209.76,73.8
