F,N,rep,N_over_pop,HV_base,HV_hybrid,HV_ratio,HV_advantage,HV_pct_gain,llm_calls,parse_fails
20,10,6,0.2,20284.6439,22093.9709,0.926,1809.3270000000011,8.91968825738174,5,0
20,10,7,0.2,20610.6228,21849.1582,0.9158,1238.5354000000007,6.009208998769317,5,0
20,10,8,0.2,22285.2417,20751.6037,0.8698,-1533.637999999999,-6.881854909386059,5,0
20,10,9,0.2,20313.0189,20138.4441,0.8441,-174.5747999999985,-0.8594232145375423,5,0
20,10,10,0.2,19691.7121,22199.8996,0.9305,2508.1875,12.737274886321337,5,0
20,10,11,0.2,23360.3825,20229.7694,0.8479,-3130.6130999999987,-13.401377738570842,5,0
20,10,12,0.2,20216.0275,21894.8973,0.9177,1678.8698000000004,8.304647389305345,5,0
20,10,13,0.2,20557.5098,21813.3754,0.9143,1255.865600000001,6.109035638158864,5,0
20,10,14,0.2,20945.916,21609.1616,0.9057,663.2455999999984,3.16646739154305,5,0
20,10,15,0.2,20421.5283,19941.6958,0.8358,-479.83250000000044,-2.3496405016856667,5,0
