F,N,rep,HV_base,HV_hybrid,HV_advantage,HV_pct_gain,parse_fails,llm_calls,n_pareto_base,n_pareto_hyb
5,5,1,0.882976,0.711668,-0.171308,-19.4012,0.0,20.0,50,50
5,5,2,0.834753,0.804702,-0.030051,-3.6,0.0,20.0,50,50
5,5,3,0.729213,0.852719,0.123506,16.9369,0.0,20.0,50,50
5,5,4,0.834225,0.796611,-0.037614,-4.5089,0.0,20.0,50,50
5,5,5,0.700451,0.825513,0.125062,17.8545,0.0,20.0,50,50
5,10,1,0.664038,0.845776,0.181738,27.3686,0.0,20.0,50,50
5,10,2,0.841552,0.787156,-0.054396,-6.4638,0.0,20.0,50,50
5,10,3,0.819431,0.719147,-0.100284,-12.2382,0.0,20.0,50,50
5,10,4,0.824134,0.823643,-0.000491,-0.0596,0.0,20.0,50,50
5,10,5,0.787565,0.753802,-0.033763,-4.287,0.0,20.0,50,50
5,20,1,0.850033,0.773062,-0.076971,-9.0551,56.0,20.0,50,50
5,20,2,0.840724,0.802109,-0.038615,-4.5931,58.0,20.0,50,50
5,20,3,0.840698,0.777714,-0.062984,-7.4919,54.0,20.0,50,50
5,20,4,0.873395,0.753182,-0.120213,-13.7639,59.0,20.0,50,50
5,20,5,0.767253,0.879587,0.112334,14.6411,57.0,20.0,47,50
10,5,1,0.777768,0.805451,0.027683,3.5593,0.0,10.0,50,50
10,5,2,0.844153,0.817858,-0.026295,-3.115,0.0,10.0,50,50
10,5,3,0.737157,0.858985,0.121828,16.5267,0.0,10.0,50,50
10,5,4,0.844816,0.834558,-0.010258,-1.2142,0.0,10.0,50,50
10,5,5,0.777609,0.792481,0.014872,1.9125,0.0,10.0,50,50
10,10,1,0.78145,0.850998,0.069548,8.8999,0.0,10.0,48,50
10,10,2,0.869415,0.835773,-0.033642,-3.8695,0.0,10.0,50,50
10,10,3,0.728575,0.866339,0.137764,18.9087,0.0,10.0,50,50
10,10,4,0.832395,0.848335,0.01594,1.915,0.0,10.0,50,50
10,10,5,0.779897,0.745886,-0.034011,-4.361,0.0,10.0,50,50
10,20,1,0.872154,0.822004,-0.05015,-5.7501,23.0,10.0,50,50
10,20,2,0.839412,0.827879,-0.011533,-1.3739,26.0,10.0,50,50
10,20,3,0.743111,0.896742,0.153631,20.674,30.0,10.0,50,50
10,20,4,0.790113,0.779232,-0.010881,-1.3771,28.0,10.0,50,50
10,20,5,0.741125,0.843814,0.102689,13.8558,30.0,10.0,44,50
20,5,1,0.819826,0.809953,-0.009873,-1.2043,0.0,5.0,50,50
20,5,2,0.852828,0.878137,0.025309,2.9677,0.0,5.0,50,50
20,5,3,0.823231,0.803117,-0.020114,-2.4433,0.0,5.0,50,50
20,5,4,0.791777,0.827549,0.035772,4.5179,0.0,5.0,50,50
20,5,5,0.873485,0.79168,-0.081805,-9.3654,0.0,5.0,50,50
20,10,1,0.852478,0.831229,-0.021249,-2.4926,0.0,5.0,50,50
20,10,2,0.793047,0.842862,0.049815,6.2815,0.0,5.0,50,50
20,10,3,0.827517,0.890409,0.062892,7.6001,0.0,5.0,50,50
20,10,4,0.896369,0.862361,-0.034008,-3.794,0.0,5.0,50,50
20,10,5,0.908687,0.783669,-0.125018,-13.7581,0.0,5.0,50,46
20,20,1,0.873956,0.808964,-0.064992,-7.4365,12.0,5.0,50,50
20,20,2,0.824064,0.871079,0.047015,5.7053,13.0,5.0,50,50
20,20,3,0.85465,0.837511,-0.017139,-2.0054,14.0,5.0,50,50
20,20,4,0.791383,0.830458,0.039075,4.9376,15.0,5.0,50,50
20,20,5,0.901201,0.855506,-0.045695,-5.0705,12.0,5.0,50,50
