PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
178.112,37.314,271.151,808.258,974.419,128.432,0.002,0.765,7.002,0.0,276.19,101.23
97.301,0.668,109.817,473.453,1094.024,90.775,0.339,2.543,3.869,10.358,136.46,52.97
106.779,60.534,283.464,796.268,972.63,130.457,0.014,1.008,7.6,0.263,212.26,90.84
107.322,61.706,279.393,801.185,968.478,130.119,0.0,0.888,6.473,0.07,212.14,82.53
108.642,62.228,288.651,802.319,969.298,130.099,0.0,0.886,7.824,0.0,216.14,92.71
120.739,62.228,288.651,802.319,969.298,130.099,0.0,0.886,7.824,0.0,228.82,92.72
168.517,42.823,251.414,808.521,984.938,130.968,0.047,0.763,7.067,0.0,262.77,99.22
97.301,0.0,128.346,769.064,967.529,90.837,0.0,1.041,6.543,4.213,141.43,54.88
97.301,26.777,204.826,716.428,991.594,96.289,0.0,1.028,6.868,4.66,170.36,63.26
97.301,28.678,228.627,717.657,849.96,103.557,0.0,1.085,7.126,3.564,176.75,68.01
97.301,39.196,199.32,701.358,993.893,92.538,0.0,1.028,6.898,4.35,172.95,64.99
97.301,3.587,199.418,703.713,965.785,93.0,0.0,1.066,7.824,4.552,161.2,62.21
103.931,49.333,272.236,803.805,916.038,128.008,0.055,0.854,7.113,0.328,202.45,77.57
99.579,46.531,270.492,802.483,950.645,112.158,0.003,1.001,6.793,0.053,196.64,76.43
156.666,40.614,269.114,807.612,975.58,125.713,0.0,0.763,7.053,0.0,254.26,97.6
151.134,41.819,269.294,811.947,977.583,129.848,0.0,0.759,7.619,0.017,248.93,97.47
97.301,24.616,192.112,710.17,993.099,96.612,0.0,1.028,7.824,4.375,166.28,62.41
97.995,3.698,175.458,726.045,989.612,101.096,0.006,1.049,7.824,0.0,155.78,59.56
175.249,35.504,261.344,812.084,974.24,128.299,0.0,0.739,6.867,0.0,270.02,99.96
147.274,38.813,272.259,812.228,968.084,127.904,0.036,1.022,6.962,0.002,244.64,96.64
97.301,27.304,258.499,798.496,965.214,114.822,0.0,0.999,7.149,0.238,184.82,69.92
97.301,28.118,265.034,798.356,857.587,116.118,0.0,1.021,6.398,1.808,186.41,71.34
97.301,0.0,131.431,769.347,967.087,90.775,0.0,1.039,6.543,4.369,142.25,57.0
97.302,0.668,117.563,473.453,1206.905,90.969,0.342,2.543,3.971,10.274,138.92,53.23
103.757,52.866,273.613,802.228,977.019,128.728,0.031,1.093,7.824,0.288,204.01,80.33
109.365,50.347,272.367,801.212,976.995,127.885,0.03,1.105,7.633,0.476,208.73,80.97
97.301,35.727,265.034,798.228,857.587,116.013,0.0,1.013,6.398,1.808,188.91,75.16
97.34,21.783,127.618,711.537,970.745,93.071,0.0,1.035,7.717,4.716,148.29,58.18
103.931,52.866,272.229,803.205,977.019,127.941,0.031,1.091,7.824,0.771,203.83,78.45
108.291,62.081,286.45,795.644,963.273,129.5,0.0,1.049,7.602,0.0,215.11,91.57
97.301,40.634,254.647,725.009,957.499,132.292,0.0,0.999,7.473,0.0,187.95,73.28
140.505,36.198,275.063,796.187,970.261,129.224,0.031,1.07,6.983,0.024,237.4,95.15
134.236,46.885,265.552,765.51,970.03,133.413,0.039,0.998,6.978,0.0,231.74,92.75
97.301,46.531,265.563,802.483,950.645,112.158,0.003,1.007,6.794,0.053,192.95,76.37
97.301,30.321,243.821,704.314,760.342,103.848,0.0,1.065,7.118,3.365,180.93,69.05
107.33,61.417,279.393,801.671,968.478,130.119,0.0,0.888,6.473,0.07,212.05,82.31
97.301,27.025,284.526,796.063,965.444,117.359,0.001,0.999,7.156,0.237,191.59,75.35
97.301,8.569,173.475,694.9,981.125,100.997,0.006,1.037,7.824,0.016,156.02,61.45
97.307,40.154,254.647,713.127,957.499,133.276,0.0,0.999,7.473,0.0,187.77,72.65
97.301,25.954,223.635,722.854,807.565,102.196,0.0,1.072,7.171,1.75,174.39,66.5
165.355,43.198,249.777,809.072,985.044,130.952,0.0,0.807,7.556,0.0,259.15,98.31
139.52,57.981,263.682,814.82,983.416,125.809,0.052,0.927,7.07,0.0,240.6,96.23
139.686,35.016,274.052,795.818,966.017,129.296,0.031,1.07,7.021,0.843,235.87,93.13
108.719,49.257,272.367,801.212,977.019,127.71,0.03,1.102,7.63,0.456,207.7,80.48
97.301,4.11,160.909,725.785,989.612,102.818,0.003,1.05,7.801,0.0,151.35,58.96
97.301,30.321,246.907,704.255,764.555,103.848,0.0,1.065,7.204,3.529,181.76,69.07
165.355,43.198,249.777,809.072,985.044,130.909,0.0,0.803,7.824,0.0,259.15,98.31
97.301,25.954,223.635,717.208,807.565,101.646,0.0,1.104,7.162,1.887,174.38,66.38
139.524,37.652,274.052,795.425,966.59,129.307,0.0,1.07,7.028,0.029,236.57,94.75
97.301,0.0,145.16,769.347,967.087,90.775,0.0,1.039,6.543,4.283,145.87,57.46
