gen,hv,n_pareto,llm_injected
1,15728.0235,8,0
2,16864.1525,7,0
3,16907.882,18,0
4,16971.8152,16,0
5,16978.4543,26,0
6,17194.645,29,0
7,17350.4997,31,0
8,18228.1025,32,0
9,18247.5348,32,0
10,18327.1075,31,0
11,18348.242,38,0
12,18361.7879,26,0
13,18412.8868,34,0
14,18708.9953,37,0
15,18848.0526,45,0
16,18861.4064,46,0
17,18907.3431,50,0
18,18932.0467,50,0
19,19046.6904,50,0
20,19082.3117,50,1
21,19334.1944,42,0
22,19423.9704,42,0
23,19451.2026,50,0
24,19758.5881,50,0
25,19855.1729,50,0
26,20081.0098,45,0
27,20105.187,48,0
28,20158.9135,50,0
29,20167.9913,50,0
30,20196.2127,49,0
31,20215.7712,50,0
32,20235.2501,50,0
33,20247.5499,50,0
34,20257.7967,50,0
35,20528.6211,43,0
36,20545.2596,48,0
37,20587.6152,50,0
38,20604.6185,50,0
39,20656.7132,45,0
40,20678.8578,50,1
41,20695.7936,50,0
42,20700.995,50,0
43,20713.8448,50,0
44,20722.4371,50,0
45,20737.0175,50,0
46,20754.3955,50,0
47,20779.8338,50,0
48,20801.6334,50,0
49,20805.3739,50,0
50,20817.3953,46,0
51,20822.2834,50,0
52,20825.5572,50,0
53,20831.1424,50,0
54,20837.4365,50,0
55,20851.0419,50,0
56,20855.6263,50,0
57,20869.5841,50,0
58,20881.2634,50,0
59,20954.62,50,0
60,20978.8917,50,1
61,20983.2471,50,0
62,20988.2808,50,0
63,20999.3908,50,0
64,21005.966,50,0
65,21057.2162,50,0
66,21110.872,50,0
67,21112.0345,50,0
68,21116.9645,50,0
69,21161.0655,50,0
70,21169.6516,50,0
71,21181.6329,50,0
72,21184.2755,50,0
73,21221.4007,50,0
74,21230.3506,50,0
75,21325.7997,50,0
76,21325.3239,50,0
77,21327.196,50,0
78,21328.1558,50,0
79,21333.495,50,0
80,21346.9721,50,1
81,21367.8033,50,0
82,21373.5386,50,0
83,21372.8876,50,0
84,21403.9912,50,0
85,21409.12,50,0
86,21414.8943,50,0
87,21432.2693,50,0
88,21435.4308,50,0
89,21444.8115,50,0
90,21444.9345,50,0
91,21472.222,50,0
92,21474.2353,50,0
93,21489.0767,50,0
94,21491.258,50,0
95,21498.4435,50,0
96,21653.6777,50,0
97,21659.3695,50,0
98,21821.0479,50,0
99,21826.9703,50,0
100,21829.6737,50,1
