PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,pred_7day,pred_28day,pred_56day,gwp
146.49,41.26,256.7,664.88,1001.31,147.55,1.88,5.25,68.37,4.97,56.97,75.32,73.21,240.26
146.49,41.26,256.7,664.88,1000.95,147.55,1.88,5.25,68.47,4.97,56.97,75.32,73.21,240.26
97.31,0.03,33.34,484.3,407.53,91.86,0.58,73.33,76.92,443.65,33.77,44.5,48.92,113.56
108.38,34.6,304.48,664.89,1002.53,148.83,2.91,6.54,63.75,2.83,56.14,74.61,71.45,210.75
138.56,41.26,256.7,664.89,1000.95,147.55,1.88,5.25,88.79,1.04,56.65,74.74,72.67,231.95
97.76,40.99,264.2,666.68,1002.59,136.17,0.67,4.65,64.74,22.07,53.41,68.13,68.36,191.09
97.62,11.94,265.83,667.48,1010.68,118.2,0.73,0.2,68.14,430.31,52.15,67.78,65.2,181.88
138.75,45.01,256.71,664.86,1000.94,146.86,1.88,6.47,73.59,4.38,56.91,75.02,73.3,233.38
108.38,25.98,304.48,664.89,1002.53,148.83,2.91,6.54,63.75,3.03,56.4,74.25,70.71,207.92
97.63,0.04,33.04,577.43,406.12,92.82,0.21,72.75,111.21,440.08,34.87,46.02,49.94,114.06
97.76,2.85,224.63,570.97,933.69,101.82,0.64,4.5,76.87,351.79,47.28,62.09,61.99,167.63
97.33,1.48,220.69,566.34,888.16,101.76,0.64,6.55,107.44,352.07,47.15,61.02,62.97,165.51
101.97,48.97,281.43,669.02,1012.73,146.85,1.74,6.46,90.23,0.99,56.2,74.0,70.79,202.71
97.57,2.58,188.19,672.7,1016.58,92.71,0.68,4.56,76.68,366.73,47.43,60.54,61.7,158.29
99.36,41.25,281.42,664.59,1000.94,140.95,0.74,5.48,63.88,0.56,56.69,71.33,71.29,197.39
97.63,0.26,65.63,573.64,487.17,92.43,0.21,72.75,119.61,347.31,38.0,50.63,53.79,123.02
99.52,41.25,281.42,664.59,1000.94,140.95,2.0,5.48,68.4,5.74,56.22,72.41,71.08,197.55
97.73,2.91,241.65,671.82,1009.91,116.94,0.76,6.23,74.68,428.84,48.48,62.18,64.03,172.65
