gen,hv,n_pareto,llm_injected
1,14632.226,6,0
2,14640.6457,6,0
3,15152.6269,11,0
4,15568.5137,16,0
5,15675.6034,17,0
6,15985.8847,25,0
7,16323.1707,25,0
8,16346.0778,32,0
9,16452.3063,38,0
10,16454.6728,37,1
11,16806.7853,45,0
12,16814.9112,44,0
13,16887.2515,48,0
14,16893.9367,41,0
15,16902.4246,37,0
16,16922.6098,49,0
17,16969.0434,31,0
18,16991.1396,30,0
19,17398.4002,31,0
20,17423.3879,42,1
21,17500.7733,36,0
22,17647.6989,39,0
23,17660.667,43,0
24,17737.185,47,0
25,17750.5578,45,0
26,17764.6105,49,0
27,17772.5436,50,0
28,17783.4442,50,0
29,17799.2736,48,0
30,17863.6223,46,1
31,17870.7058,50,0
32,17885.3071,50,0
33,17890.4838,49,0
34,17908.1058,50,0
35,17914.5615,50,0
36,17935.7027,48,0
37,18361.976,37,0
38,18404.4596,44,0
39,18636.636,50,0
40,18661.6551,50,1
41,18665.1601,50,0
42,18974.6263,47,0
43,19033.7889,49,0
44,19048.5771,50,0
45,19060.8663,50,0
46,19256.3547,50,0
47,19276.6257,50,0
48,19353.6878,44,0
49,19413.485,50,0
50,19417.4168,50,1
51,19656.86,50,0
52,19663.0763,50,0
53,19755.5298,50,0
54,19765.8664,50,0
55,19854.6197,50,0
56,19858.0818,50,0
57,19921.7059,50,0
58,19926.7692,50,0
59,19948.4099,50,0
60,19967.1918,50,1
61,20017.6971,50,0
62,20101.296,50,0
63,20112.8628,50,0
64,20111.9651,50,0
65,20110.1888,50,0
66,20115.6775,50,0
67,20116.864,50,0
68,20123.9398,50,0
69,20253.8935,50,0
70,20257.5112,50,1
71,20345.2177,50,0
72,20360.5733,50,0
73,20372.5571,50,0
74,20375.6691,50,0
75,20393.049,50,0
76,20401.9622,50,0
77,20407.8753,50,0
78,20414.2675,50,0
79,20415.3679,50,0
80,20416.6498,50,1
81,20419.1058,50,0
82,20419.0953,50,0
83,20448.3277,50,0
84,20449.9642,50,0
85,20450.348,50,0
86,20451.1895,50,0
87,20452.5264,50,0
88,20456.6293,50,0
89,20458.5373,50,0
90,20546.9595,50,1
91,20549.3479,50,0
92,20553.705,50,0
93,20559.9084,50,0
94,20558.9089,50,0
95,20563.3042,50,0
96,20566.9791,50,0
97,20569.4546,50,0
98,20573.9118,50,0
99,20593.5334,50,0
100,20597.6295,50,1
