PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
101.259,37.667,289.126,728.825,1006.244,116.064,9.662,71.921,42.109,152.404,200.42,66.05
97.302,0.625,95.275,570.934,1222.218,92.348,9.599,66.542,28.767,48.541,133.34,49.42
101.259,37.667,289.126,728.825,1006.244,116.064,9.662,71.921,42.109,152.404,200.42,66.05
98.467,0.0,239.875,707.092,900.617,117.435,9.124,72.608,31.832,199.432,171.69,57.38
98.376,36.994,262.693,702.255,876.175,116.064,11.098,75.163,45.208,48.03,189.65,64.24
98.413,0.0,153.916,715.905,1080.667,116.88,8.266,72.009,27.895,108.29,149.63,55.59
98.428,4.848,199.215,708.902,1073.211,116.579,7.601,72.237,27.861,249.189,163.15,57.05
98.413,0.0,175.881,715.51,1076.671,116.88,7.952,72.068,27.91,145.79,155.41,55.68
98.354,0.0,142.627,836.205,1360.531,112.485,7.893,69.734,32.025,134.267,147.94,53.74
98.351,36.658,267.456,711.583,878.74,116.022,10.139,72.17,40.014,61.61,190.81,64.8
98.482,11.96,266.534,680.151,1004.953,117.435,0.859,71.59,32.595,246.153,182.98,63.87
102.209,35.043,279.997,725.67,1010.045,116.061,9.613,75.262,41.738,85.958,198.15,64.84
98.418,11.793,256.28,669.796,1004.585,117.318,0.939,71.291,33.096,250.823,180.13,62.55
98.471,11.699,252.9,670.369,1005.71,117.596,0.611,71.286,34.132,231.239,179.26,61.7
98.416,0.026,157.074,717.284,1080.667,116.883,8.195,72.009,32.506,98.771,150.48,55.66
97.301,9.962,181.34,686.655,1031.794,90.818,4.53,74.066,29.448,100.316,158.72,56.02
97.323,0.0,99.496,558.317,1227.717,93.403,9.563,66.348,28.78,36.766,134.26,49.58
102.187,35.043,280.717,725.942,1010.045,116.061,9.622,75.269,41.738,86.031,198.32,64.89
97.331,0.0,121.277,760.554,1303.894,92.66,7.748,59.957,30.614,73.652,140.82,51.72
97.845,6.746,252.912,707.463,898.535,115.836,8.941,72.693,37.196,199.967,176.69,59.49
98.318,2.339,132.015,812.759,1364.59,111.802,7.917,69.438,32.272,134.794,145.82,53.32
97.301,6.644,253.521,706.224,889.752,116.246,10.013,72.709,36.602,265.96,176.21,58.5
98.458,1.922,241.251,707.092,901.084,117.424,9.089,72.608,36.25,199.432,172.68,57.66
97.668,0.137,120.096,759.78,1302.955,110.94,6.992,70.315,29.32,81.307,140.9,52.25
98.428,1.511,199.971,709.663,1073.211,116.577,7.93,72.239,27.89,227.089,162.26,56.59
98.472,11.739,251.513,670.36,1004.585,117.596,0.791,71.286,34.542,229.777,178.91,61.3
97.301,0.008,115.113,710.683,1303.677,99.27,4.241,70.42,29.232,82.966,139.04,51.29
97.301,0.0,99.446,557.217,1309.395,93.403,9.713,66.348,30.37,36.766,134.52,50.41
98.007,0.0,127.209,749.279,1360.125,106.677,7.946,63.717,29.292,91.839,143.27,53.05
97.868,7.815,255.571,705.234,888.319,116.335,8.813,62.95,37.096,199.967,177.72,59.99
98.354,0.0,136.014,840.758,1360.531,112.485,7.893,69.734,32.634,134.267,146.2,53.53
97.357,0.316,103.111,577.049,1321.278,93.598,9.383,66.025,30.053,45.301,135.74,51.17
97.301,0.118,101.838,573.804,1320.86,91.538,9.38,66.099,30.019,49.505,135.27,51.01
98.461,11.96,259.756,666.247,1004.953,117.204,0.082,71.248,33.052,279.507,181.14,63.12
98.481,12.466,261.566,666.794,1005.049,117.204,1.358,75.349,33.257,244.526,181.8,63.69
97.301,0.0,115.349,712.312,1302.195,99.01,4.401,70.376,29.232,82.115,139.09,51.42
101.526,37.68,286.79,728.198,1006.239,116.057,12.218,71.821,41.794,154.664,200.09,65.64
98.376,36.417,266.977,707.126,887.485,117.118,11.181,75.165,44.836,48.027,190.65,64.56
97.851,8.034,256.591,706.545,889.008,116.246,9.113,72.683,37.096,199.967,178.05,60.9
101.526,37.68,286.79,728.198,1006.239,116.057,12.398,71.821,42.141,151.873,200.09,65.64
98.501,12.546,230.322,669.167,1007.532,109.963,0.701,71.274,29.975,253.937,173.62,58.42
97.321,0.0,100.597,557.217,1317.961,93.403,9.713,66.364,30.37,36.766,134.88,50.46
97.301,9.856,184.543,686.655,1031.794,90.818,4.461,74.066,29.431,100.316,159.53,56.05
97.656,7.755,252.912,707.463,898.535,116.246,8.941,72.721,37.196,199.967,176.82,59.57
97.301,11.643,184.614,686.672,1075.304,94.328,4.173,72.144,29.795,81.196,160.29,56.4
98.449,11.739,240.373,670.36,1004.585,117.596,0.77,71.286,34.13,234.273,175.94,58.48
97.89,0.0,127.209,759.08,1362.031,105.42,8.019,63.673,29.275,90.237,143.19,52.94
97.7,0.137,120.917,765.463,1303.677,112.632,7.071,70.162,29.302,83.704,141.17,52.86
97.85,7.815,256.591,705.128,888.319,116.335,8.813,62.95,37.096,199.967,177.97,60.27
98.428,4.834,198.504,708.902,1069.691,116.579,7.601,72.237,27.965,249.585,162.94,57.03
