gen,hv,n_pareto,llm_injected
1,15801.7353,11,0
2,16032.1522,17,0
3,16524.1044,22,0
4,16926.8807,17,0
5,17032.7473,20,0
6,17064.5451,17,0
7,17145.7733,20,0
8,17204.5693,18,0
9,17302.5643,16,0
10,17829.6563,22,1
11,17853.2294,24,0
12,17862.5942,30,0
13,17938.6361,37,0
14,17960.7495,32,0
15,18047.9473,36,0
16,18112.6715,29,0
17,18122.3997,26,0
18,18401.4756,26,0
19,18486.2872,39,0
20,18517.7232,44,1
21,18529.8693,41,0
22,18554.8435,43,0
23,18568.0428,50,0
24,18578.0092,47,0
25,18587.493,39,0
26,18624.9939,38,0
27,18644.966,41,0
28,18761.9045,45,0
29,18787.6715,38,0
30,18813.4868,40,1
31,19000.5155,38,0
32,19013.033,45,0
33,19263.2159,40,0
34,19267.5895,45,0
35,19269.7385,45,0
36,19290.7042,50,0
37,19303.0925,49,0
38,19334.9146,44,0
39,19354.2086,50,0
40,19374.5458,50,1
41,19378.5754,50,0
42,19667.2269,50,0
43,19677.915,49,0
44,19687.7206,48,0
45,19756.7844,50,0
46,19760.8385,50,0
47,19883.514,50,0
48,19901.8329,50,0
49,20041.8393,50,0
50,20046.1541,50,1
51,20150.2312,50,0
52,20151.6361,50,0
53,20153.7503,50,0
54,20184.005,45,0
55,20186.392,47,0
56,20188.8204,50,0
57,20194.9148,50,0
58,20205.1593,50,0
59,20211.4395,50,0
60,20236.046,50,1
61,20248.6602,50,0
62,20251.8205,50,0
63,20422.8904,50,0
64,20424.4316,50,0
65,20459.189,50,0
66,20461.2447,50,0
67,20468.7738,50,0
68,20518.4629,50,0
69,20560.9314,50,0
70,20581.3417,50,1
71,20699.5257,50,0
72,20705.2214,50,0
73,20711.4523,50,0
74,20715.3255,50,0
75,20717.3029,50,0
76,20720.4041,50,0
77,20725.4186,50,0
78,20744.5869,50,0
79,20787.1842,50,0
80,20788.6866,50,1
81,20790.6419,50,0
82,20789.8859,50,0
83,20791.4691,50,0
84,20870.3484,50,0
85,20872.1232,50,0
86,20876.3614,50,0
87,20884.4781,50,0
88,20886.2785,50,0
89,20891.5776,50,0
90,20892.8669,50,1
91,20894.1251,50,0
92,20910.6358,50,0
93,20912.6136,50,0
94,20932.0389,50,0
95,20954.5303,50,0
96,20959.2633,50,0
97,20963.4344,50,0
98,20969.3106,50,0
99,20969.7616,50,0
100,20980.1272,50,1
