PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
97.301,17.0,13.0,473.453,401.0,90.9,9.536,28.628,71.2,72.777,113.69,38.95
151.069,84.38,231.052,961.761,833.522,148.607,23.574,70.643,123.153,0.0,252.58,65.21
151.069,84.38,231.052,961.761,833.522,148.607,23.574,70.643,123.153,0.0,252.58,65.21
97.301,17.0,13.0,473.453,400.478,90.9,9.536,28.628,71.2,72.777,113.69,38.95
141.131,88.904,239.565,952.002,834.67,148.607,23.732,70.643,123.994,0.0,245.87,65.1
99.024,8.95,60.428,582.396,953.029,92.97,6.805,38.4,65.586,282.529,127.71,48.61
122.085,95.35,257.2,965.825,832.315,147.16,22.572,74.333,125.186,0.0,232.71,64.93
99.669,3.963,260.646,954.915,676.649,147.029,20.666,71.374,125.185,74.615,179.55,58.39
101.629,0.0,149.821,577.455,891.53,93.61,9.494,4.178,39.898,63.202,150.86,54.7
104.868,68.276,255.588,985.133,834.859,148.159,22.012,75.349,125.186,68.078,205.42,62.13
99.699,66.478,255.675,931.334,839.162,135.923,19.239,70.354,111.046,3.803,199.31,61.48
112.961,71.515,262.04,965.4,849.404,146.904,22.676,70.424,123.619,65.191,216.67,63.9
99.656,2.079,255.475,979.675,663.076,147.13,20.003,72.372,125.186,74.133,177.57,56.58
97.301,7.614,57.719,577.498,891.324,93.07,6.455,39.281,65.766,342.994,124.51,47.28
118.5,81.842,265.319,974.972,832.446,147.167,22.244,73.994,125.186,0.03,226.69,64.35
98.607,21.569,194.497,527.796,1058.687,97.4,9.26,11.461,64.524,84.728,167.05,56.33
105.213,68.597,272.306,953.909,851.68,146.912,21.686,75.349,124.753,43.667,210.28,63.57
105.814,65.302,265.397,929.762,849.053,146.912,21.891,75.053,125.186,45.62,207.94,62.68
97.99,18.664,97.647,666.263,1023.879,116.057,8.709,8.726,69.751,62.648,140.11,51.34
98.574,20.574,169.343,473.453,1060.66,93.033,10.275,11.823,65.752,89.506,159.92,54.75
97.301,0.0,34.793,473.453,555.102,90.775,11.15,19.187,74.707,318.491,114.44,41.37
97.745,24.702,81.882,650.061,1018.228,116.554,8.969,8.338,66.087,95.58,137.61,49.97
97.301,0.362,99.042,475.281,575.036,92.543,9.168,32.34,70.658,281.331,131.6,49.56
99.699,64.273,245.437,932.096,841.857,134.883,18.089,70.579,110.525,0.0,195.9,58.73
97.301,18.454,11.654,509.463,400.478,90.775,9.542,29.993,70.961,72.274,113.91,39.7
108.859,0.0,262.471,952.246,699.745,152.751,23.488,75.349,118.688,56.151,188.44,58.67
101.166,0.137,144.292,567.529,881.728,94.467,9.189,4.165,41.934,46.066,148.9,54.0
97.764,24.753,85.992,650.061,1018.449,116.506,8.948,15.824,66.087,95.58,138.74,50.27
97.301,0.0,139.062,542.585,846.905,90.799,7.061,4.025,44.331,99.955,143.23,51.64
99.656,3.643,255.685,979.675,670.924,147.13,20.003,73.5,125.185,0.0,178.16,57.77
97.706,5.235,27.834,498.261,589.101,92.444,10.447,28.288,74.22,292.133,114.94,42.22
97.301,0.241,92.133,484.514,567.793,92.543,9.01,27.805,70.361,281.331,129.73,49.41
97.947,5.166,34.24,555.709,561.131,93.63,11.905,28.17,51.587,284.47,116.9,43.08
97.301,2.508,53.025,473.453,548.406,92.304,11.101,20.423,78.765,286.448,120.05,43.99
99.699,64.327,248.5,932.096,839.341,133.381,17.763,70.397,110.525,3.803,196.72,59.77
111.202,73.128,260.197,958.199,846.014,147.312,22.65,75.349,123.672,53.492,214.84,63.84
118.037,96.682,257.106,967.014,832.315,147.11,22.442,74.345,125.186,0.0,228.88,64.49
108.859,0.0,262.471,952.246,699.745,152.751,23.488,75.349,118.688,56.151,188.44,58.67
97.691,5.021,53.911,507.316,552.537,92.454,11.011,28.293,74.545,291.857,121.62,45.71
97.301,0.0,57.719,577.498,893.642,93.07,6.455,39.473,62.454,342.994,122.02,46.54
97.301,5.7,49.057,482.84,760.514,105.259,7.747,33.498,73.153,293.298,120.86,44.76
151.069,84.38,231.052,961.761,833.522,148.607,23.574,70.643,123.153,0.0,252.58,65.21
97.301,0.0,139.062,558.119,839.48,90.775,7.061,4.025,44.474,100.164,143.24,52.57
99.699,66.063,255.675,932.096,856.486,133.381,17.523,70.609,110.814,6.458,199.24,60.53
99.637,3.643,255.685,979.675,667.024,145.79,19.445,73.758,125.185,0.0,178.13,56.92
97.301,0.0,149.821,577.455,891.53,93.61,9.494,4.178,38.522,63.202,146.32,53.64
97.301,0.0,149.821,576.698,872.155,93.701,9.494,4.178,35.594,63.059,146.25,53.22
99.827,64.308,257.085,931.685,829.523,133.91,18.089,68.655,111.658,13.346,199.07,60.22
97.702,5.166,34.24,513.305,581.348,93.064,11.015,29.969,51.587,284.47,116.61,43.0
97.301,5.473,139.062,558.119,845.366,90.775,7.209,4.025,47.288,96.786,145.06,52.6
