gen,hv,n_pareto,llm_injected
1,14751.938,12,0
2,16774.6492,17,0
3,17007.2173,21,0
4,17488.481,26,0
5,17723.5951,29,0
6,17855.5884,22,0
7,17959.0455,31,0
8,18555.5947,31,0
9,18672.252,24,0
10,18769.1246,33,0
11,18941.0831,40,0
12,18997.2869,45,0
13,19052.5074,49,0
14,19088.8731,50,0
15,19128.0025,55,0
16,19162.0046,55,0
17,19219.3304,47,0
18,19295.4731,41,0
19,19497.5634,39,0
20,19538.4409,59,0
21,19623.6838,60,0
22,19639.8016,65,0
23,19700.177,69,0
24,19729.6014,77,0
25,19861.7938,76,0
26,19938.8702,64,0
27,20130.1561,70,0
28,20163.2991,69,0
29,20216.3609,86,0
30,20305.0081,80,0
31,20310.3258,99,0
32,20322.2043,100,0
33,20339.2972,100,0
34,20348.7731,100,0
35,20389.0317,95,0
36,20394.8651,95,0
37,20453.8522,89,0
38,20458.5936,95,0
39,20474.8487,83,0
40,20488.6231,91,0
41,20493.8035,100,0
42,20500.4918,100,0
43,20503.0464,100,0
44,20511.2218,100,0
45,20525.5173,100,0
46,20547.0417,100,0
47,20554.6319,100,0
48,20602.4015,100,0
49,20607.0252,100,0
50,20613.1676,100,0
51,20618.8641,100,0
52,20631.154,100,0
53,20632.0243,100,0
54,20639.2452,100,0
55,20735.1077,100,0
56,20739.5002,100,0
57,20741.5336,100,0
58,20828.9646,100,0
59,20834.1437,100,0
60,20848.5345,100,0
61,20867.3091,100,0
62,20869.9029,100,0
63,20874.9089,96,0
64,20884.1081,95,0
65,20890.2659,100,0
66,20898.6455,100,0
67,20966.6316,100,0
68,20969.9277,100,0
69,20996.8493,100,0
70,21001.1673,100,0
71,21012.5252,100,0
72,21024.6479,100,0
73,21028.5031,100,0
74,21049.9896,100,0
75,21063.835,100,0
76,21320.1344,92,0
77,21328.6607,98,0
78,21426.5685,100,0
79,21814.5245,100,0
80,21818.4212,100,0
81,21935.7797,100,0
82,21991.9724,100,0
83,22000.5546,100,0
84,22003.9216,100,0
85,22005.946,100,0
86,22008.9278,100,0
87,22010.2461,100,0
88,22049.6431,100,0
89,22053.9494,100,0
90,22057.7385,100,0
91,22061.1727,100,0
92,22062.764,100,0
93,22074.9699,100,0
94,22097.5917,100,0
95,22100.1859,100,0
96,22103.963,100,0
97,22178.8126,100,0
98,22180.7627,100,0
99,22182.8174,100,0
100,22183.9107,100,0
