PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
133.942,9.279,301.298,659.276,1000.135,147.576,2.054,4.863,74.048,0.122,228.37,74.84
97.301,0.0,34.438,623.766,536.182,92.791,7.74,47.651,123.363,401.984,114.67,44.19
131.436,10.278,296.171,660.706,1002.282,148.054,2.138,6.402,101.47,1.577,224.73,74.45
111.505,31.912,301.689,670.353,1004.008,147.574,2.067,6.638,96.038,5.891,212.43,74.41
97.301,19.991,287.474,667.247,998.32,108.563,1.866,4.338,101.476,52.814,189.85,66.89
98.198,8.811,266.278,564.75,886.965,117.254,2.472,4.32,122.423,0.003,180.85,66.67
104.636,20.704,287.376,668.621,1001.687,117.302,1.75,3.986,101.459,30.247,197.76,67.97
98.545,19.991,285.672,667.247,935.948,108.794,1.866,4.108,101.534,52.814,190.45,67.64
97.334,1.742,86.949,666.49,1024.902,94.739,7.855,75.349,122.35,431.239,131.06,51.03
110.736,8.552,302.582,662.434,1006.643,143.102,1.646,4.178,70.373,31.51,204.19,72.04
97.301,8.14,236.289,549.362,802.868,116.317,0.249,2.539,109.256,0.0,171.42,59.92
98.389,4.806,162.369,571.044,846.407,116.214,0.704,3.395,125.186,47.459,152.17,55.86
98.29,8.406,236.444,548.497,810.251,116.556,1.192,1.125,110.7,2.061,172.61,61.72
98.518,0.393,139.231,572.483,838.031,116.591,0.644,4.169,112.481,48.221,144.72,55.25
97.301,8.258,238.844,549.421,802.868,116.321,0.258,2.539,109.256,0.0,172.13,60.39
98.01,0.94,198.311,575.978,837.051,116.792,0.194,3.864,109.271,57.124,159.97,57.89
100.106,0.001,52.596,623.481,642.204,92.334,8.973,39.099,124.353,455.654,122.79,45.91
97.306,7.106,75.723,660.672,1022.887,91.207,7.655,60.596,125.186,455.654,129.8,49.99
109.769,14.608,306.281,664.944,1003.319,144.757,2.241,5.537,91.545,0.0,206.13,73.55
98.391,0.0,36.478,623.405,609.275,93.144,8.395,47.404,121.478,389.632,116.62,44.51
97.963,0.599,225.517,565.44,833.473,117.04,0.653,5.193,109.369,127.064,166.95,59.71
111.188,31.72,301.689,670.353,1009.078,147.574,2.067,6.019,96.038,5.891,212.05,74.38
97.301,1.292,66.322,603.514,962.354,92.427,10.36,54.201,124.939,409.867,125.03,47.56
97.301,1.951,105.857,573.126,837.884,115.721,0.0,6.353,111.431,47.815,135.15,51.58
99.069,2.315,125.866,577.243,837.504,116.611,0.0,8.781,114.86,24.358,142.41,54.04
111.41,8.17,299.972,664.856,1003.591,140.724,1.829,5.227,97.55,0.455,204.07,70.67
97.732,10.333,249.526,563.202,837.173,116.368,1.487,2.689,123.169,0.0,176.25,64.9
98.078,7.759,119.44,573.611,837.884,115.796,0.694,11.083,111.59,28.836,141.45,53.89
111.468,13.532,311.182,666.728,1005.637,146.3,3.193,6.437,109.097,0.667,208.86,73.85
98.135,0.33,176.531,572.981,844.068,112.273,0.64,2.501,112.282,16.573,154.17,56.29
98.363,0.056,157.792,570.025,832.151,118.039,0.705,11.106,111.72,46.489,149.32,55.72
98.662,3.523,88.455,669.64,1022.557,95.95,4.639,61.014,119.802,437.703,133.43,51.27
98.073,1.692,105.311,577.328,839.867,115.771,0.667,11.147,111.588,28.836,135.75,52.54
