PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
97.301,57.554,16.279,579.81,1037.974,90.775,16.535,68.795,92.12,110.412,130.49,45.25
172.579,50.467,225.184,680.971,1027.075,118.649,3.022,2.053,30.227,278.5,262.44,72.11
162.573,50.425,225.209,681.066,1027.077,118.649,3.028,2.095,30.227,267.093,251.94,70.93
120.769,84.181,239.627,672.084,1015.213,118.27,2.471,9.89,31.927,263.347,222.94,70.79
97.301,44.897,210.786,676.714,1020.728,118.008,1.826,0.006,28.704,293.997,177.88,62.46
101.513,49.441,242.988,682.134,1026.982,118.614,1.683,5.513,33.063,281.926,192.32,68.03
97.301,34.85,221.294,680.935,961.288,118.007,3.323,0.0,30.201,278.239,177.15,58.8
105.024,82.45,237.442,672.723,1005.368,117.58,2.724,5.54,29.109,275.45,205.26,69.61
115.63,84.749,241.021,667.84,1007.311,117.941,3.71,5.266,31.391,260.991,218.07,69.78
105.205,82.45,237.422,672.717,1005.368,117.574,2.718,1.804,29.003,275.952,205.45,69.69
97.301,47.932,227.006,680.972,1027.075,118.659,3.004,5.517,30.208,278.009,183.19,66.15
98.1,65.501,150.552,662.137,977.492,100.925,0.633,33.348,24.318,286.121,169.38,57.9
97.617,60.363,69.064,782.144,1175.636,94.23,19.397,75.349,120.699,25.084,146.72,52.41
98.236,70.977,123.154,651.978,1033.637,97.445,7.394,25.433,29.777,294.234,164.26,54.96
167.231,51.201,225.209,681.005,1027.077,118.649,3.022,4.265,30.227,278.378,257.08,71.0
172.579,50.467,225.184,680.971,1027.075,118.649,3.022,2.053,30.227,278.5,262.44,72.11
101.467,48.011,225.184,680.972,1027.075,118.659,3.019,5.513,30.226,278.5,187.1,67.63
98.227,78.533,127.409,651.978,1036.52,97.406,5.864,27.06,29.777,294.234,167.87,56.84
97.934,67.25,89.695,753.684,1141.065,94.666,19.561,74.847,124.818,21.73,154.55,53.84
98.106,72.173,151.938,662.123,980.049,102.368,1.142,35.565,32.43,280.13,171.95,58.45
97.672,67.505,115.681,734.236,1107.028,96.029,18.639,72.201,121.388,22.157,161.05,54.19
97.672,67.505,115.681,715.6,1108.793,96.029,18.715,72.201,121.388,22.157,161.01,53.92
97.674,71.285,32.899,728.013,1126.693,94.675,19.584,73.426,120.806,30.088,140.49,49.92
98.084,47.44,227.262,680.501,1027.112,118.663,3.053,5.517,30.198,277.946,183.92,67.05
97.301,44.891,226.474,680.657,1027.108,118.599,3.01,5.531,30.208,277.548,182.06,64.96
97.618,60.318,55.365,781.228,1175.915,94.228,19.394,75.349,120.699,25.084,143.09,50.89
97.366,60.311,25.175,584.872,1083.358,91.202,17.926,72.6,99.179,132.101,134.0,47.25
101.489,48.739,237.635,682.134,1027.386,118.818,3.014,3.737,33.063,281.814,190.66,67.79
97.316,56.196,31.655,648.049,1078.864,93.433,16.956,72.769,88.701,106.032,134.45,47.84
97.572,60.973,140.003,649.937,1038.328,93.401,2.393,28.823,32.647,306.211,164.75,55.76
97.366,60.433,20.126,584.872,1078.909,91.307,17.4,72.921,99.179,131.872,132.69,46.71
97.63,57.971,16.279,574.203,1038.663,90.775,16.535,70.449,92.12,111.841,130.96,46.11
97.301,72.923,134.961,658.604,1027.826,96.813,7.21,26.306,28.208,282.322,167.04,56.29
97.316,56.138,31.655,670.561,1076.568,91.168,16.84,75.349,91.744,110.103,134.48,48.49
97.301,47.773,217.31,638.676,996.216,115.856,3.734,6.591,31.873,290.369,180.36,63.2
97.301,70.935,34.098,732.017,1117.119,94.303,19.165,71.659,124.812,30.117,140.28,49.1
97.301,64.802,34.042,734.242,1123.749,90.802,19.67,75.349,121.069,32.459,138.28,48.9
97.676,66.406,75.543,740.897,1140.995,94.633,19.494,75.349,122.694,64.679,150.24,52.87
97.301,58.468,36.542,674.352,1081.252,91.041,17.834,75.349,93.77,116.109,136.55,48.67
97.677,54.178,69.396,731.215,1176.467,94.28,19.411,75.349,121.071,25.084,144.71,51.59
167.231,50.425,225.209,680.971,1027.077,118.649,3.022,2.053,30.227,278.5,256.82,70.95
97.677,54.178,69.396,731.215,1176.467,94.28,19.411,75.349,121.071,25.084,144.71,51.59
97.302,44.833,226.474,680.657,1024.811,116.334,2.893,8.111,33.25,281.619,182.03,64.86
118.965,83.954,239.688,673.175,1014.457,118.281,2.443,9.707,31.475,263.606,220.99,70.06
99.323,72.392,151.938,693.469,1036.146,102.125,2.391,33.605,29.948,280.427,173.58,58.76
97.301,43.381,227.006,680.657,1027.112,118.907,3.009,5.531,30.208,277.548,181.7,63.93
97.932,67.917,81.277,757.372,1134.625,94.666,18.864,73.385,124.98,32.671,152.53,53.31
98.096,61.6,140.105,651.305,1035.386,97.416,4.151,27.993,33.584,307.058,165.52,56.04
97.301,47.773,217.399,638.177,996.216,115.85,2.569,6.591,31.873,290.679,180.38,63.24
97.301,49.153,219.344,682.558,1022.793,118.029,3.228,3.831,30.208,277.819,181.56,63.92
