gen,hv,n_pareto,llm_injected
1,15998.5322,9,0
2,16133.2202,14,0
3,16268.6937,19,0
4,17077.0877,19,0
5,17463.9432,20,0
6,17501.4142,21,0
7,18859.1249,29,0
8,18981.6076,20,0
9,19208.0806,22,0
10,19367.6236,27,0
11,19556.6784,29,0
12,19734.6347,39,0
13,19776.2213,51,0
14,19863.7934,46,0
15,19884.7914,45,0
16,19898.7863,36,0
17,20020.7382,35,0
18,20030.8959,46,0
19,20047.2717,49,0
20,20097.1028,56,0
21,20378.8139,63,0
22,20613.9717,40,0
23,20656.9643,48,0
24,20668.6023,57,0
25,20987.2696,64,0
26,21012.9966,70,0
27,21027.2794,66,0
28,21055.6727,70,0
29,21066.4779,77,0
30,21073.7537,74,0
31,21074.9637,89,0
32,21080.9034,85,0
33,21104.1049,85,0
34,21123.328,89,0
35,21264.7499,98,0
36,21273.3624,91,0
37,21280.8469,100,0
38,21332.7548,100,0
39,21333.7381,100,0
40,21340.2404,100,0
41,21348.4942,100,0
42,21368.4959,100,0
43,21385.776,100,0
44,21397.3369,100,0
45,21399.8839,100,0
46,21402.2895,100,0
47,21406.4108,100,0
48,21493.7789,100,0
49,21503.0636,100,0
50,21572.4293,100,0
51,21574.9692,100,0
52,21593.2594,100,0
53,21627.3312,97,0
54,21631.9968,99,0
55,21639.6146,100,0
56,21677.7933,100,0
57,21679.61,100,0
58,21685.2089,100,0
59,21691.4143,97,0
60,21697.0591,100,0
61,21702.0174,100,0
62,21706.3038,100,0
63,21707.4707,100,0
64,21708.0145,100,0
65,21709.8804,100,0
66,21713.4207,100,0
67,21866.7482,100,0
68,21868.314,100,0
69,21897.7091,100,0
70,21899.0316,100,0
71,21900.2037,100,0
72,21900.4342,100,0
73,21901.9834,100,0
74,21903.6122,100,0
75,21905.2442,100,0
76,21906.1387,100,0
77,21929.2911,100,0
78,21932.9657,100,0
79,21975.6066,100,0
80,21977.1574,100,0
81,21984.7461,100,0
82,21986.8573,100,0
83,21987.3414,100,0
84,22009.0378,100,0
85,22028.3291,100,0
86,22029.3004,100,0
87,22030.4929,100,0
88,22033.3097,100,0
89,22034.361,100,0
90,22041.576,99,0
91,22042.1927,100,0
92,22044.6457,100,0
93,22045.835,100,0
94,22052.0715,100,0
95,22053.7664,100,0
96,22055.2501,100,0
97,22056.9697,100,0
98,22068.0297,100,0
99,22126.2317,100,0
100,22126.9933,100,0
101,22127.319,100,0
102,22129.5431,100,0
103,22129.9695,100,0
104,22130.4566,100,0
105,22165.0921,100,0
106,22166.7813,100,0
107,22168.0576,100,0
108,22170.0603,100,0
109,22170.6766,100,0
110,22280.9677,100,0
111,22281.2439,100,0
112,22282.1524,100,0
113,22409.9831,100,0
114,22417.1584,100,0
115,22421.4003,100,0
116,22424.3651,100,0
117,22424.625,100,0
118,22426.399,100,0
119,22433.7755,100,0
120,22441.5312,100,0
121,22444.1666,100,0
122,22445.3325,100,0
123,22446.0323,100,0
124,22447.4827,100,0
125,22449.2191,100,0
126,22451.4134,100,0
127,22455.21,100,0
128,22455.5658,100,0
129,22457.6033,100,0
130,22458.8884,100,0
131,22459.337,100,0
132,22463.9162,100,0
133,22464.4587,100,0
134,22466.2436,100,0
135,22466.7702,100,0
136,22473.5116,100,0
137,22473.9843,100,0
138,22476.2158,100,0
139,22477.9247,100,0
140,22477.9281,100,0
141,22481.101,100,0
142,22481.8199,100,0
143,22483.498,100,0
144,22484.5827,100,0
145,22484.6108,100,0
146,22484.5701,100,0
147,22484.9583,100,0
148,22485.7046,100,0
149,22485.3862,100,0
150,22485.7045,100,0
