gen,hv,n_pareto,llm_injected
1,15898.5549,11,0
2,16283.0027,17,0
3,16431.9605,24,0
4,16678.1162,19,0
5,16936.0126,14,0
6,17181.068,16,0
7,17218.2646,27,0
8,17544.3544,21,0
9,17769.015,15,0
10,17820.4332,15,0
11,17912.9436,15,0
12,18007.9552,19,0
13,18179.1176,23,0
14,18298.6641,27,0
15,18412.1661,28,0
16,18705.3603,28,0
17,18774.0074,41,0
18,18876.145,41,0
19,19077.9396,50,0
20,19148.8153,50,0
21,19190.2535,50,0
22,19215.72,42,0
23,19278.1067,40,0
24,19374.4506,42,0
25,19425.4123,35,0
26,19458.5871,45,0
27,19483.9104,45,0
28,19499.0834,50,0
29,19503.7204,50,0
30,19509.0885,50,0
31,19516.0719,50,0
32,19546.2491,50,0
33,19629.6708,47,0
34,19649.2434,50,0
35,19656.3146,49,0
36,19750.6525,50,0
37,19754.1369,50,0
38,19773.1864,50,0
39,19832.9717,50,0
40,19840.9632,50,0
41,19845.1604,50,0
42,19852.354,50,0
43,19868.8158,50,0
44,19899.692,50,0
45,19907.9249,50,0
46,19911.6724,50,0
47,19913.2113,50,0
48,19920.1395,50,0
49,19924.1651,50,0
50,19926.5995,50,0
