PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
141.313,31.928,265.836,731.793,989.267,145.468,10.035,72.665,63.303,157.979,234.31,67.44
97.301,0.0,30.016,520.857,558.156,90.864,7.48,71.907,65.716,396.418,113.32,43.27
112.914,1.232,282.724,634.424,945.509,129.998,9.461,74.289,93.568,158.595,198.52,63.2
138.703,32.538,265.928,696.913,988.686,145.468,9.43,72.64,63.303,156.794,231.71,66.67
118.612,42.643,265.812,728.922,940.74,143.922,10.164,72.417,67.355,160.173,213.84,66.5
117.959,31.877,265.247,719.768,922.627,137.669,8.836,70.982,57.514,157.093,209.39,63.3
101.293,60.133,128.604,669.688,577.292,92.826,10.421,67.77,30.715,327.867,163.71,56.45
97.671,0.0,57.528,548.325,492.578,94.066,8.705,70.727,63.074,390.222,120.8,48.05
101.646,0.0,250.83,612.69,755.359,101.357,9.492,60.559,70.193,226.793,177.13,57.49
108.307,0.0,269.948,684.408,841.362,118.11,10.4,75.349,117.703,192.08,189.66,62.8
106.536,0.063,253.299,653.072,760.037,102.324,10.718,75.146,55.67,160.401,183.05,59.75
101.293,60.133,140.335,669.688,584.261,92.576,10.421,67.771,30.715,342.899,166.83,57.4
98.247,5.723,120.252,535.568,559.958,93.421,7.723,73.557,58.746,383.965,140.05,51.73
98.258,10.128,123.988,535.568,560.002,93.423,7.716,73.612,58.746,384.17,142.49,54.1
98.258,10.816,138.89,535.568,560.002,93.451,7.716,72.999,58.746,382.741,146.65,54.51
98.164,0.0,65.487,551.0,479.717,96.592,8.662,70.435,61.772,378.6,123.37,48.92
118.645,40.332,259.16,729.592,940.486,142.704,10.159,72.242,67.096,160.671,211.36,64.18
98.111,3.795,152.637,547.443,560.753,93.339,7.723,73.626,58.746,384.845,147.86,55.0
97.982,61.401,100.162,681.378,584.167,92.707,8.168,59.191,39.763,330.797,153.2,55.12
106.172,0.026,251.666,650.24,757.278,102.963,9.62,67.579,61.245,168.055,182.21,58.91
97.795,61.424,116.198,684.957,590.766,93.181,10.154,60.289,30.344,334.204,157.28,56.1
118.548,43.532,259.083,729.592,940.486,143.008,10.16,72.242,62.709,160.671,212.29,64.66
97.301,11.812,119.876,534.598,478.041,93.868,7.568,75.24,54.644,364.843,140.65,52.6
108.307,0.0,260.169,684.408,841.362,118.11,10.4,75.349,117.703,192.08,187.08,61.09
118.501,40.97,263.555,728.922,938.973,143.922,10.171,72.417,69.936,160.173,212.58,65.71
98.16,0.0,39.195,552.871,439.957,97.4,7.377,70.589,61.476,379.587,116.28,45.11
97.399,7.543,65.464,551.591,479.611,90.775,7.365,70.469,64.772,378.703,125.04,49.15
97.521,0.0,34.248,544.428,562.46,90.775,7.672,71.919,50.225,395.137,114.74,44.24
97.521,7.383,45.214,544.428,562.46,90.775,7.535,71.919,49.647,395.77,120.06,46.79
100.241,19.492,79.765,567.701,481.696,92.591,7.756,71.152,64.256,385.61,135.76,51.54
98.163,7.543,65.464,551.591,479.611,95.751,7.347,70.452,62.616,378.703,125.84,50.09
101.293,59.04,140.703,659.094,579.317,92.647,10.387,67.865,32.567,319.145,166.52,57.12
101.207,1.001,257.092,585.685,744.003,104.684,9.389,61.227,73.221,225.995,178.54,57.85
107.164,0.0,267.19,675.673,815.071,116.467,10.38,72.944,99.23,198.035,187.62,62.04
107.993,0.0,257.168,683.747,843.583,117.963,10.393,73.027,95.807,188.874,185.97,60.34
98.164,6.381,93.033,551.951,479.717,96.911,7.344,70.435,65.67,375.789,132.74,50.95
97.671,0.0,47.904,535.387,533.998,94.066,8.678,70.725,63.074,384.851,118.37,45.8
97.82,61.401,104.369,675.107,589.034,92.695,8.203,59.369,37.311,337.106,154.14,55.59
141.053,32.588,265.836,731.793,989.267,140.834,10.04,72.841,67.485,159.081,234.26,66.7
97.334,0.0,33.079,520.857,558.156,90.864,7.522,71.907,65.716,396.418,114.16,43.89
98.571,17.664,82.892,563.798,547.124,93.908,7.716,75.15,69.429,384.771,134.47,51.26
98.686,0.0,45.239,549.501,561.959,93.31,7.596,72.073,62.386,387.886,118.87,46.5
98.258,9.54,122.9,535.146,560.1,93.429,7.716,73.591,58.98,384.273,142.01,53.42
98.536,0.029,42.844,538.192,456.538,97.649,7.347,70.779,61.476,378.6,117.67,45.34
98.258,7.819,123.034,525.429,585.134,93.534,7.716,73.581,58.746,384.17,141.55,53.18
117.609,42.643,265.786,729.832,983.627,143.71,10.215,73.175,69.224,154.197,212.95,66.23
101.621,1.001,257.112,614.969,750.522,104.401,9.389,60.868,73.704,225.995,179.08,58.62
97.709,60.28,112.844,686.816,587.385,93.181,10.154,60.274,31.719,330.523,155.92,55.92
108.069,1.07,255.998,683.747,843.583,117.737,10.393,73.027,95.807,188.659,186.09,60.64
98.164,7.384,69.921,551.591,479.611,96.84,7.301,70.452,61.955,379.018,126.97,50.54
