PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
97.301,0.0,43.139,888.335,445.428,100.223,9.466,12.991,28.988,120.989,117.32,42.61
109.288,91.279,248.339,727.67,1009.531,150.039,2.182,5.089,68.691,29.468,215.66,72.94
97.301,0.0,43.139,888.335,445.428,100.223,9.466,12.991,28.988,120.989,117.32,42.61
97.828,68.332,145.096,730.551,947.648,116.319,0.262,34.727,74.154,43.594,168.65,57.97
97.429,0.0,74.702,958.839,543.083,96.263,9.639,18.468,29.263,145.071,126.33,48.62
97.335,0.0,100.399,959.38,845.716,99.839,9.278,18.349,27.646,131.912,134.14,49.83
97.311,85.69,195.737,658.433,1018.583,127.474,1.565,4.479,77.513,28.853,187.24,62.11
102.056,99.596,226.47,724.479,936.607,145.33,1.416,12.285,73.798,0.557,204.76,68.15
97.659,93.085,171.674,723.722,880.566,115.952,0.0,34.308,64.698,50.783,183.34,60.03
97.896,84.028,170.036,715.493,909.305,111.29,0.0,34.767,80.205,45.1,180.27,58.29
98.415,89.147,225.926,668.17,1010.869,136.942,1.549,3.6,78.037,0.0,197.5,67.26
97.87,3.773,141.706,967.864,805.408,116.265,7.504,9.639,29.639,145.21,146.71,52.78
103.308,92.025,243.079,716.553,1009.813,149.127,2.317,9.133,68.151,23.213,208.22,70.09
106.592,92.075,248.97,716.553,1009.813,150.304,1.782,11.521,68.151,23.434,213.24,71.66
97.301,66.501,128.04,714.326,1008.058,114.846,0.17,40.598,72.723,31.698,163.17,55.35
102.797,100.199,226.47,728.389,942.103,144.71,1.793,11.735,75.106,0.886,205.76,68.57
98.154,66.877,131.38,714.335,1008.058,114.304,0.373,40.075,72.723,30.533,165.07,56.79
98.09,3.868,158.138,960.117,843.982,127.023,7.734,0.0,29.159,214.186,151.43,53.6
98.132,9.04,164.984,960.117,843.982,128.229,7.605,0.0,29.159,332.872,154.98,54.25
97.802,0.0,122.205,968.271,843.569,116.214,8.626,19.636,29.348,142.45,140.4,51.47
97.864,1.8,130.879,968.44,834.252,116.271,8.23,11.509,27.638,140.551,143.31,52.46
97.301,2.586,44.398,892.765,473.25,99.966,9.412,12.193,28.276,118.726,118.61,43.28
98.355,77.869,233.513,668.303,1010.869,139.1,1.69,6.373,77.999,0.0,195.74,66.28
97.849,67.887,138.578,727.777,939.567,115.838,0.257,34.943,70.465,62.765,166.77,57.81
103.228,98.22,234.752,676.503,1001.023,147.207,2.385,8.665,68.494,22.428,207.84,69.91
97.301,85.644,209.343,672.825,1013.508,129.358,1.232,3.857,79.865,29.601,190.83,63.54
97.301,0.0,55.192,931.538,438.784,90.775,8.974,15.045,34.415,142.913,120.59,44.04
106.592,92.025,250.139,716.553,1009.813,150.631,1.782,11.195,68.151,23.442,213.53,71.78
97.301,67.665,131.38,715.731,1006.613,114.274,0.658,40.511,72.47,28.814,164.44,55.82
99.829,20.341,159.87,969.231,696.464,133.829,8.595,0.0,29.619,208.363,158.6,54.56
97.301,0.0,116.115,967.118,855.797,116.017,9.233,19.676,29.171,139.783,138.31,50.4
97.864,0.0,129.944,968.44,846.313,116.271,8.724,20.13,28.617,140.617,142.52,51.6
97.335,0.0,106.3,959.354,829.712,115.75,9.202,18.815,27.677,131.894,135.63,50.04
97.68,89.281,213.56,662.25,969.95,128.022,1.495,3.38,77.736,30.235,193.34,64.19
97.309,0.0,55.179,955.339,442.349,107.595,7.653,21.555,28.816,143.886,120.67,44.7
97.537,80.184,225.926,668.17,1010.869,136.942,1.549,2.816,78.037,0.276,193.64,65.52
97.301,0.0,66.744,947.195,530.501,90.775,8.013,20.803,29.263,142.544,124.02,46.52
97.301,85.654,202.561,674.217,1012.035,130.201,0.271,3.919,80.754,0.0,189.04,62.38
99.829,20.341,159.87,969.231,696.464,133.829,7.562,0.0,29.619,208.363,158.6,54.56
97.301,0.0,60.849,970.0,477.243,109.0,8.0,15.572,31.879,141.64,122.32,45.31
97.301,0.0,70.68,958.822,572.292,90.775,8.013,17.979,29.263,142.544,125.24,48.02
98.415,87.288,225.926,668.558,1010.869,136.942,1.561,3.6,76.048,0.0,196.89,66.93
98.09,3.868,164.659,960.117,843.982,126.999,7.734,0.0,29.159,214.186,153.16,53.72
97.534,79.816,225.926,668.17,1010.869,136.942,1.549,3.128,78.542,0.276,193.52,65.22
97.301,0.0,66.744,958.822,530.501,90.775,8.013,20.803,29.263,142.544,124.05,47.75
97.301,0.0,66.744,947.195,530.501,90.775,8.013,20.803,29.263,142.544,124.02,46.52
97.301,91.718,171.674,723.722,879.579,115.952,0.0,37.079,63.625,47.786,182.51,58.48
97.301,0.0,60.849,970.0,475.691,109.0,8.0,15.572,31.879,145.996,122.32,45.31
97.896,84.028,170.036,715.493,909.305,111.29,0.0,34.767,80.205,45.1,180.27,58.29
97.301,0.0,116.115,967.118,855.797,116.017,9.233,19.676,29.171,139.783,138.31,50.4
