gen,hv,n_pareto,llm_injected
1,15631.4815,9,0
2,16224.1059,16,0
3,16412.3785,23,0
4,16760.1158,25,0
5,17041.8482,16,0
6,17165.6268,28,0
7,17396.6742,26,0
8,17458.1342,39,0
9,17718.3699,31,0
10,17897.4423,36,1
11,18207.0753,38,0
12,18271.8213,45,0
13,18398.5162,52,0
14,18506.0092,44,0
15,18547.3144,47,0
16,18628.5037,41,0
17,18687.8947,47,0
18,19052.7713,59,0
19,19088.1044,73,0
20,19159.1952,59,1
21,19426.0617,60,0
22,19495.997,70,0
23,19550.2034,60,0
24,19579.6658,65,0
25,19622.591,64,0
26,19643.1075,76,0
27,19692.8647,61,0
28,19755.06,45,0
29,19783.5525,53,0
30,19795.5149,59,1
31,19822.5989,66,0
32,19887.7501,59,0
33,19895.318,65,0
34,19910.0084,74,0
35,20062.5903,66,0
36,20165.4758,67,0
37,20212.3546,68,0
38,20244.5661,66,0
39,20264.386,71,0
40,20398.2006,68,1
41,20458.4317,60,0
42,20503.5319,67,0
43,20571.6643,69,0
44,20600.1568,79,0
45,20609.6778,88,0
46,20655.1526,90,0
47,20691.5885,95,0
48,20710.3575,96,0
49,20715.7413,97,0
50,20805.8614,100,1
51,20813.6299,84,0
52,20821.292,94,0
53,20827.1873,100,0
54,20857.8599,90,0
55,20870.2,93,0
56,20880.2823,100,0
57,20886.6969,100,0
58,20893.7751,100,0
59,20945.4713,100,0
60,20993.3817,100,1
61,21006.1656,100,0
62,21051.0055,100,0
63,21053.781,100,0
64,21137.3819,97,0
65,21146.437,100,0
66,21160.4124,100,0
67,21175.9723,100,0
68,21281.4502,100,0
69,21312.7153,98,0
70,21376.988,97,1
71,21386.9679,100,0
72,21399.9003,98,0
73,21412.6639,99,0
74,21515.2987,89,0
75,21570.0707,80,0
76,21599.3953,85,0
77,21603.5673,96,0
78,21641.4605,100,0
79,21643.4239,100,0
80,21649.8126,100,1
81,21668.0743,100,0
82,21680.0247,100,0
83,21689.1421,100,0
84,21690.8816,100,0
85,21703.9863,100,0
86,21712.9792,100,0
87,21718.3748,100,0
88,21722.2659,100,0
89,21725.2575,100,0
90,21755.0851,100,1
91,21758.6899,100,0
92,21864.1025,100,0
93,21884.4718,100,0
94,21900.5036,100,0
95,21909.1512,100,0
96,21912.039,100,0
97,21913.3912,100,0
98,21913.6136,100,0
99,21914.0813,100,0
100,21915.9805,100,1
101,21916.2874,100,0
102,21918.8046,100,0
103,21920.016,100,0
104,21922.8019,100,0
105,21923.1577,100,0
106,21939.6285,100,0
107,21942.2238,100,0
108,21945.3712,100,0
109,21953.7779,100,0
110,21955.075,100,1
111,21959.1574,100,0
112,21960.3828,100,0
113,21971.2733,100,0
114,21973.6213,100,0
115,21976.2754,100,0
116,21978.441,100,0
117,21988.5567,100,0
118,21989.4121,100,0
119,21991.2824,100,0
120,21991.7845,100,1
121,21992.9864,100,0
122,21993.2152,100,0
123,21993.8532,100,0
124,21999.0866,100,0
125,21999.267,100,0
126,22000.281,100,0
127,22000.7415,100,0
128,22000.9847,100,0
129,22000.6674,100,0
130,22001.8577,100,1
131,22003.2768,100,0
132,22006.5891,100,0
133,22013.3411,100,0
134,22015.0359,100,0
135,22018.1705,100,0
136,22021.6565,100,0
137,22022.0136,100,0
138,22031.2105,100,0
139,22031.4767,100,0
140,22033.193,100,1
141,22035.7919,100,0
142,22042.4404,100,0
143,22043.7519,100,0
144,22044.3637,100,0
145,22048.6762,100,0
146,22049.3213,100,0
147,22060.8327,100,0
148,22081.8235,100,0
149,22083.4053,100,0
150,22084.5601,100,1
