PC,FA,SC,FAGG,CAGG,WATER,AEA,WR_HR,WR,ACC,GWP,28day
122.274,81.707,244.039,750.055,1006.067,122.882,1.738,0.068,103.975,391.838,225.04,68.97
97.301,42.639,33.887,629.022,958.944,95.875,0.473,24.225,98.339,455.654,130.09,47.9
97.301,42.639,33.887,629.022,958.944,95.875,0.473,24.225,98.339,455.654,130.09,47.9
107.706,99.233,229.477,684.369,1020.996,117.05,1.613,0.0,97.634,451.112,211.56,67.86
97.883,47.631,265.048,706.688,911.235,118.297,2.089,4.762,97.184,455.654,193.39,67.42
97.815,3.379,256.761,626.604,900.313,118.513,1.453,4.563,107.187,417.24,176.36,62.76
109.506,101.219,238.059,747.482,1010.068,126.275,1.442,0.206,100.281,414.74,216.49,68.6
98.145,26.717,119.126,673.344,922.432,115.759,0.93,0.0,92.597,442.508,148.23,55.18
97.798,3.134,253.985,660.886,899.105,117.85,0.273,4.338,106.13,414.341,175.62,60.39
98.092,26.915,89.637,673.055,921.38,115.845,0.935,0.033,92.093,455.654,140.45,52.79
97.84,17.583,255.498,631.695,901.942,117.982,1.809,3.14,95.261,447.663,180.73,64.64
98.106,21.966,108.827,669.045,914.717,115.833,0.912,0.0,92.947,455.291,143.87,54.62
97.842,28.801,170.825,682.043,847.7,116.853,0.0,1.577,105.697,455.654,161.99,57.34
97.822,3.752,256.572,660.63,898.966,117.86,0.292,4.288,104.732,417.717,176.53,63.91
97.306,14.485,164.2,723.072,894.143,111.903,0.518,0.275,107.181,447.191,155.27,56.5
97.657,18.6,287.37,674.048,906.716,118.129,1.197,0.0,96.972,443.021,189.42,67.34
97.333,42.615,53.28,676.137,980.887,93.327,0.715,27.362,101.21,455.654,135.44,51.92
97.335,36.003,49.33,675.875,978.964,90.775,0.714,25.945,103.266,455.654,132.22,50.0
98.15,16.268,105.43,664.387,914.336,115.833,0.0,0.0,92.99,455.281,141.14,53.81
97.301,41.752,38.684,629.022,955.356,97.028,0.473,24.124,98.171,455.654,131.05,48.49
97.852,17.818,264.049,652.391,907.097,118.081,1.208,0.0,96.323,440.654,183.15,65.54
97.368,8.691,164.2,715.378,894.392,111.606,0.559,0.273,107.181,455.654,153.41,55.95
121.562,80.877,244.039,747.046,1011.159,122.871,1.466,0.0,110.049,391.838,224.03,68.78
98.15,26.915,188.379,666.405,912.546,100.59,0.943,0.513,92.784,455.654,166.53,59.63
97.449,18.31,282.35,672.777,906.716,118.436,1.197,0.016,96.88,443.021,187.78,65.98
97.844,4.385,246.716,661.916,904.21,117.901,1.84,0.617,112.53,406.214,174.18,59.76
98.171,26.915,180.075,666.858,900.959,115.839,0.0,0.134,92.886,455.301,164.32,58.78
97.335,41.887,49.33,675.875,978.964,90.775,0.714,25.945,103.266,455.654,134.15,50.47
97.335,41.887,51.516,677.437,978.964,93.791,0.715,25.945,103.266,455.654,134.73,51.39
97.662,16.563,278.423,674.078,906.716,118.129,1.395,0.0,96.599,443.021,186.39,65.89
