gen,hv,n_pareto,llm_injected
1,12599.7369,11,0
2,12689.8379,17,0
3,12877.0943,11,0
4,12940.2621,19,0
5,13072.0916,22,0
6,13310.4938,17,0
7,13621.1042,23,0
8,13925.3152,25,0
9,14066.3283,21,0
10,14093.9451,30,1
11,14144.2558,24,0
12,14364.5147,29,0
13,14446.0964,29,0
14,14611.3805,28,0
15,15235.5073,30,0
16,15706.807,23,0
17,16129.2409,20,0
18,16520.4821,17,0
19,16699.4669,16,0
20,16802.9924,16,1
21,16842.0103,22,0
22,17052.2053,24,0
23,17115.1089,30,0
24,17167.0544,30,0
25,17547.5175,30,0
26,17640.6797,30,0
27,17749.3563,30,0
28,17864.4531,29,0
29,17871.1973,27,0
30,17918.8751,30,1
31,17920.7444,30,0
32,18110.2721,30,0
33,18141.2131,30,0
34,18181.9449,30,0
35,18243.8809,30,0
36,18252.4646,30,0
37,18268.7991,30,0
38,18273.4072,30,0
39,18274.9099,30,0
40,18300.7069,30,1
41,18353.0011,30,0
42,18407.43,30,0
43,18401.3477,30,0
44,18408.5143,27,0
45,18516.7702,28,0
46,18518.9043,30,0
47,18529.7028,30,0
48,18559.8195,30,0
49,18563.4231,30,0
50,18589.7821,30,1
51,18596.2365,30,0
52,18605.9312,30,0
53,18705.8047,30,0
54,18717.7349,30,0
55,18731.8729,30,0
56,18747.7322,30,0
57,18796.3636,30,0
58,18816.108,29,0
59,18827.9306,30,0
60,18971.3698,30,1
61,18986.9842,30,0
62,18991.1766,30,0
63,19018.4021,30,0
64,19037.0987,30,0
65,19155.2417,25,0
66,19211.647,25,0
67,19317.0204,30,0
68,19358.1071,30,0
69,19406.9765,30,0
70,19447.8109,30,1
71,19484.144,30,0
72,19492.9085,30,0
73,19572.6325,30,0
74,19608.6784,30,0
75,19633.996,30,0
76,19645.0662,30,0
77,19655.6088,30,0
78,19656.2728,30,0
79,19654.265,30,0
80,19659.2281,30,1
81,19680.0565,30,0
82,19674.2363,30,0
83,19674.2463,30,0
84,19684.6526,30,0
85,19699.9596,30,0
86,19698.1086,30,0
87,19712.8676,30,0
88,19723.78,30,0
89,19725.0028,30,0
90,19766.4064,30,1
91,19765.676,30,0
92,19780.9431,30,0
93,19794.0777,30,0
94,19795.3707,30,0
95,19842.7789,30,0
96,19850.0152,30,0
97,19853.9314,30,0
98,19855.263,30,0
99,19915.4351,30,0
100,19929.4182,30,1
