run_id,rep,gen,pop,F,N,HV_base,GD_base,IGD_base,HV_hybrid,HV_ratio,GD_hybrid,IGD_hybrid,n_pareto,llm_calls,parse_fails,HV_advantage,HV_pct_gain
1,1,50,30,5,5,20218.6852,8.849339,11.933326,20193.5965,0.8464,7.45709,10.46761,30,10,0,-25.088700000000244,-0.12408670371899477
1,2,50,30,5,5,19856.0379,7.363755,9.329422,20164.6201,0.8452,40.36028,9.813823,30,10,0,308.58220000000074,1.554097557398401
1,3,50,30,5,5,20832.1325,13.210521,8.921105,19186.7492,0.8042,9.100228,9.687999,30,10,0,-1645.3833000000013,-7.89829509772944
1,4,50,30,5,5,19190.7493,23.993753,10.527502,19944.0259,0.8359,8.461378,13.301039,30,10,0,753.276600000001,3.925206818266346
1,5,50,30,5,5,19974.6731,8.948962,12.340135,19929.8218,0.8353,8.676187,11.455951,30,10,0,-44.851299999998446,-0.2245408461778453
2,1,50,50,10,10,21812.8542,6.468989,6.683297,20650.7426,0.8655,9.951901,10.249307,50,5,0,-1162.1116000000002,-5.327645751191974
2,2,50,50,10,10,20756.8518,6.339559,8.462348,19962.2932,0.8367,16.831961,11.036061,50,5,0,-794.5586000000003,-3.8279340607904726
2,3,50,50,10,10,20200.8949,9.991358,8.235062,18589.2021,0.7791,11.448449,16.913085,49,5,0,-1611.6928000000007,-7.9783237721810085
2,4,50,50,10,10,20148.2086,10.062708,9.116275,19887.2496,0.8335,14.829467,12.430852,50,5,0,-260.95900000000256,-1.295197033050385
2,5,50,50,10,10,19438.3078,34.153713,9.888618,19931.8237,0.8354,7.871672,8.788835,50,5,0,493.51590000000215,2.5388830400144307
3,1,50,100,20,20,20396.7416,11.444232,6.701245,19793.3682,0.8296,5.5926,7.086484,100,2,6,-603.3734000000004,-2.95818524268602
3,2,50,100,20,20,20535.6112,7.647316,7.722815,21268.2238,0.8914,4.068997,5.116843,100,2,6,732.6126000000004,3.5675227431263425
3,3,50,100,20,20,20833.1818,5.04288,5.296199,20628.236,0.8646,6.471775,6.588208,100,2,6,-204.9457999999977,-0.9837469953821346
3,4,50,100,20,20,21156.9272,5.48679,6.244008,21303.377,0.8929,5.548311,5.324826,100,2,6,146.44980000000214,0.6922073258351154
3,5,50,100,20,20,20694.7205,36.362416,7.509333,21793.0069,0.9134,5.80922,6.679392,95,2,6,1098.2864000000009,5.307084964012927
4,1,100,30,10,20,20358.7308,8.282146,8.402404,21050.1082,0.8823,4.217247,6.012882,30,10,30,691.3773999999976,3.395974959303443
4,2,100,30,10,20,21030.623,5.282244,7.130153,19840.4186,0.8316,7.605219,8.367846,30,10,30,-1190.2043999999987,-5.659387265893163
4,3,100,30,10,20,21642.6756,6.081297,5.903469,18956.5932,0.7945,11.14362,14.696991,30,10,30,-2686.0823999999993,-12.411045887505699
4,4,100,30,10,20,19376.2808,84.775159,11.29529,19656.7554,0.8239,17.227399,10.940729,30,10,30,280.47459999999774,1.4475151495533536
4,5,100,30,10,20,20533.2363,8.991889,11.58843,21599.7981,0.9053,4.882034,5.35396,30,10,30,1066.5617999999995,5.194319027049815
5,1,100,50,20,5,20089.3287,2.971259,9.38047,19965.7457,0.8368,8.039389,9.546829,50,5,0,-123.58299999999872,-0.6151673948169245
5,2,100,50,20,5,21650.0032,3.879547,4.430392,21361.5359,0.8953,7.681599,6.534449,50,5,0,-288.46730000000025,-1.3324122741931061
5,3,100,50,20,5,20432.9876,5.915414,6.691548,21922.3728,0.9188,7.080157,5.62119,50,5,0,1489.3852000000006,7.289121048553863
5,4,100,50,20,5,21796.0452,4.561959,5.956241,20731.1241,0.8689,8.680833,6.359037,50,5,0,-1064.9210999999996,-4.885845529444945
5,5,100,50,20,5,20342.5522,5.651753,7.933047,20664.8047,0.8661,5.619715,6.811209,50,5,0,322.2525000000023,1.584130136827189
6,1,100,100,5,10,21877.6038,7.886435,5.037493,21574.0721,0.9042,44.418074,5.710492,100,20,0,-303.53169999999955,-1.3874083413102103
6,2,100,100,5,10,24324.6131,1.319623,2.345543,22488.4116,0.9426,3.594984,3.832187,100,20,0,-1836.2014999999992,-7.548738771100944
